treeno,species,x,y,dbh,ht,cw
14,2,6.1,0.10 ,6,6.06,1.2
13,8,6.2,0.20 ,16.1,14.7,1.63
25,3,17.8,0.30 ,11.4,10.3,3.13
97,3,84.3,0.30 ,4.1,5.11,2.13
72,7,58,0.40 ,11.7,12.33,2.13
12,2,5.3,0.70 ,2.6,3.3,0.68
17,6,9.8,1.00 ,12.2,12.64,2.13
21,6,15.3,1.20 ,6.1,7.93,0.6
22,6,15.3,1.10 ,10.8,11.75,0.48
24,6,17.1,1.10 ,8.4,9.99,2.18
85,6,68.4,1.10 ,8.3,9.9,0
53,8,41.1,1.20 ,16,14.65,0.63
66,9,51.3,1.20 ,6.7,7.34,2.08
23,2,15.3,1.40 ,4.1,4.56,1.23
1,3,0.5,1.50 ,41.5,17.86,3.5
65,3,46.3,1.80 ,4.7,5.67,1.5
83,2,67.3,1.90 ,1,1.86,0.53
11,2,5.3,2.00 ,5.8,5.91,1.45
98,12,84.1,2.00 ,39.5,16.94,4
96,3,79.7,2.10 ,4.2,5.2,1.23
84,6,68.5,2.20 ,15.6,14.46,1.35
71,3,57.8,2.30 ,8.4,8.54,1.3
9,2,5.1,2.40 ,9.6,8.63,2.05
52,6,34.1,2.40 ,18.2,15.61,2.13
67,12,53.6,2.50 ,26.4,14.89,3.38
68,12,53.1,2.50 ,18.3,12.81,0.78
15,2,6.7,2.60 ,3.7,4.23,0.68
55,8,42.6,2.70 ,14.2,13.76,2.13
56,8,42.6,2.80 ,7.8,9.49,0
26,3,15.9,2.90 ,6.3,7.03,2
54,8,40.4,3.00 ,15,14.17,1.63
82,2,67.5,3.00 ,1,1.86,0.48
86,2,72.5,3.20 ,5.7,5.83,1.05
106,3,89.5,3.60 ,3.8,4.81,1.18
58,8,44.6,3.80 ,9.8,11.05,0
33,2,25,4.00 ,3.1,3.73,0.93
93,12,79.4,4.00 ,15.8,11.95,1.38
105,2,87.1,4.10 ,5.8,5.91,1.5
94,12,79.4,4.20 ,9.2,8.81,1.23
18,7,9.8,4.30 ,8.3,9.9,1.43
20,7,9.6,4.30 ,10.6,11.61,1.75
43,3,30.3,4.40 ,8.3,8.47,1.33
42,3,30.2,4.50 ,6.8,7.41,1.55
19,7,9.6,4.60 ,10.3,11.41,1.6
95,12,79.6,4.60 ,10.5,9.56,1.23
31,7,18.9,4.80 ,22,17,1.13
32,3,24.4,4.80 ,4.8,5.76,1.88
57,8,42.7,4.80 ,16.8,15.01,2.25
8,2,6.4,4.90 ,5.4,5.6,1.03
2,8,0.5,5.00 ,9.4,10.76,0
51,3,36.4,5.00 ,8.9,8.86,1.38
104,2,87.7,5.30 ,5.8,5.91,0.9
81,2,66.3,5.40 ,1,1.86,0.7
30,7,19,5.50 ,6.4,8.22,0.83
44,6,32.8,5.50 ,14.2,13.76,1.5
73,2,62.9,5.60 ,2.3,3.04,0.43
10,8,5.6,5.70 ,11,11.88,0
103,2,87.5,5.80 ,3,3.64,0.78
6,2,5.3,6.00 ,5,5.29,1.53
41,12,27.6,6.10 ,18.7,12.93,3.13
59,8,44.4,6.20 ,13,13.1,2.3
3,8,0.5,6.60 ,15.1,14.22,0
107,6,91.2,6.60 ,10.7,11.68,1.48
99,12,81.9,6.70 ,39,16.88,5.88
80,2,66.2,6.80 ,2.3,3.04,0.8
87,8,71.9,6.80 ,14.1,13.71,1.25
5,2,6.6,7.00 ,17.2,13.1,2
70,9,52.2,7.10 ,6.2,6.95,1.75
108,6,91.5,7.40 ,9.2,10.61,0.63
91,12,76.6,7.60 ,30,15.57,3.63
109,7,98.3,7.70 ,19.5,16.12,2.5
45,12,30.4,7.90 ,17.7,12.61,2.13
60,9,41.5,8.00 ,12.2,10.71,2.38
100,7,83.9,8.00 ,6.2,8.03,1.15
50,3,34,8.10 ,9.6,9.29,1.8
77,6,66.1,8.40 ,20,16.31,2.15
88,12,70.8,8.40 ,16.2,12.09,2.13
38,8,26.6,8.50 ,13.7,13.49,1.73
