treeno,species,x,y,dbh
0,7,2.221,0.923,2.7
1,9,2.264,1.833,7.2
2,2,3.09,1.625,43.7
3,14,3.086,3.588,15.9
4,7,1.344,0.01,8.8
5,7,7.234,0.765,15.5
6,14,5.143,8.326,39.4
7,7,5.391,8.794,2.1
8,15,14.244,1.136,4.8
9,9,14.758,2.092,12.5
10,9,14.866,2.358,6.1
11,10,17.437,4.376,6.1
12,14,17.41,4.472,21.9
13,7,16.771,5.877,11.5
14,7,19.011,5.293,18.4
15,1,11.019,9.215,24
16,14,27.756,8.194,35.5
17,10,19.293,7.56,18.2
18,10,16.973,3.526,15.7
19,10,21.806,5.106,11.7
20,9,26.087,9.599,3.9
21,9,26.502,0.286,6.6
22,8,29.378,0.01,16.7
23,1,28.035,5.05,20.1
24,1,28.036,5.04,25
25,14,24.278,6.664,31.7
26,3,27.754,6.069,2.5
27,14,22.092,7.907,23.2
28,15,28.193,9.9,18.9
29,14,26.074,9.115,19.8
30,7,24.39,9.97,8.4
31,7,24.111,9.964,5.9
32,15,31.455,7.371,13.2
33,9,32.553,8.041,5.6
34,1,33.822,6.388,16.8
35,1,38.457,2.552,28.2
36,1,39.305,2.999,5.8
37,1,39.369,8.049,28.5
38,8,40.24,5.307,27.6
39,1,41.345,3.44,12.6
40,7,45.037,2.737,4.1
41,1,45.55,2.99,25.9
42,3,45.077,1.432,2.5
43,3,48.439,1.259,2.6
44,1,47.622,4.082,30.7
45,9,47.488,6.096,5.4
46,9,48.302,6.294,4.9
47,15,48.65,6.575,13.7
48,9,49.306,5.697,3.5
49,9,49.564,8.245,7.3
50,14,52.621,1.936,36.9
51,7,54.844,1.392,6.1
52,9,58.317,3.393,13
53,9,57.95,3.3,21.3
54,9,59.423,3.592,6
55,7,59.476,5.233,13.5
56,7,59.17,5.676,20.9
57,11,55.039,6.531,3.1
58,11,58.379,7.884,1.9
59,9,57.76,9.675,10.6
60,9,56.335,9.973,9
61,7,60.01,9.415,5.7
62,7,60.015,9.38,6.8
63,15,64.678,8.652,12.2
64,9,65.718,7.484,7.4
65,9,67.367,8.178,6.5
66,3,66.289,9.767,15.3
67,3,69.425,8.02,6.7
68,3,69.459,8.001,6
69,3,69.813,8.068,4.5
70,9,66.489,4.278,9.1
71,10,67.586,3.482,4.7
72,9,67.621,3.135,5.5
73,9,67.752,3.421,6
74,9,67.749,3.4,6
75,1,72.373,7.988,37.2
76,9,75.553,3.584,6
