Number	x	y	dbh	ht	species
207	12.06081697	18.66483241	19.2	7.5	2
208	12.06177616	9.8652971	11.7	7.5	4
209	12.06354732	28.0659334	19.3	12.2	2
210	12.66959619	34.76127365	9.3	6.5	2
211	13.06068267	46.12870819	21	12	9
212	13.91038237	17.35974506	12.7	7	2
213	14.10208953	28.35235614	12.1	8	2
214	14.12525531	32.40255837	16	11.1	2
215	15.65391981	28.8036729	9.5	5.3	2
216	15.84304805	22.55715324	22.3	12.4	2
217	16.04489334	25.29601512	23.4	10.8	2
218	16.21315688	26.9331376	18.1	8.5	2
219	16.65681443	16.44594933	12.1	8.8	2
220	17.56820345	29.07188035	21.5	9.9	2
221	17.59064938	18.91217246	18.5	9.3	2
222	18.76400478	14.36362035	17.4	9.8	2
223	19.61175875	26.20528166	14.2	7.3	2
224	20.17679191	24.30025211	26	8	2
225	20.20880584	28.064344	18.1	10.8	2
226	20.25099671	21.31894308	19	11.8	2
227	20.35562902	19.50979142	21	8.8	2
228	20.43716225	14.81671965	23.5	8.8	2
229	21.72449738	20.78575804	25.7	12.1	2
230	21.7443135	11.65991926	23.2	9	2
231	22.28592827	26.27713082	27.1	9	2
232	22.38304609	13.61262111	12.3	8.7	2
233	22.43617232	24.6892335	25	11.8	2
234	22.45431068	16.33187852	13.2	6.2	2
235	23.39973451	17.87767296	20.5	9.5	2
236	23.89013895	25.47572284	22.5	8.2	2
237	24.14877357	11.78158758	23.1	11.4	2
238	24.17449104	23.41195414	8	6	2
239	24.35376018	9.31543962	13.2	4.1	2
240	24.65684896	21.70326263	16.3	8.5	2
241	25.68208706	7.841569036	19	10.8	2
242	25.86122295	10.28385235	18.5	10.2	2
243	26.83955448	22.14227922	17	7.5	2
244	27.24742407	15.43637269	23.8	11.6	2
245	27.3782089	19.64524057	14.8	8.2	2
246	27.85295124	5.498836249	14.2	8	2
247	28.76608544	7.307477738	19.3	12.2	2
248	28.78805923	23.31150028	19.4	10.3	2
249	29.03547789	17.25935703	27.2	13.8	2
250	29.73964136	11.34031683	14.8	12.6	2
251	30.00551421	13.56457498	17.7	8.1	2
252	30.74806447	18.08678007	19.8	12	2
253	30.91405521	15.46711212	20.5	8.8	2
254	31.01014176	2.7681283	22.2	11.8	2
255	32.40498768	16.73245271	10	6.5	2
256	32.66955923	20.62686752	16.3	8	2
257	33.27406949	0.911388001	9.5	6.3	2
258	34.3187787	13.17021489	17.5	10	2
259	34.8235933	5.147755056	29	10.4	2
260	35.10086716	14.83816191	17	11	2
261	36.36695846	19.34823577	15	9.6	2
262	37.28225076	11.27768557	14.3	7.5	2
263	37.54710923	18.48262563	16.3	7.2	2
264	38.04399291	19.61344363	16	9.2	2
265	38.12914492	11.03448175	19.6	11	2
266	41.02956869	12.52573939	19.2	10.5	2
267	41.12001719	13.9213284	16.8	9.6	2
268	68.91054404	32.07389391	17.5	8.6	2
269	69.94324157	30.93630342	14.1	7	2
270	70.91236857	36.77578622	22.6	9.6	2
271	71.3145	33.9192	21.9	11.6	2
272	72.10459023	31.36681113	10	6.3	2
273	72.66977609	27.81540677	12.5	8.8	2
274	73.63126834	7.581616952	16.1	8.2	2
275	73.74914331	36.67558799	9.3	5.3	2
276	74.36693433	27.08057421	10.8	7.8	2
277	74.92177302	29.75088746	25.7	10	2
278	75.23526767	8.005918787	17.2	9.8	2
279	75.4055	3.9538	19.1	8.1	2
280	75.53120197	21.94669394	18.5	9.2	2
281	75.55823064	32.19267432	10.6	9.5	2
282	75.7676664	33.63484098	11.3	8.8	2
283	76.19944074	3.071965517	16.7	10.6	2
284	76.50928187	12.6366815	11	7.5	2
285	76.91170692	30.20047319	19.4	12.5	2
286	77.03117862	11.34190981	18.5	10.5	2
287	77.3488	27.3565	20.4	10.6	2
288	77.78000622	22.58907972	24	9.3	2
289	77.80636155	36.00121024	16.2	12.2	2
290	77.9301	13.3366	25.3	13.1	2
291	78.019	11.799	16.3	9	2
292	78.4874	13.6366	24.8	12.4	2
293	78.53357236	16.51709152	18	11	2
294	78.75642123	32.62142273	17.9	11	2
295	78.8011	28.0988	9.2	8.5	2
296	78.88775106	5.182384015	13.8	7.6	2
297	79.06449781	35.76901771	16.5	9.5	2
298	79.16351218	9.648384823	11.2	8	2
299	80.02045996	31.24191364	21.2	9.8	2
300	80.27376883	6.245922273	28.6	11.6	2
301	80.3713	18.7113	24.8	10.8	2
302	80.77322834	23.99685932	16.8	11.5	2
303	80.80111615	33.83540376	17.1	10.3	2
304	80.83203089	10.47673592	19	12	2
305	81.05946997	37.37893692	22.6	10.6	2
306	81.15232221	15.10610878	19.5	10.6	2
307	81.1787	20.1613	23.5	11	2
308	81.6090617	18.28407856	22.8	11.6	2
309	81.64736579	33.50642586	16.3	7	2
310	81.69721707	30.61241531	17.5	10.3	2
311	83.03973426	14.78975571	30	11.8	2
312	83.04868672	11.58563286	13.7	8.3	2
313	83.18697895	18.46295333	12.8	5.5	2
314	84.045722	22.40398446	13.5	9.3	2
315	84.59261071	36.23088814	17.9	8.5	2
316	84.93552933	7.467719529	12.2	8	2
317	85.50518193	19.0551281	17.7	10.4	2
318	85.76128689	17.80449269	13.2	7.6	2
319	86.04755997	24.82832136	12	9	2
320	86.10143491	7.913748474	18.5	11.5	2
321	86.38506914	28.08372256	23	11.4	2
322	86.68461501	16.58639174	12.9	6.3	2
323	86.76167093	12.0616246	12.8	8	2
324	87.25437497	32.59110526	26.1	12	2
325	87.51940209	37.97124819	24	12.3	2
326	87.89928098	11.9744425	18.8	9.8	2
327	87.9219113	35.45595166	17.5	11.2	2
328	87.92324809	22.71780357	17.4	10.5	2
329	87.98374215	10.4559157	15.3	9	2
330	88.04467731	16.76301657	15.5	11.3	2
331	88.25999914	24.78725839	12.5	7	2
332	88.9004115	31.20068789	22	10	2
333	89.1952973	9.4279207	20	11.9	2
334	89.28727643	29.22839584	18.3	10.6	2
335	89.44550867	35.47238513	13	6.4	2
336	89.47028669	21.32495594	12.7	7.5	2
337	89.8129539	9.81699914	24	11.8	2
338	89.87799906	33.36085573	12.8	8.2	2
339	90.5969937	25.7236324	20.5	11.5	2
340	90.63515399	37.62054784	15.9	9.8	2
341	91.04743266	22.91452089	16.8	10.6	2
342	91.24987997	9.010324254	14.5	7.6	2
343	91.71013487	29.46411557	28.2	9	2
344	91.90967226	35.72180995	17.3	8.6	2
345	91.91683044	21.46326275	17.5	10.4	2
346	91.93810085	33.47298947	22.1	10.5	2
347	92.05231848	31.90590566	17	10	2
348	92.58010921	8.261964998	16.5	9.8	2
349	92.62039103	11.87232926	14.7	6	2
350	92.93768144	22.76370011	23.5	7.5	2
351	93.16788201	24.43259768	13.4	7.3	2
352	93.25149281	37.84059362	17.7	11.3	2
353	93.6307007	26.20400764	16	10.2	2
354	94.05524064	24.6956653	19.9	11	2
355	94.0756	19.1172	22.8	12	2
356	94.38294178	10.98338336	19	10.5	2
357	94.62741926	31.73879618	18.1	10.6	2
358	95.35687234	28.34281192	16.8	8.5	2
359	95.42274076	25.89765298	21.2	10.6	2
360	95.50185268	17.95157588	18.4	10.6	2
361	95.59721984	23.26018721	21.8	10.1	2
362	96.24391455	15.8079714	22.6	11.6	2
363	96.74511789	10.40958737	11.9	9.3	2
364	96.81074604	21.79366461	17.6	11.6	2
365	96.85866224	30.88075374	22	10.2	2
366	97.25257663	33.84180238	22.3	7.2	2
367	97.64026148	18.43625807	13.5	8.5	2
368	97.72497683	9.399236295	14.5	9.5	2
369	98.62873011	32.6584049	25.8	11.1	2
370	98.76051566	24.84695752	13.2	7	2
371	99.77574042	17.0380309	18.5	10	2
372	3.14922989	8.454247595	11.8	7.3	3
373	3.52864508	7.945249881	5.4	5.2	3
374	30.6252166	1.521348858	11.9	5.5	3
375	31.28074091	1.250644269	14.5	6	3
376	47.54539806	10.16406167	16.5	8.5	3
377	47.71334506	8.414385113	11.1	5.4	3
378	48.19108207	6.721712789	11.4	7.2	3
379	48.36288947	10.39944327	5.1	5	3
380	48.42715111	8.242243823	11.6	7.4	3
381	49.48946028	11.85572912	6.5	6.2	3
382	49.58967443	11.42987287	12.5	7.4	3
383	50.16980021	11.10962108	6.6	5.4	3
384	50.75306076	15.18585481	17.5	10.2	3
385	51.53962587	13.05683623	11	9.8	3
386	52.35694813	13.40408057	5.9	4	3
387	52.49348741	12.89411004	9.8	8.6	3
388	52.62633086	14.21341506	15.5	10.6	3
389	52.84125132	4.485633355	10.7	7	3
390	53.40163494	12.31970829	14.7	7.5	3
391	53.44143441	13.00458331	13.2	8.6	3
392	53.51735448	5.425449348	9.6	6.3	3
393	53.72004775	4.573652082	16.3	9.8	3
394	53.78001677	2.413956826	10.7	7.8	3
395	53.84706113	5.048399872	11.5	7.1	3
396	54.04594786	0.736783513	12.5	10	3
397	54.26967282	13.66130817	14.9	10	3
398	55.6965002	49.16927255	10.2	8.3	3
399	58.31189698	2.210182372	8.6	5.6	3
400	61.777789	44.54280415	11.7	7.4	3
401	63.4781	21.8637	9.8	7.4	3
402	63.5533	21.9325	16.5	7.4	3
403	64.56128105	3.361747692	8.3	5.1	3
404	64.85778067	2.411558616	7.6	5	3
405	65.65914865	44.07953996	12.7	10	3
406	66.18002307	25.99707316	11.3	5.3	3
407	67.62306974	34.92643696	6	7.2	3
408	69.49477908	35.05149808	18	10	3
409	69.57998936	35.76117249	6	2.4	3
410	82.03614384	3.439623022	13.7	12	3
411	83.24510738	5.60521649	19.5	10.6	3
412	83.37179937	5.59067739	21	12.2	3
413	83.43191155	5.629761521	10	10	3
414	83.65151262	6.108586372	15.4	10	3
415	83.75446223	5.771683829	6.3	4.8	3
416	85.10261568	0.842232402	14.2	10	3
417	85.2388726	5.88324781	14.6	10	3
418	86.72147353	4.743812448	16.1	10	3
419	88.46173048	3.995778842	4.9	4	3
420	89.64	1.4609	16	11.6	3
421	90.0082	1.5793	12	7.8	3
422	90.16980591	6.610158908	6.7	6.5	3
423	90.2127	1.2319	7.3	4.5	3
424	91.04589778	14.19188504	6.3	6	3
425	91.29813628	14.31421805	5.7	4.5	3
426	91.57317613	4.827140113	10.2	9.4	3
427	91.7009	1.6749	13.5	9.4	3
428	93.24615354	3.913090682	13.2	7.8	3
429	93.64184212	6.741104981	6	6.8	3
430	93.84635143	3.925523755	21.3	10.8	3
431	95.6596	0.2146	14.8	8.6	3
432	96.44023377	0.807655182	12.1	6	3
433	97.24244541	0.804273307	10.5	9	3
434	97.48655687	1.090872847	5.6	6	3
435	99.51713129	36.67087056	5.7	6.8	3
436	0.34762014	8.462301157	7.5	4.6	4
437	0.93038251	19.54472865	8.4	8	4
438	0.96405908	2.321133022	12.7	7.8	4
439	1.14244015	10.24901529	10.2	5	4
440	2.3130496	48.0301198	19	10.8	4
441	2.43839704	18.65267507	18.2	10.8	4
442	2.59468985	13.02033626	17.7	11	4
443	3.5627178	12.22306782	7.9	10.8	4
444	3.7210446	16.66577049	11	7.8	4
445	4.0686642	1.767586921	14.5	9	4
446	4.12469509	7.884023413	24.8	10.8	4
447	4.64387286	16.31393619	13.7	10	4
448	5.82615714	36.55617821	22.3	11	2
449	6.27120956	28.21476313	14	9.3	2
450	7.10432502	15.49819654	10.6	7	4
451	8.27400958	5.618481259	17.7	10.3	4
452	9.15130579	19.5218943	13.4	6.5	2
453	9.96297081	41.93332566	13.6	8.8	1
454	13.40103732	13.88891788	14.6	9.5	4
455	13.76850337	9.312501297	18.1	10.5	4
456	13.88455534	11.5647822	13.8	8.2	4
457	14.71494063	7.34588806	15.5	9	4
458	15.42451842	8.634315139	13.5	10	4
459	16.2775182	5.49903298	15.6	9.6	4
460	16.75384174	10.78625733	12.8	10	4
461	17.8266236	7.098052316	12	10.7	2
462	18.50054854	47.44519917	13.7	9	4
463	19.02073594	4.187318749	10.8	8	4
464	19.06202258	9.442936208	10.5	10.4	4
465	19.22510251	43.24067541	15.2	9.5	4
466	19.39898181	42.64717442	21.8	12	4
467	19.92680605	6.26313444	17.5	10.8	4
468	20.07339423	8.97683925	11.2	10.7	1
469	21.43564579	2.790106667	21.5	10.6	4
470	21.635161	7.868761132	13	9	4
471	22.07447603	5.229623947	14.3	10.5	4
472	23.82647907	43.30644612	17.9	9.6	4
473	24.98850928	0.839218579	9.9	9	4
474	25.27865148	46.95664271	18.1	10.1	4
475	26.52217471	35.70163721	22.1	13.6	4
476	37.0683	40.3628	17	9.5	4
477	38.58814544	44.77695989	12	9.3	4
478	38.98065402	45.39109017	18.4	10.7	4
479	41.00799804	47.64422421	13.7	11.8	4
480	42.47613374	26.68869873	25.8	13.5	4
481	42.66157134	48.37601662	19	10.5	4
482	42.8597145	45.19229686	19.8	11	4
483	43.17818697	25.01649851	20.8	12.8	4
484	43.53156375	37.35650086	16	9.8	4
485	44.14138193	20.46489177	12.5	10.8	4
486	44.58783798	38.27207552	16.1	12	4
487	44.86979624	42.59957036	8.1	6.9	4
488	44.87212852	25.77974745	21.8	10.8	4
489	45.16454789	28.6455891	15	9.5	4
490	45.23164014	49.89134105	19.5	11.3	4
491	45.40109107	49.87785568	21.4	13	4
492	45.6635487	48.07157653	11.7	9.3	4
493	45.74640135	15.41813002	17.5	9.2	4
494	46.14738328	40.38747048	17.8	10.4	4
495	46.48338325	16.61981247	9.4	7.5	4
496	46.50514035	21.67233878	10.8	7.8	4
497	46.5328018	29.76506274	12.7	8	4
498	46.93533803	44.02179042	15.2	8.6	4
499	47.99948147	31.24888551	19.8	10.3	4
500	48.22585309	38.09528448	19.2	9.8	4
501	48.43004271	23.4793567	18.3	8.8	4
502	48.454126	18.57628281	8.8	8.8	4
503	48.4782	40.663	16.5	10.5	4
504	49.39799241	29.09386156	5.4	4.8	4
505	49.68668095	46.27201355	8.1	7.6	4
506	50.71457355	29.82993263	16.1	9.8	4
507	51.09712043	33.024223	19	10.5	4
508	51.37191258	25.2353456	14.5	9.4	4
509	51.39620831	38.37848761	13.7	9	4
510	51.55374376	14.35478549	12.5	9.7	4
511	51.71688628	42.0576136	11.8	9.2	4
512	51.89520446	44.41276953	23.2	10.8	4
513	52.11574179	24.13632215	15	10	4
514	52.23887623	24.3274904	20	11	4
515	52.24867826	17.55153808	15.2	9.5	4
516	52.47599045	43.51314984	22.1	12.3	4
517	53.36286281	22.86732728	14.6	9.6	4
518	53.70564058	46.47185929	21.3	9.5	4
519	53.71389815	33.7732123	14.1	8.5	4
520	54.59161775	19.56842678	15.6	9.2	4
521	55.33992931	35.1507724	15.2	10.2	4
522	55.67599282	32.77652506	15.3	12.2	4
523	55.79432452	48.2564535	12	9.2	4
524	56.34141554	46.30848147	17.2	12.1	4
525	57.383857	18.02156981	15	8.7	4
526	57.55577894	35.64050384	14.3	9.2	4
527	57.7586212	28.44691168	16	9	4
528	57.90526313	20.32681076	13.5	10.2	4
529	58.47968573	42.66087702	26.5	15.2	4
530	58.89066176	49.09920157	9	7.6	4
531	59.4160435	16.0304226	18.4	9.8	4
532	59.41629844	47.33979678	13.7	9.2	4
533	59.45412892	30.05839304	18.5	11.8	4
534	59.87846077	13.27918425	12.4	9	4
535	59.89984543	45.73002668	15.9	11.4	4
536	60.33485643	20.52868913	16.8	10	4
537	60.76414329	27.75543179	24.5	13.6	4
538	60.96138125	35.166422	18.1	12.5	4
539	61.36962503	47.86073827	14.3	11.2	4
540	61.46273721	43.71905127	17.5	9	4
541	61.47334019	14.9131994	17.3	11	4
542	61.6801	37.073	20.7	11.5	4
543	61.89751932	30.73638369	16.5	10	4
544	61.98592119	17.49223466	21.3	9.2	4
545	62.26708821	37.54128328	15	10	4
546	62.30198236	23.86557275	18.5	11.2	4
547	62.57563842	35.73680986	19.5	12.1	4
548	62.7060824	4.287542434	24.8	12.7	4
549	62.7678	21.3965	16.3	8.8	4
550	62.98605084	26.76178379	12.3	6	4
551	64.0204	29.4876	16.7	10.4	4
552	64.1039622	13.3382321	24	12	4
553	64.41604466	11.71233774	12.6	8.8	4
554	64.48832869	18.42230904	12	8.7	4
555	64.50081238	31.92942758	19.8	11	4
556	65.00079304	16.41418042	15.3	9.3	4
557	65.2793	36.2666	9.9	7.6	4
558	65.4948	24.9827	16.6	11.5	4
559	65.62377185	30.52485441	16	8.5	4
560	65.89148236	6.476832555	17	11.6	4
561	65.95604484	23.67853484	13.7	7.8	4
562	66.67787228	36.99256245	9.3	8.5	4
563	66.95149293	15.24234702	19.1	9	4
564	67.10754063	19.2589163	16.8	10.3	4
565	67.20552916	46.79252775	20.2	10	4
566	67.53416038	3.38236831	10.5	8.2	4
567	67.97601029	9.989363458	16.4	9	4
568	68.50725667	45.60439834	24	11.3	4
569	68.6562	24.5468	13.7	9.3	4
570	68.93437813	47.02915051	7.1	7	4
571	69.29436996	6.65308603	17.5	8	4
572	69.50840101	17.45393705	28.9	13.6	4
573	70.48422772	42.36183136	18.1	11	4
574	70.56424892	18.95032141	24.3	11.5	4
575	70.9424036	16.05684774	21.4	11	4
576	71.09042152	49.91130969	15.8	9.8	4
577	71.1096	37.7143	16	9.9	4
578	71.57944114	12.05695081	20	12.4	4
579	71.57979147	40.62385559	16.4	9.6	4
580	72.29583058	17.18111889	21	11	4
581	73.06925109	20.19858265	17	10	4
582	73.3209132	40.82817284	14.4	10.5	4
583	73.55811178	46.26415328	16	9.8	4
584	73.60163245	42.86703644	14.8	10.2	4
585	74.86571102	48.17890417	17.7	10.5	4
586	75.5358	42.8008	14.2	10	4
587	75.69914569	39.55724905	9.3	7	4
588	77.6657	47.7156	17.9	9.8	4
589	78.05611552	43.05686555	19.2	11	4
590	78.84492885	47.77866213	13.6	7.6	4
591	78.91430966	41.5948205	14.7	9.5	4
592	79.26922316	39.67399957	14.7	9.6	4
593	81.70400656	46.12890731	19.9	10.4	4
594	81.81401091	48.03314643	21.1	11	4
595	82.59911968	43.01269552	9.7	7.2	4
596	83.77847491	47.96199255	12.1	11.2	4
597	86.02421914	48.04795116	16.8	10.6	4
598	86.37789733	39.57269035	14	9.5	4
599	87.4642	47.6401	12.5	9	4
600	87.93144378	43.65798699	17.2	11.6	4
601	88.9659	45.792	16	11.5	4
602	89.17137136	39.467602	12.5	10	4
603	90.867	45.8385	15.6	10.2	4
604	91.5239	49.2996	21.4	11	4
605	93.42707585	45.99823876	9	7.8	4
606	93.43945326	49.59227985	11.5	4.5	4
607	93.47033452	41.1215052	12.4	8.3	4
608	94.10533117	43.21641753	17.4	8.8	4
609	94.3458	0.4871	11.8	9.2	4
610	94.5673	46.9493	19.8	11	4
