treeno,species,x,y,dbh
1,2,0.671,9.274,39.2
2,2,1.933,7.402,10.1
3,9,1.149,5.214,5.2
4,3,1.262,4.148,32.4
5,15,2.323,4.6,13.6
6,15,2.391,4.804,25.7
7,14,6.017,5.648,19.5
8,15,5.367,1.903,13
9,14,5.973,1.488,11.5
10,14,6.11,1.838,15.8
11,2,7.739,9.205,10.5
12,2,8.286,8.906,19.2
13,7,9.727,8.347,4.3
14,15,8.639,7.925,20.5
15,6,9.062,7.38,20.9
16,2,8.566,7.294,13.4
17,14,7.741,7.372,9.2
18,6,10.709,1.743,21.5
19,14,11.767,0.805,17.3
20,3,15.278,4.647,3.1
21,1,16.114,3.078,26.2
22,9,18.34,5.934,4.5
23,1,22.717,8.948,32.5
24,14,23.189,9.126,11.6
25,14,23.507,9.032,10.6
26,7,25.201,7.106,11.8
27,2,28.543,8.025,33
28,3,29.13,3.917,13.5
29,3,28.599,3.755,5.9
30,3,28.583,3.833,3.8
31,1,27.302,1.44,29.9
32,15,24.552,4.821,22.2
33,9,21.442,5.254,6.1
34,10,20.977,5.126,25.9
35,15,21.007,1.2,22.5
36,9,20.886,0.652,7.8
37,9,23.398,0.542,4.5
38,9,24.092,0.432,5
39,1,30.416,9.081,14.4
40,7,30.758,9.576,12.5
41,9,31.377,9.642,4.6
42,14,34.803,5.55,16
43,15,34.473,1.757,10.4
44,14,36.991,1.198,25.9
45,15,38.197,5.876,16.9
46,15,38.127,6.409,7.3
47,1,37.526,6.328,21
48,7,36.354,8.618,11.5
49,9,39.318,8.609,8.7
50,9,39.293,8.704,4.3
51,1,40.489,9.028,23
52,1,41.333,5.344,26.3
53,3,37.026,5.428,1.5
54,11,44.485,8.207,25.9
55,14,46.948,8.029,17
56,1,42.535,0.542,15.5
57,1,43.369,0.912,17.9
58,14,47.259,0.257,19.7
59,1,47.041,1.467,12.8
60,7,48.084,1.898,13.2
61,10,51.799,0.255,27.2
62,2,55.727,0.955,34
63,1,53.518,2.377,13.4
64,14,54.26,3.18,16.5
65,14,51.06,6.362,17.5
66,15,51.669,6.004,34
67,1,54.564,5.378,15.4
68,14,50.642,3.792,10.8
69,4,55.664,6.372,8.4
70,1,67.1,6.311,24.2
71,1,61.089,8.896,21.5
72,10,60.852,2.007,33.4
73,9,64.408,4.724,3.7
74,9,64.785,4.456,5
75,11,66.851,1.967,4
76,9,67.814,2.8,11.4
77,7,69.103,1.345,5.6
78,1,69.434,0.777,8.5
79,14,68.512,5.773,2.5
80,1,69.142,9.041,19.6
81,15,66.923,9.433,12.5
82,9,67.248,9.242,4.2
83,7,71.228,5.243,4.7
