treeno,species,x,y,dbh,ht,cw
1,11,1.554,1.162,14,13.7,7.6
2,6,0.338,2.965,28.2,18.8,12.6
3,9,1.961,4.386,9.2,9,6.1
4,13,0.485,6.469,17.4,15.3,9.9
5,9,0.842,7.117,7,7.6,5.6
6,2,1.247,8.768,8.9,8.2,6.8
7,2,1.236,8.976,4.2,4.6,4.8
8,9,1.117,8.916,12,10.6,8.2
9,9,5.869,7.371,11.2,10.2,8.7
10,9,8.06,6.929,12,10.6,9.4
11,9,7.956,6.475,15.4,12.1,10.5
12,11,5.958,2.014,12.2,12.6,8.2
13,11,6.896,0.364,26,18.2,12.9
14,12,18.817,1.559,10.6,9.6,10.1
15,12,18.508,5.245,7.3,7.6,9.7
16,12,19.7,5.887,20.2,13.4,14.8
17,2,18.424,7.104,1.6,2.4,7.4
18,6,16.696,8.894,25.4,18,17.3
19,2,17.62,9.486,9.3,8.4,11.2
20,2,17.64,9.427,10.1,9,11.5
21,12,18.898,8.371,10.5,9.6,11.8
22,12,19.455,9.64,23.8,14.3,16.8
23,12,20.948,6.899,9.8,9.2,11.7
24,7,23.911,5.539,10,11.2,12.7
25,12,22.227,4.428,9.6,9.1,11.3
26,12,23.058,3.612,20,13.3,15
27,9,23.241,3.307,3.6,4.6,8.7
28,13,24.776,3.755,20.4,16.5,16.3
29,12,21.22,1.48,18.3,12.8,13.5
30,9,23.604,1.611,6.6,7.3,9.8
31,12,28.901,0.93,16.8,12.3,14.7
32,9,28.927,1.08,4.1,5.1,9.8
33,12,29.657,6.562,7,7.4,12.6
34,12,27.761,9.618,25,14.6,19.2
35,2,30.548,10,2.5,3.2,11.6
36,2,31.217,7.396,3.9,4.4,11.7
37,12,31.298,8.531,18.5,12.9,17.8
38,12,31.118,4.877,13.5,11,15.1
39,12,31.265,4.599,6.5,7,12.3
40,6,30,3.963,25.3,18,19.3
41,3,30.775,2.84,3,4,10.1
42,12,30.589,1.387,16,12,15
43,2,33.264,1.085,3.3,3.9,10.4
44,12,33.359,1.873,12.3,10.5,14.5
45,2,33.436,1.196,2.3,3,10
46,2,35.712,1.566,5.5,5.7,12.1
47,2,35.917,1.565,6.5,6.4,12.6
48,12,34.858,2.364,22.7,14,18.5
49,14,34.565,3.888,4.5,4.9,12
50,2,34.721,6.604,3.4,4,12.2
51,14,33.614,6.601,3.2,3.8,11.8
52,12,33.387,9.618,21.5,13.7,19.6
53,12,36.752,9.221,11.7,10.2,17
54,9,37.651,7.399,3.6,4.6,13.3
55,9,37.922,7.396,3.2,4.2,13.2
56,14,38.737,7.771,6.7,6.6,14.9
57,12,39.54,7.924,5.9,6.5,15
58,6,38.32,5.874,27.2,18.5,22.5
59,12,38.128,5.217,14.6,11.5,17.4
60,12,37.883,3.599,17,12.4,17.7
61,12,39.664,3.419,15.3,11.8,17.5
62,12,39.381,2.535,8.2,8.2,14.6
63,12,41.81,3.05,9.5,9,15.8
64,9,44.88,3.59,3.8,4.8,14.3
65,12,43.65,4.59,18,12.7,19.7
66,14,42.7,5.12,4.1,4.6,14.1
67,9,41.08,6.28,5.7,6.5,14.9
68,2,40.81,8.12,2.7,3.4,13.8
69,9,41.9,7.96,5,5.9,15.2
70,9,42.07,7.91,3.6,4.6,14.5
71,14,44.9,7.82,1.8,2.6,14.3
72,9,46.3,7.24,5.7,6.5,16.4
73,2,47.34,5.9,2.7,3.4,14.8
74,6,49.69,3.9,27.1,18.5,24.8
75,2,48.99,4.05,1.6,2.4,14.3
76,14,45.67,1.89,3.8,4.3,13.9
77,12,47.71,1.97,2.6,3.3,13.9
78,3,47.75,1.34,3.2,4.2,14.1
79,3,47.8,1.37,1.8,2.6,13.4
80,2,49.31,1.13,3.1,3.7,14.3
81,2,50.5,1.19,1.1,2,13.7
82,2,50.43,1.49,1,1.9,13.7
83,12,50.62,2.24,8.5,8.4,17.4
84,12,51.26,0.86,11.2,9.9,18.3
85,12,51.62,0.78,3.4,4.2,15
86,12,51.74,0.52,1.4,1.9,13.9
87,14,53.25,0.58,3.7,4.2,15.4
88,14,54.04,0.91,4.5,4.9,16.1
89,12,55.02,0.83,9.3,8.9,18.5
90,9,54.82,1.7,3.6,4.6,16.2
91,2,55.34,0.93,2.2,2.9,15.4
92,2,55.36,0.8,3.5,4.1,15.9
93,2,54.6,0.96,1.3,2.1,14.7
94,2,54.36,1.18,1.8,2.6,15
95,2,54.55,0.98,1.9,2.7,15
96,3,57.42,0.77,1.3,2,15.4
97,2,50.53,0.61,1.5,2.3,13.7
98,3,58.56,0.37,2.2,3.1,16.1
99,12,59.33,0.89,49.2,17.9,31.8
100,14,54.22,4.57,2.2,2.9,16
101,2,54.9,5.56,2.8,3.5,16.7
102,2,54.91,5.6,1.8,2.6,16.2
103,14,54.16,6.42,2.1,2.9,16.4
104,2,53.94,6.93,1,1.9,15.9
105,12,53.96,5.67,8.1,8.1,19
106,12,51.46,6.13,18.3,12.8,22.2
107,7,50.47,6.88,2.8,4.1,16.1
108,12,51.8,7.26,10.3,9.5,19.7
109,14,52.62,7.84,12.4,10.4,20.8
110,2,51.97,7.96,2.1,2.9,16.2
111,2,52.07,8.14,3,3.6,16.7
112,2,52.04,7.81,2.7,3.4,16.5
113,2,51.6,9.29,1.5,2.3,16.2
114,2,51.67,9.26,1.3,2.1,16.1
115,2,54.6,7.43,2.2,2.9,16.8
116,2,55.17,9.13,3,3.6,17.7
117,13,55.17,7.41,11.7,12.3,21.7
118,12,55.48,7.74,6.2,6.7,19
119,12,56.51,9.22,5.7,6.3,19.4
120,2,57.21,7.91,4.2,4.6,18.5
121,2,57.19,7.76,2.4,3.1,17.6
122,12,56.61,5.63,7.5,7.7,19.4
123,3,58.08,5.82,2.1,3,17.2
124,7,58.23,7.23,12.4,12.8,22.7
125,3,60.16,7.7,3.8,4.8,19.1
126,3,60.17,7.82,3.3,4.3,18.9
127,6,60,9.01,58.2,23.1,37.6
128,14,61.85,7.7,11.8,10,22.8
129,3,60.99,4.46,2.7,3.7,18
