treeno,species,x,y,dbh
1,1,3.796,1.464,17.3
2,3,4.109,4.63,5.1
3,15,2.093,5.766,19.7
4,7,2.004,6.843,7.2
5,14,3.016,9.308,21.3
6,6,6.434,6.155,27.1
7,1,7.459,7.624,15.2
8,7,10.701,0.379,29.1
9,10,12.586,2.238,7.9
10,14,17.301,1.915,26.2
11,11,16.846,8.701,15.1
12,10,17.478,8.136,25.7
13,10,17.468,4.555,15.5
14,7,20.761,8.396,10.8
15,9,20.246,6.934,16.7
16,7,20.597,6.68,8.4
17,14,20.887,7.236,23
18,6,22.155,7.8,26.6
19,7,23.419,7.039,11.2
20,1,21.119,4.511,21.1
21,15,21.745,1.883,15.6
22,6,23.839,1.066,23.7
23,15,24.438,0.829,11.3
24,9,25.177,4.353,5.7
25,3,24.039,5.504,3.1
26,3,24.137,5.493,2.8
27,7,24.448,5.499,4.6
28,7,24.5,5.521,14.6
29,10,29.496,1.422,9.5
30,14,29.5,1.431,16.5
31,3,39.48,1.42,10.1
32,15,30.68,2.937,29.5
33,15,31.155,3.511,24.5
34,14,31.2,3.499,11.6
35,14,31.232,3.833,16
36,14,31.515,6.77,23.7
37,3,30.879,9.024,3.3
38,7,32.568,8.337,11.3
39,9,33.313,9.492,7.6
40,14,34.145,7.83,12.8
41,3,33.766,5.095,18.6
42,2,32.593,2.548,11.2
43,14,34.555,2.675,2.1
44,3,37.252,1.594,14.7
45,14,37.902,0.805,19.8
46,11,37.561,4.296,35.3
47,7,37.712,7.184,9.8
48,7,37.702,7.199,7.8
49,7,37.723,7.179,8
50,3,37.914,8.149,19.7
51,14,35.57,9.982,26
52,15,34.461,9.99,11.7
53,2,40.619,5.748,9.7
54,10,41.625,4.304,9.8
55,6,41.866,0.686,24
56,14,44.622,1.927,2.8
57,14,45.345,2.467,2.5
58,6,46.012,2.399,21.7
59,10,46.719,1.638,4.6
60,7,46.798,2.101,4.7
61,1,43.933,5.397,17.2
62,8,45.429,5.412,28.1
63,14,45.482,6.372,4.1
64,1,47.811,7.183,17.2
65,8,47.862,4.321,14.9
66,14,48.217,4.093,2.6
67,14,49.064,3.928,2.7
68,14,49.555,4.604,5
69,6,50.973,2.845,9.7
70,10,51.763,3.161,37
71,6,51.738,2.017,12.3
72,6,53.838,0.535,16
73,2,55.535,3.643,10.5
74,9,56.701,8.642,10.4
75,1,57.488,6.796,16.5
76,6,58.161,4.676,23.5
77,4,60.637,1.754,25.6
78,7,61.372,0.353,8.5
79,7,62.753,0.252,10.2
80,1,63.164,4.526,19.8
81,10,62.594,5.66,6.6
82,7,60.836,8.48,6.4
83,1,60.672,9.357,23.9
84,1,60.859,9.876,12.2
85,14,64.905,9.422,3.3
86,6,64.909,5.802,26.2
87,1,65.634,4.227,12.4
88,1,67.764,9.261,15
89,6,68.736,8.017,24.8
90,1,69.99,2.476,13.7
91,2,70.92,0.391,39.2
92,14,70.92,1.167,13.7
93,14,70.446,3.773,15.6
94,2,71.899,4.442,8.8
95,14,73.333,6.757,11.8
96,15,74.656,3.15,15.6
97,14,73.289,0.8,20.2
98,7,74.6,1.119,4.1
99,7,76.19,1.509,3.9
100,3,76.052,2.072,39
101,2,76.897,3.604,2.7
102,14,78.048,6.07,15.3
103,2,78.735,7.352,10.7
104,15,78.416,9.948,15.2
105,7,79.059,8.362,44.2
106,14,79.571,7.384,4.4
107,10,78.565,6.999,2.2
108,10,78.646,4.115,5.3
109,15,78.551,1.98,13.8
110,3,80.737,2.698,20.7
111,7,83.598,1.427,4.6
112,7,83.828,1.5,7.4
113,14,85.796,0.453,2.4
114,10,85.741,4.774,27
115,14,84.316,7.924,7.1
116,9,85.314,7.641,10.1
117,14,85.255,8.232,2.2
118,10,86.328,7.69,20
119,10,86.825,7.616,20
