Tree	x	y	dbh	species	height
167	43.7971	7.5089	21	8	0
168	37.07	6.4853	27	12	0
169	49.3786	47.7717	5.6	16	0
170	50.0646	48.4562	7.3	2	0
171	49.8755	49.1608	7.7	2	0
172	53.1241	48.9958	28.5	22	0
173	42.9635	7.9509	9.8	2	0
174	43.0072	9.0506	36.4	20	0
175	40.3395	8.3797	28.5	8	0
176	54.8748	47.5069	27	8	0
177	42.4728	11.7357	19.4	16	0
178	43.7672	13.2951	5.7	18	0
179	55.1213	48.4975	7.5	2	0
180	53.1477	48.218	5	2	0
181	42.7592	9.3516	9.4	16	0
182	41.2071	12.3442	8.5	19	0
183	42.3292	12.8788	10.2	16	0
184	42.3777	13.2765	61	9	0
185	41.4936	15.1718	14	19	0
186	40.5518	17.3679	11.5	20	0
187	57.4464	44.8109	12	18	0
188	39.1363	17.0027	6.5	16	0
189	58.0058	44.1668	24	18	0
190	61.9171	45.1	33.2	22	0
191	61.5313	43.0873	6.5	18	0
192	61.346	43.0791	5.8	18	0
193	61.7107	42.1501	6.7	18	0
194	61.9418	41.6354	5	2	0
195	61.8266	41.5672	5	2	0
196	65.5077	40.1692	39	22	0
197	65.1906	35.3629	5	2	0
198	36.9477	17.768	23.1	20	0
199	67.7258	32.1685	6	6	0
200	67.3725	31.9799	13.7	16	0
201	37.6201	19.782	24.5	19	0
202	34.2287	16.0648	11.4	21	0
203	38.5158	14.0903	16.4	18	0
204	35.5682	9.3691	14.8	8	0
205	31.5582	13.1494	14.3	18	0
206	31.0054	12.9685	13.1	2	0
207	73.8944	35.1091	26.6	8	0
208	30.0114	9.1211	6.3	18	0
209	71.6076	29.9556	24	8	0
210	73.6824	29.1403	33.1	22	0
211	29.159	9.4289	8.1	18	0
212	23.9832	8.7421	16.6	2	0
213	22.8078	8.332	18.8	18	0
214	24.1995	11.036	33.5	18	0
215	24.9874	11.8937	11.1	18	0
216	22.854	12.294	22.5	20	0
217	74.6122	37.9878	21.3	22	0
218	20.9161	13.7442	17	8	0
219	73.8909	40.4827	41.2	22	0
220	23.6591	15.485	9	16	0
221	23.5647	15.6097	5	16	0
222	21.3768	15.6126	27	20	0
223	21.167	15.5019	15.6	20	0
224	21.0691	16.8202	10.6	12	0
225	16.5913	16.5345	15.2	17	0
226	65.531	46.556	47.5	6	0
227	18.6844	12.7061	10.8	2	0
228	65.9156	46.4435	19.6	16	0
229	64.1642	49.4263	42.5	7	0
230	63.4308	51.4015	6	16	0
231	63.885	50.8526	16.5	16	0
232	63.5262	52.1638	31.2	6	0
233	59.6689	50.5147	32.2	22	0
234	58.4212	53.1496	5.5	2	0
235	61.0938	56.3837	20.3	16	0
236	56.2978	56.0545	19.8	22	0
237	66.1107	59.4024	8.9	2	0
238	16.2309	11.9589	50	6	0
239	72.4371	54.1233	33	20	0
240	15.3288	12.0176	11.6	16	0
241	17.3631	8.8651	28.8	19	0
242	16.1656	9.717	10.9	16	0
243	16.1286	12.2419	12.2	6	0
244	15.199	4.515	8	16	0
245	23.5603	20.2109	9.5	2	0
246	23.8826	6.1351	17.7	7	0
247	29.2543	18.0731	5	2	0
248	28.2706	19.1811	10	11	0
249	70.651	51.6471	12.3	17	0
250	29.7859	20.5744	8.3	2	0
251	25.3674	23.9595	8.8	20	0
252	24.2218	22.7032	29.7	8	0
253	20.4749	22.9113	38.5	8	0
254	32.7286	21.8156	28	3	0
255	32.7505	25.6467	20.1	19	0
256	25.8895	29.4082	39	8	0
257	19.1777	30.2899	32.5	8	0
258	19.5673	30.2597	5.5	2	0
259	72.4946	51.5222	28.2	7	0
260	74.6347	52.8947	6.3	22	0
261	77.0364	50.2933	42.9	9	0
262	79.4657	46.0082	25.5	8	0
263	74.0612	46.2544	39.3	2	0
264	80.4171	40.0234	27	16	0
265	77.8664	37.5907	27.8	8	0
266	79.8356	35.2317	24.9	18	0
267	81.0288	31.9535	25.8	8	0
268	79.0075	30.2861	6.1	2	0
269	78.5983	26.1688	22.5	2	0
270	73.7306	25.2326	5.6	2	0
271	79.3578	25.3118	10.3	18	0
272	68.2853	21.9866	7.5	2	0
273	67.5872	21.4513	34.7	8	0
274	67.3586	24.7777	12.7	2	0
275	64.9694	22.1319	6	2	0
276	64.4311	21.0624	7.5	2	0
277	62.6082	19.8738	8.4	16	0
278	60.4736	19.8114	6.6	9	0
279	59.9837	18.6372	18.6	7	0
280	59.7374	18.4245	13.7	16	0
281	67.2574	15.4806	32.3	2	0
282	68.9066	13.4079	35.7	18	0
283	68.2864	12.4394	7.4	18	0
284	68.2816	12.6335	7.5	18	0
285	68.0337	12.4706	14.5	18	0
286	68.1946	12.5078	5.2	18	0
287	73.1629	10.3012	30	8	0
288	78.256	14.8914	49.2	18	0
289	78.159	15.4578	9.3	18	0
290	76.7264	16.5565	33.3	22	0
291	78.4641	18.2701	14.4	6	0
292	78.5074	18.5117	9.9	22	0
293	76.9254	18.8167	29.4	10	0
294	82.0813	18.5214	13.7	2	0
295	83.1029	17.3231	7.4	16	0
296	86.0318	18.7105	48.6	18	0
297	83.9501	22.9326	39	21	0
298	85.205	23.2096	34.4	22	0
299	84.1212	27.1249	7	17	0
300	88.6409	27.2453	32.3	2	0
301	87.3429	30.7761	28.9	22	0
302	83.3214	30.5333	20.2	21	0
303	84.4336	32.0007	11.8	17	0
304	86.5587	36.9352	29.5	8	0
305	84.0716	39.8125	20	8	0
306	84.9869	41.6817	28.5	8	0
307	91.4751	35.6616	35.6	6	0
308	92.1948	35.3864	26.1	22	0
309	96.8003	29.3404	20.9	11	0
310	98.6826	28.648	20.5	7	0
311	5.8979	57.011	19.2	2	0
312	5.8005	56.7105	7.1	2	0
313	7.7913	56.6772	5	2	0
314	6.435	57.3522	7.3	2	0
315	6.7444	53.1159	18.4	2	0
316	6.5202	58.8961	19.8	21	0
317	6.1282	60.7962	9.6	2	0
318	5.0101	62.7314	5.3	2	0
319	2.2363	65.0164	6.8	2	0
320	3.285	65.6615	5.7	2	0
321	1.6112	76.3211	16.6	18	0
322	2.4281	77.8904	5.9	2	0
323	2.9655	78.6354	15.8	2	0
324	1.5002	79.6907	10.4	18	0
325	1.7264	79.9129	9	18	0
326	1.6856	82.2137	36.4	8	0
327	1.5713	79.6877	10.6	2	0
328	5.8256	86.5906	13	7	0
329	6.9357	89.8168	22.9	16	0
330	3.3244	93.8675	7.2	4	0
331	2.0001	96.6141	8	16	0
332	2.2943	97.0999	9.7	16	0
333	4.9515	99.4199	6.3	16	0
334	7.2657	94.5993	40	9	0
335	7.6072	94.8827	37.5	9	0
336	10.248	94.9336	48.4	19	0
337	10.6126	93.0273	5.8	6	0
338	14.4806	96.4993	11.1	17	0
339	14.6434	96.4274	10.9	17	0
340	16.5482	96.7957	15.5	11	0
341	17.5083	91.7439	27.3	9	0
342	13.4586	89.1822	7.5	16	0
343	13.082	89.6313	27.5	2	0
344	12.0166	86.2592	16.8	17	0
345	11.8107	87.0156	21	17	0
346	12.3653	85.9285	15.8	17	0
347	12.7367	86.1363	10.3	17	0
348	11.2229	81.7193	13	19	0
349	12.0375	74.7754	30.2	19	0
350	8.6013	73.5643	32	22	0
351	6.6484	73.8942	5.5	19	0
352	8.7431	71.7845	23.5	19	0
353	8.0937	67.9064	38	8	0
354	9.3882	67.5317	35	22	0
355	11.0549	65.9031	33.3	22	0
356	11.3483	66.2397	9.1	22	0
357	11.4525	66.2623	6	22	0
358	11.0962	62.4256	32.3	8	0
359	10.0204	59.6468	14.9	16	0
360	10.2869	59.6118	13.9	16	0
361	17.5411	53.9772	28.4	16	0
362	18.1261	56.2688	17.6	2	0
363	17.1408	57.8267	41.1	6	0
364	18.2141	58.5862	20.6	16	0
365	14.8946	59.5274	12.9	7	0
366	14.0546	63.0552	13.4	2	0
367	19.9921	63.0681	6.7	10	0
368	20.1009	63.0124	9.1	10	0
369	16.2423	69.0278	26	20	0
370	12.1166	70.4181	18.5	18	0
371	18.0171	71.4085	16.8	21	0
372	19.4675	70.2249	20	7	0
373	19.5788	70.7507	44.8	7	0
374	20.5588	69.9084	15.6	19	0
375	21.5646	69.4672	14.1	6	0
376	21.8671	68.1734	8.5	19	0
377	25.2909	73.2384	7.5	2	0
378	27.9475	75.498	7	2	0
379	30.1706	74.8487	12	22	0
380	30.3644	74.74	12.8	22	0
381	31.372	77.1957	5.8	2	0
382	29.6955	77.9832	6	18	0
383	29.9758	78.0971	6.8	18	0
384	29.8948	81.0509	25	8	0
385	30.1672	80.1731	5	2	0
386	23.198	82.3525	39.8	8	0
387	20.871	80.0682	9.5	6	0
388	21.0215	80.2979	6.5	6	0
389	19.5125	81.4208	5.5	18	0
390	19.0603	81.7696	5.3	6	0
391	18.4286	83.2985	31.5	8	0
392	17.1838	83.8675	26.1	7	0
393	21.784	83.2409	6.3	2	0
394	21.8681	84.0997	43.5	9	0
395	27.8311	86.8165	6.6	2	0
396	28.6297	90.4057	11.2	16	0
397	28.4797	90.4573	5.8	16	0
398	29.3125	90.5992	15.1	6	0
399	31.187	88.2637	10.9	6	0
400	23.2416	91.3179	5.8	19	0
401	24.2752	91.2845	91.3	19	0
402	23.2113	94.1939	7	16	0
403	24.1818	94.4819	9.5	16	0
404	26.5212	97.4386	38	6	0
405	22.3558	99.0517	22.8	11	0
406	25.3734	98.6231	12	13	0
407	33.3835	95.4834	54.2	18	0
408	34.1257	96.9886	12.7	17	0
409	32.4559	96.6291	5.2	22	0
410	37.6809	97.832	31.2	18	0
411	38.0479	97.8962	29.9	18	0
412	43.9091	98.5121	6	2	0
413	46.2327	93.8872	6.2	2	0
414	43.8326	94.9873	5.3	16	0
415	42.1364	92.6793	33	18	0
416	39.1877	92.4581	12	18	0
417	39.5348	90.1906	39.3	18	0
418	35.2322	90.9401	12.2	18	0
419	35.0188	90.8864	37.3	18	0
420	42.5373	85.4642	20.7	16	0
421	43.0544	80.4264	6.3	16	0
422	45.7106	80.4221	33.9	8	0
423	36.4686	79.2744	15.8	18	0
424	34.5883	79.6439	21.7	8	0
425	35.5028	76.3114	11.8	6	0
426	36.347	75.5585	11.2	18	0
427	34.9546	74.9459	9.5	17	0
428	37.1803	73.4673	34.6	22	0
429	32.3142	68.9487	10.1	18	0
430	32.2374	68.8063	7.6	18	0
431	32.1095	68.8151	9.6	18	0
432	28.502	70.7367	39	18	0
433	28.2084	67.2196	6.5	18	0
434	29.2243	64.906	9.8	20	0
435	31.0298	65.1562	38	7	0
436	31.5586	62.9961	8.3	2	0
437	32.436	65.9296	6.2	6	0
438	29.0475	61.2201	7.6	19	0
439	28.3162	61.0194	6	22	0
440	29.2439	60.7671	5.6	22	0
441	24.555	63.4393	20	6	0
442	29.7875	60.5027	6.9	22	0
443	27.9821	62.0534	11.5	19	0
444	27.5032	62.2546	19.6	21	0
445	22.6154	58.3974	9.3	16	0
446	22.9409	57.1183	8.9	6	0
447	23.2385	57.157	22	6	0
448	27.9497	45.3531	7.1	17	0
449	29.0656	45.9607	23	20	0
450	29.4324	47.8469	11.4	22	0
451	28.25	47.9122	10.2	16	0
452	29.4923	48.7423	12	18	0
453	29.6537	48.9039	13	18	0
454	27.7915	49.6303	30.5	22	0
455	28.9612	50.4987	6.3	2	0
456	28.9088	50.7027	5.9	2	0
457	34.2181	47.9463	17.1	2	0
458	30.1946	53.2874	21	8	0
459	30.5279	54.6909	26.8	8	0
460	29.4287	56.0766	6.2	2	0
461	36.8827	56.6787	22.1	16	0
462	38.6728	50.1471	28.7	7	0
463	38.695	51.7514	23	7	0
464	39.3147	52.4473	6	16	0
465	40.1922	52.6375	12.1	9	0
466	43.8943	50.4863	9.2	2	0
467	44.2901	51.6468	31.9	8	0
468	47.5961	51.3715	41.4	22	0
469	46.2417	52.7413	9.5	2	0
470	49.1108	56.3101	15.8	6	0
471	49.0685	56.7294	11.9	6	0
472	45.9613	59.1623	6.7	16	0
473	44.399	59.854	42.5	18	0
474	39.6245	57.3177	17	21	0
475	34.7385	62.4761	5.7	2	0
476	34.8809	63.1387	5.4	2	0
477	38.7336	63.5297	24.6	8	0
478	40.6052	65.3334	45.8	22	0
479	43.7169	63.2929	24.5	16	0
480	47.8516	65.0534	12.3	18	0
481	50.3353	60.6378	99	19	0
482	50.4721	68.0667	8	19	0
483	47.2496	70.373	37.8	22	0
484	43.6648	70.8391	20.4	22	0
485	44.0647	71.495	19.8	21	0
486	41.8536	74.3861	30.6	21	0
487	43.281	75.4673	9.5	18	0
488	46.8908	74.8115	31.5	8	0
489	51.7313	73.6988	7.1	18	0
490	54.1329	65.99	30.4	18	0
491	57.0411	70.9035	76	19	0
492	60.4465	72.5021	23.8	18	0
493	61.3326	73.0242	38.6	21	0
494	60.0191	76.399	37.4	21	0
495	61.069	78.8563	30.7	13	0
496	57.63	79.0301	7.4	16	0
497	56.2837	77.0889	7.5	16	0
498	54.5279	78.733	10.2	22	0
499	53.9627	78.0681	6.6	2	0
500	50.9333	78.6155	6.3	2	0
501	47.4926	81.6738	7.4	2	0
502	49.1478	82.0958	10.5	22	0
503	49.336	84.4484	8	19	0
504	49.6122	84.9073	13.7	22	0
505	48.0497	86.216	33.7	8	0
506	49.4853	87.7584	11.9	6	0
507	48.1726	88.4156	7.1	16	0
508	50.646	88.4033	11	16	0
509	51.7454	87.1715	7.6	9	0
510	48.8322	90.0708	9.3	18	0
511	51.7833	90.0976	26	9	0
512	54.5208	83.5356	15	11	0
513	56.1645	82.297	16.1	16	0
514	55.6464	83.7679	12.2	20	0
515	56.4084	85.7768	8.1	16	0
516	55.4328	86.863	14.1	16	0
517	59.3215	85.9563	13.7	16	0
518	59.4857	86.0488	13	16	0
519	59.9866	84.186	27.4	8	0
520	60.2487	84.0661	30.2	8	0
521	58.5784	83.4613	16.4	9	0
522	59.3881	82.146	19.2	20	0
523	63.6583	82.355	26.6	8	0
524	64.3465	87.5708	22.2	8	0
525	63.5916	83.0247	6.5	2	0
526	64.5625	87.926	27	8	0
527	65.3222	89.3884	12.4	9	0
528	62.5638	88.8423	6.2	22	0
529	61.3239	89.3837	21.2	20	0
530	66.6352	90.7723	16	10	0
531	66.5393	91.7718	40.8	18	0
532	63.4484	92.8982	10.3	16	0
533	57.7775	92.1757	10	22	0
534	57.4459	92.2247	11	16	0
535	56.7128	92.2723	13.1	20	0
536	55.0433	90.9507	10.9	20	0
537	55.0423	92.6936	18.7	11	0
538	53.6564	92.1403	15.1	11	0
539	49.3243	94.4337	33	22	0
540	50.7769	94.9266	18.8	19	0
541	53.3112	95.2905	27.4	22	0
542	69.2093	97.54	7.3	2	0
543	66.7729	99.4731	30.8	8	0
544	55.9333	95.4966	8.4	22	0
545	66.5623	99.2052	16.9	9	0
546	73.7286	96.9662	14.3	2	0
547	73.955	94.2205	19.8	8	0
548	75.3005	99.9368	6.6	2	0
549	75.7783	96.2048	7.1	2	0
550	76.8049	93.8455	9.6	20	0
551	75.8071	92.5397	8	2	0
552	75.7149	92.4614	7.4	2	0
553	72.471	90.6996	6.5	22	0
554	72.0214	90.4432	15.2	7	0
555	69.6094	89.3359	24	8	0
556	67.1147	89.7422	7.3	2	0
557	66.6141	85.7918	12.1	16	0
558	66.619	85.95	9.8	16	0
559	70.8798	88.6392	17.8	17	0
560	73.3224	87.2588	38.5	6	0
