treeno,species,x,y,dbh
1,6,1.401,2.255,13.4
2,9,1.839,2.322,10.1
3,9,1.838,2.322,8
4,6,5.058,5.008,21.6
5,10,5.018,4.958,2.7
6,10,4.58,6.303,7
7,9,4.164,7.084,20.3
8,10,5.443,8.275,5.7
9,10,5.019,8.542,1.1
10,14,5.373,8.85,1.9
11,14,5.145,9.293,11.4
12,14,3.822,7.878,3.1
13,7,8.001,9.319,8.1
14,14,8.565,8.728,5.9
15,2,8.434,8.235,2.7
16,14,8.096,7.739,2.5
17,15,7.686,6.68,4.7
18,14,7.938,6.406,7
19,9,8.533,0.975,3.4
20,10,10.998,1.809,2.9
21,7,12.032,1.113,8.1
22,10,12.855,2.134,4.4
23,9,13.294,2.41,5.9
24,7,14.483,1.022,9.9
25,10,14.149,2.234,1.9
26,6,17.306,2.545,18.8
27,10,16.453,8.029,21.5
28,14,15.69,8.212,12
29,14,15.675,8.212,5
30,14,16.325,9.517,24.6
31,7,20.254,5.168,10.1
32,7,20.547,5.178,5.4
33,14,29.997,5.56,33.2
34,14,26.282,3.9,22
35,2,31.061,1.741,17.1
36,3,28.576,2.922,3.8
37,15,32.157,4.525,8.1
38,7,33.045,6.321,6.9
39,14,32.186,8.069,20.9
40,7,34.859,2.943,7.2
41,7,35.018,3.279,5.2
42,7,34.763,2.821,4.3
43,7,35.186,2.565,9.5
44,14,34.392,0.637,26.3
45,14,34.795,0.27,22.5
46,10,35.159,0.489,2.5
47,10,39.421,8.759,14.1
48,1,43.998,9.447,20.6
49,15,41.159,7.473,11
50,14,42.893,5.031,16.2
51,14,42.517,5.986,2.6
52,3,44.161,4.434,5.3
53,1,45.384,4.082,30.2
54,14,45.09,3.143,9.3
55,10,42.846,0.961,3
55,14,58.346,53.34,31.2
56,7,44.029,0.001,12.1
57,2,47.26,5.084,26.1
58,6,49.337,3.792,11.3
59,6,49.721,7.476,12.7
60,14,49.529,7.637,8.9
61,14,49.229,7.719,5.8
62,14,49.78,8.142,12.7
63,14,46.808,7.725,26.1
64,14,46.499,5.577,6.1
65,14,53.657,8.52,18.8
66,2,56.66,2.964,8.4
67,15,56.467,3.142,23.3
68,9,53.791,3.041,8.3
69,2,53.358,2.257,26.8
70,15,52.646,2.443,6.3
71,15,52.748,2.429,8.2
72,14,52.366,2.399,6.3
73,3,51.631,1.5,5.9
74,6,50.935,0.526,9.2
75,1,59.358,2.184,26.4
76,9,60.892,4.672,10.3
77,9,60.678,4.984,16.6
78,1,62.853,7.243,23
79,10,64.17,7.97,3.7
80,1,65.402,9.9,27.1
81,1,69.421,8.867,24
82,7,64.365,4.096,6.6
83,9,63.128,4.415,4.9
84,9,63.019,3.439,7.7
85,9,62.878,3.023,6.3
86,9,63.325,2.812,4.6
87,9,62.61,3.065,9
88,9,62.699,3.013,7.2
89,9,62.057,3.53,4.7
90,14,69.406,2.394,28.7
91,14,72.037,7.179,6.4
92,14,72.237,7.712,23.1
93,11,75.56,8.527,15.6
94,11,75.957,7.515,17.9
95,11,75.69,2.098,24.7
96,9,75.105,0.559,8.9
97,2,75.372,0.001,16.7
98,15,77.266,0.729,9.7
99,14,77.314,0.517,6.9
100,1,79.657,1.466,20.1
101,15,81.152,7.71,16.6
102,2,82.93,8.746,11.9
103,9,80.592,5.116,7
104,1,80.798,0.96,8.1
105,6,83.372,0.423,10.6
106,14,92.687,9.56,19.5
107,14,93.04,9.524,7.4
108,14,92.849,9.377,2.5
109,15,93.914,8.917,18.3
110,15,93.709,8.194,11.4
111,14,93.429,6.798,18.5
112,2,92.558,6.944,3.9
113,7,91.327,7.534,20.1
114,14,91.769,7.494,4.5
115,9,90.279,5.578,10
116,9,90.217,5.414,5.5
117,9,90.335,5.089,9.7
118,9,90.23,5.52,12.6
119,9,90.001,4.864,9.4
120,9,90.731,7.512,5.8
121,7,91.491,2.268,7.8
122,7,91.641,2.305,23.5
123,9,96.899,3.181,2.6
124,9,97.824,4.317,4.3
125,6,98.194,4.384,8.6
126,15,99.771,1.341,23.5
127,9,97.253,7.923,11.4
128,9,97.538,8.134,9
129,14,2.668,11.044,4.6
130,10,3.911,11.327,4
131,10,3.849,11.428,3.8
132,9,4.477,14.993,3
133,9,5.08,16.649,2.9
134,9,2.082,15.667,3.2
135,10,1.687,15.949,3.2
136,2,2.755,16.093,2
137,9,1.412,18.125,2.2
138,10,1.334,17.371,2.3
139,10,1.916,18.474,2.2
140,14,1.284,19.311,6.8
141,1,3.455,18.222,14.5
142,1,4.331,17.521,11.8
143,1,5.826,18.129,10.7
144,14,5.211,16.219,12.6
145,14,5.867,15.089,2.1
146,14,6.163,15.069,9
147,14,7.112,14.115,5.8
148,10,8.097,14.835,30.7
149,14,8.482,15.777,18.3
150,14,7.99,17.783,18.4
151,1,9.99,10.455,21.1
152,14,10.566,10.832,2.1
153,2,12.613,14.527,7.2
154,14,14.181,17.191,17.4
155,7,13.967,18.311,7.3
156,14,16.623,17.261,13.7
157,2,13.593,11.687,14
158,2,13.646,11.667,20.3
159,2,14.959,12.661,21.8
160,14,18.277,11.609,8.4
