Number	x	y	dbh	species	ht
134	115.9772	61.9241	26.8 	12	14.6 
135	106.0632	58.5052	26.5 	12	14.4 
136	139.8251	58.4912	28.8 	12	15.9 
137	139.8317	58.6954	18.8 	12	10.8 
138	139.7384	59.2766	22.8 	12	11.7 
139	136.0076	67.4907	19.4 	12	11.9 
140	110.2253	33.1439	6.6 	13	11.9 
141	110.2519	32.721	5.1 	13	6.9 
142	92.0913	27.7066	5.5 	13	6.4 
143	130.7086	6.6161	5.4 	13	8.3 
144	130.6065	6.9804	5.4 	13	9.2 
145	89.9353	68.8274	5.4 	13	3.8 
146	103.1787	54.6981	5.7 	13	8.4 
147	71.2398	21.1285	6.8 	14	4.5 
148	79.9346	23.0398	13.6 	14	10.9 
149	80.1348	23.5944	6.2 	14	6.5 
150	116.1913	10.3068	28.4 	14	20.8 
151	103.2592	19.3002	6.0 	14	5.6 
152	104.1995	22.8717	5.0 	14	4.5 
153	114.362	30.2368	16.5 	14	11.8 
154	96.8659	64.63	9.5 	14	8.6 
155	107.5674	59.8192	5.4 	14	4.0 
156	129.3014	10.0484	20.5 	15	10.8 
157	129.0257	10.3078	37.6 	15	19.3 
158	129.5876	10.3284	36.8 	15	18.7 
159	73.0018	52.8512	9.6 	16	7.5 
160	97.4293	36.6764	19.1 	17	15.0 
161	84.5835	40.531	18.2 	17	11.9 
162	118.2712	2.4212	8.6 	18	6.3 
163	135.5952	16.0758	35.9 	19	20.4 
164	120.27	28.3548	38.1 	19	21.2 
165	104.6239	30.5333	30.6 	19	19.3 
166	81.4841	32.9363	21.8 	19	21.2 
167	76.7544	36.2463	49.3 	19	21.4 
168	79.5469	37.9618	62.2 	19	20.0 
169	75.9707	51.1974	16.2 	19	14.4 
170	75.9599	51.1955	20.9 	19	19.1 
171	98.5764	66.6202	17.0 	19	16.9 
172	94.0391	13.1177	5.1 	20	6.2 
173	116.1684	34.1562	5.1 	20	6.5 
174	75.2125	11.7496	29.5 	21	14.8 
175	92.1157	14.8897	17.7 	21	13.2 
176	103.1069	19.8758	9.3 	21	9.3 
177	138.3689	36.0173	17.7 	21	11.2 
178	135.9407	47.8916	19.0 	21	13.1 
179	133.1768	49.4379	15.9 	21	20.1 
180	127.8289	52.8084	23.9 	21	16.1 
181	121.7872	44.7982	22.1 	21	12.6 
182	107.7244	31.5544	20.5 	21	13.4 
183	105.8534	31.9783	19.5 	21	11.4 
184	87.8702	46.4099	9.1 	21	9.9 
185	81.9379	67.8085	7.3 	21	6.7 
186	80.5454	62.0985	13.1 	21	10.3 
187	88.3903	66.8087	20.4 	21	13.9 
188	108.3075	69.9002	5.2 	21	6.7 
189	116.3948	63.1291	17.7 	21	14.7 
190	79.1172	28.4345	8.6 	22	9.2 
191	77.0787	10.7869	14.4 	23	12.1 
192	102.6908	21.6874	5.2 	23	6.7 
193	137.6196	8.0945	8.5 	24	11.8 
194	123.9094	24.6436	8.2 	24	10.5 
195	114.8314	47.5972	13.7 	24	13.6 
196	88.1569	32.509	13.3 	24	9.4 
197	70.6039	55.1006	9.5 	24	9.3 
198	95.5626	66.9994	10.7 	24	10.7 
199	101.4912	59.6053	14.4 	24	16.2 
200	79.9179	20.5421	16.8 	25	13.7 
201	104.1026	17.3352	9.7 	25	11.4 
202	135.6319	68.1819	6.1 	25	9.3 
203	72.4062	3.4855	29.0 	26	21.0 
204	70.6178	11.0545	31.0 	26	23.1 
205	70.4583	11.5739	33.7 	26	22.7 
206	71.9297	21.2022	23.9 	26	22.7 
207	74.9124	19.0019	28.6 	26	24.1 
208	78.5983	13.8483	17.4 	26	14.9 
209	75.1366	3.1605	5.5 	26	5.1 
210	78.5507	11.6889	10.4 	26	10.3 
211	83.6384	12.2873	49.2 	26	20.8 
212	75.8856	20.9102	25.3 	26	22.4 
213	79.203	23.5418	23.4 	26	24.7 
214	81.5195	21.1551	16.2 	26	14.3 
215	73.3421	26.5418	22.6 	26	19.6 
216	91.2713	5.7213	22.1 	26	21.3 
217	111.3561	2.297	24.4 	26	8.9 
218	125.342	8.9979	23.2 	26	20.6 
219	134.3753	20.559	6.6 	26	8.6 
220	138.2577	23.3048	39.5 	26	21.9 
221	129.8759	24.2389	23.7 	26	21.4 
222	122.1138	23.306	18.1 	26	8.1 
223	119.3587	21.0395	27.2 	26	17.8 
224	106.553	4.3933	6.3 	26	5.3 
225	104.8932	8.032	8.0 	26	6.6 
226	106.3439	9.1405	11.4 	26	9.6 
227	115.2317	17.1698	13.2 	26	12.1 
228	114.9185	20.6569	5.4 	26	6.9 
229	101.4802	15.2492	16.3 	26	12.3 
230	100.9442	15.0368	20.3 	26	15.9 
231	101.0487	15.4612	17.2 	26	17.3 
232	98.2967	13.0909	24.7 	26	17.5 
233	95.3488	5.131	34.8 	26	20.5 
234	94.8222	15.7847	21.1 	26	18.7 
235	88.4124	20.8328	41.4 	26	23.1 
