treeno,species,x,y,dbh,ht,cw
1,10,0.85,2.462,4.9,5.2,3.4
2,10,3.083,3.334,2.2,2.9,2.9
3,4,1.132,3.996,1.8,2.6,2.4
4,10,1.003,4.299,2,2.8,2.5
5,9,0.712,6.582,8.2,8.4,6
6,9,0.243,6.126,21.8,14.3,10.6
7,9,0.657,6.898,10.5,9.8,7
8,9,0.377,6.737,17,12.7,9.2
9,9,0,7.011,13.8,11.5,8.1
10,9,0.45,7.623,12.7,11,7.9
11,9,0.315,7.754,9,8.9,6.5
12,9,1.207,9.815,21.5,14.2,11.7
13,9,0.881,9.701,17.5,12.9,10.3
14,10,2.522,8.692,1.3,2.1,3.7
15,4,2.316,10,1.9,2.8,4.3
16,10,2.861,9.969,1.9,2.7,4.4
17,9,7.076,9.673,18.7,13.3,12.2
18,9,7.17,9.588,18.2,13.2,12
19,9,6.657,8.255,11.5,10.4,9.2
20,10,6.334,6.772,2.1,2.9,4.5
21,9,7.449,8.291,1.8,2.6,5
22,10,8.483,8.36,2,2.8,5.4
23,10,8.02,7.517,1.1,2,4.6
24,12,6.451,1.802,9.7,9.1,6.8
25,9,4.168,0.38,11.6,10.4,6.6
26,9,5.719,0.485,8.4,8.5,5.8
27,12,7.811,0.406,15.1,11.7,8.7
28,12,12.754,0.837,12.9,10.8,9.3
29,9,25.901,9.83,4.8,5.8,11.6
30,2,11.849,1.601,1.8,2.6,4.5
31,10,12.34,2.13,1.2,2,4.4
32,12,12.716,2.166,20.2,13.4,12.1
33,2,13.622,1.606,6.2,6.2,6.9
34,2,11.716,2.422,6.3,6.3,6.7
35,2,11.852,2.539,3.4,4,5.4
36,2,12.098,2.305,3.3,3.9,5.4
37,10,14.875,3.771,1.5,2.3,5.6
38,12,14.466,5.259,15,11.6,11.6
39,10,13.86,4.826,1.2,2,5.5
40,10,13.745,6.191,1.8,2.6,6.1
41,9,55.776,7.836,2,2.8,17.1
42,10,10.726,4.62,1.7,2.5,4.9
43,2,12.131,6.556,5.9,6,7.6
44,10,12.187,6.923,1.3,2.1,5.6
45,10,10.674,7.675,2.6,3.3,6.1
46,10,11.418,8.416,2.2,2.9,6.2
47,10,10.962,8.921,3.8,4.3,7
48,10,13.974,9.093,2.5,3.2,7.2
49,12,16.554,8.577,13,10.8,12.2
50,12,16.515,7.363,23.2,14.2,15.3
