plot	Number	dbh	height	x	y	species
1	120	5.7	7.5	57.3087	16.3424	30
1	121	5.9	10.4	9.7269	13.9171	30
1	122	7.1	12.4	40.4979	22.7866	31
1	123	9	11	42.1423	2.7691	32
1	124	25.5	18.1	55.9292	53.3016	32
1	125	30.8	18.5	55.9744	53.2105	32
1	126	10.5	11.3	49.681	13.0765	32
1	127	8.8	10.6	53.5283	6.0279	33
1	128	11.9	11.5	52.0071	10.2347	33
1	129	9.8	11.7	49.7612	5.3635	33
1	130	8.3	12.7	51.6009	2.9935	33
1	131	11.5	13.5	52.2391	0.8008	33
1	132	9	11.7	42.9328	1.3818	33
1	133	9.2	13.8	38.252	4.8869	33
1	134	11.8	13.3	36.2923	0.7883	33
1	135	8.7	12.3	37.3802	0.1319	33
1	136	6.2	10.5	27.9823	0.4966	33
1	137	5.7	8.7	28.0202	0.0978	33
1	138	8.4	10.6	23.2765	1.4499	33
1	139	9.2	11.4	21.2457	3.6052	33
1	140	8.3	11.2	19.5952	4.1272	33
1	141	5.7	11	18.7499	3.5531	33
1	142	8.7	8.7	42.5274	5.9756	33
1	143	10.2	10.8	42.5877	8.8955	33
1	144	11.5	13.1	45.6072	9.1044	33
1	145	10.2	12.8	52.1878	20.6351	33
1	146	10.4	11.3	28.832	13.6492	33
1	147	6.9	5.4	30.8764	17.1502	33
1	148	6.2	8.5	34.9083	14.4101	33
1	149	5.7	10.8	11.6636	4.4269	33
1	150	7.1	11.2	8.3603	2.542	33
1	151	5.9	8	14.4575	35.9023	33
1	152	10.2	10.2	6.1065	10.0375	33
1	153	5.6	10.4	14.2348	14.8761	33
1	154	6.7	10.8	10.3413	9.8421	33
1	155	9.8	10	12.1554	27.6977	33
1	156	10.3	13.2	13.3996	32.9703	33
1	157	7	11.4	11.0236	32.6283	33
1	158	5.1	11.5	44.94221932	3.244549041	33
1	159	5.2	6.7	38.60704713	12.08484672	33
1	160	5.8	9.8	18.97420677	10.70107354	33
1	161	6.3	9.6	40.0101	3.0661	33
1	162	7.9	8.2	26.9674	2.4323	33
1	163	8.1	5.1	18.6404	1.34	33
1	164	6.5	10.4	3.9299	5.8497	33
