Tree	x	y	dbh	species	height
166	39.8923	5.4696	13.5	1	0
167	38.7412	7.4379	12	1	0
168	38.3513	11.7881	8.8	2	0
169	39.739	12.2733	13	1	0
170	39.677	14.9541	8.9	1	0
171	38.5856	18.3321	13	1	0
172	37.6075	19.7994	10.6	1	0
173	37.3221	20.6982	11	1	0
174	37.2265	22.3225	8.9	1	0
175	39.0671	22.8608	10	1	0
176	37.0632	24.1531	13	1	0
177	35.8359	24.7814	9.5	1	0
178	36.8968	25.8331	10.5	1	0
179	39.0123	26.6264	5.8	1	0
180	39.9149	27.7507	7.2	1	0
181	39.8859	25.4899	10.5	1	0
182	39.4686	24.6911	10.8	4	0
183	39.9529	32.809	10.4	5	0
184	39.0403	64.2745	9	1	0
185	39.1911	65.2543	10.5	1	0
186	39.7447	66.7386	7.5	1	0
187	38.9704	67.8941	8.8	1	0
188	39.1106	69.1101	8.9	1	0
189	39.8338	70.4333	7.4	1	0
190	39.6912	71.9589	14.4	1	0
191	39.6051	77.2852	8.5	1	0
192	39.6718	77.953	9.1	1	0
193	35.1679	79.114	7.8	1	0
194	36.6085	77.7902	8.2	1	0
195	35.4067	76.3204	16.5	1	0
196	35.9955	73.7484	8.3	5	0
197	35.8685	72.9066	13.4	1	0
198	34.754	72.9642	7	1	0
199	34.9249	71.9154	7.6	1	0
200	34.7644	70.3661	4.7	1	0
201	37.3322	72.3766	7.5	1	0
202	37.4378	71.2962	11	1	0
203	36.9164	69.8195	5.7	1	0
204	36.2159	67.7062	9.8	1	0
205	35.9255	66.1662	7.7	1	0
206	36.1587	64.9916	8.1	1	0
207	35.2641	63.7371	10.8	1	0
208	37.5601	62.2317	15.2	1	0
209	35.1332	61.4151	6.3	1	0
210	36.2893	60.2125	10.5	1	0
211	36.871	59.2604	10.8	1	0
212	39.3014	59.7631	6.5	1	0
213	39.3382	58.6378	7.8	1	0
214	39.3978	57.5326	6.5	1	0
215	39.0302	55.8217	6.8	1	0
216	39.4403	54.6442	5.8	2	0
217	36.1257	58.3714	5.2	1	0
218	36.3336	56.2289	12.7	1	0
219	36.3207	54.2469	8	1	0
220	36.7937	53.3397	9.8	1	0
221	37.8896	53.1952	12.1	1	0
222	36.7796	51.9299	5.6	1	0
223	37.3589	51.024	8.6	1	0
224	38.4892	50.551	11.6	1	0
225	38.631	48.7891	7	1	0
226	36.465	49.7753	9.1	1	0
227	36.7876	49.0064	5.8	1	0
228	37.3878	47.5219	13.8	1	0
229	38.946	47.1825	10	1	0
230	38.8625	46.0909	10	1	0
231	38.1456	45.5397	8.7	1	0
232	38.3418	42.6249	6.3	1	0
233	37.2586	41.1201	12.7	1	0
234	37.0922	41.96	7.4	1	0
235	36.9481	43.2819	6	1	0
236	36.7788	44.4431	8.9	1	0
237	36.4856	45.3872	7	1	0
238	36.0468	47.5454	5.4	1	0
239	34.7775	48.2413	9.3	1	0
240	35.4209	49.5994	7.5	1	0
241	35.3223	50.3256	8	1	0
242	35.013	52.2532	5.1	1	0
243	35.0548	53.3817	12.6	1	0
244	34.6495	55.9689	7.5	1	0
245	34.558	56.9078	7.3	1	0
246	34.5576	57.8835	9.9	1	0
247	34.0979	60.0004	7.3	1	0
248	34.033	60.9288	6	1	0
249	33.5935	62.9166	6.9	1	0
250	33.8938	64.755	5	1	0
251	33.9041	65.6779	10.1	1	0
252	34.2026	67.9919	5.1	1	0
253	32.1412	79.081	7.3	1	0
254	32.1716	77.8713	8.4	1	0
255	29.5606	79.9367	6.2	1	0
256	30.7384	79.5605	4.2	1	0
257	30.5615	77.7729	11.5	1	0
258	30.7423	77.1781	11	1	0
259	31.9293	76.4403	6.6	1	0
260	31.8648	75.0486	8.2	1	0
261	32.8214	74.5465	6.5	1	0
262	33.5751	74.1281	6.6	4	0
263	33.8338	72.3271	7.1	7	0
264	32.996	72.0353	9	1	0
265	32.613	71.4523	6	4	0
266	31.7282	74.1793	7.1	1	0
267	31.5995	71.2949	11.3	1	0
268	31.8382	73.2067	7.8	1	0
269	32.7553	70.4149	9.1	1	0
270	31.1225	69.5877	7	1	0
271	31.044	68.4948	5.9	1	0
272	32.2852	69.2231	7.4	1	0
273	33.5737	69.2853	6.5	1	0
274	33.2185	68.3913	8.6	1	0
275	33.0022	67.0614	6.8	1	0
276	32.314	66.4433	10	1	0
277	31.1065	66.4007	7.3	1	0
278	30.9488	65.5463	9.8	1	0
279	31.4453	65.0548	7.8	5	0
280	32.2443	64.5158	7.3	1	0
281	32.0917	63.731	7.3	1	0
282	30.8354	61.2689	13.7	1	0
283	31.8859	61.0529	10.3	1	0
284	32.1107	58.3504	8	1	0
