treeno,species,x,y,dbh
1,9,96.305,0.65,4.5
2,2,96.169,1.999,7.5
3,1,96.775,4.208,12.8
4,7,98.449,9.877,10.7
5,14,94.798,9.956,3.5
6,9,90.579,9.989,12.4
7,11,91.69,7.335,16.4
8,9,93.819,1.749,2.8
9,7,94.219,2.163,5
10,3,94.12,1.088,3.4
11,14,93.98,0.905,3.2
12,14,93.78,0.338,8.8
13,15,90.001,0.001,16.3
14,9,90.65,2.353,4.7
15,9,90.414,2.439,4.8
16,11,90.592,3.579,4.1
17,11,90.486,3.387,5.5
18,3,87.003,9.708,5.1
19,11,86.058,9.513,3
20,7,84.409,9.295,8.7
21,1,84.217,9.854,33.4
22,15,83.414,8.039,14.5
23,15,84.963,7.306,21.1
24,3,83.428,5.668,8.4
25,3,83.696,4.701,3
26,14,84.369,2.763,3.6
27,14,84.368,2.762,2.5
28,3,85.725,0.745,5.2
29,3,85.852,0.548,2.3
30,2,83.1,0.574,18.4
31,15,81.823,1.502,13.3
32,1,80.153,0.933,15.2
33,14,81.005,1.109,11.7
34,15,82.557,2.934,12.4
35,15,82.724,3.843,12.3
36,2,82.82,4.12,10.8
37,3,82.769,4.47,1.6
38,10,82.413,5.876,26
39,14,82.027,6.062,12.9
40,15,81.116,6.718,11.7
41,2,80.456,6.529,10
42,14,80.804,7.738,10.7
43,15,80.355,9.664,26
44,14,79.762,8.47,10.3
45,10,79.977,4.2,25.7
46,9,77.51,8.567,18.6
47,10,76.514,8.971,14.3
48,15,75.243,9.546,10.5
49,2,73.765,7.674,10.1
50,10,72.738,7.946,19.4
51,10,72.3,7.28,23.7
52,10,71.679,7.278,10.9
53,1,71.331,3.417,22.2
54,1,70.854,2.31,19.7
55,3,72.125,4.09,1.6
56,14,63.431,1.063,14.5
57,1,64.238,1.741,24.8
58,9,66.381,8.535,2.7
59,10,64.138,4.256,15
60,15,67.158,9.305,10.5
61,14,59.997,3.125,10.5
62,6,59.999,3.903,22.5
63,1,59.422,2.478,23.7
64,1,58.282,3.321,16.2
65,1,56.817,5.571,29.1
66,7,55.86,6.173,5.2
67,7,54.17,6.995,3.3
68,9,53.648,7.743,5.4
69,1,59.083,7.765,15.2
70,9,50.34,5.01,4.1
71,1,50.264,1.257,18.8
72,15,51.01,1.16,11.2
73,14,51.029,1.342,8.7
74,1,48.47,6.276,21.5
75,2,48.895,7.112,16.5
