treeno,species,x,y,dbh,ht,cw
1,9,95.82,2.53,11.8,10.51,30.2
2,9,95.79,2.49,9.8,9.41,29.4
3,9,96.09,1.53,9.3,9.11,29
4,9,96.2,1.57,6.3,7.03,27.8
5,9,96.2,1.56,3.7,4.71,26.5
6,2,97.7,0.72,2.7,3.39,26.1
7,2,95.2,2.66,2,2.77,25.7
8,2,97.88,5.61,2.2,2.95,27.2
9,1,96.86,6.38,9.1,8.29,30.2
10,2,98.84,8.86,1.3,2.14,27.8
11,2,99.2,9.61,2,2.77,28.4
12,12,96.94,8.64,21.3,13.69,35.1
13,12,95.13,6.1,20.8,13.55,33.9
14,1,92.16,9.54,25.2,16.79,35.9
15,2,91.72,3.62,1.3,2.14,24.7
16,2,90.62,3.3,1.1,1.96,24.2
17,12,91.11,2.67,24.9,14.57,33.3
18,12,93.3,0.23,28.5,15.3,34.3
19,9,91.91,0.7,4.3,5.3,25.6
20,9,88.4,4.42,13.9,11.5,29.6
21,9,88.07,4.02,9.5,9.23,27.7
22,9,87.06,2.84,12.7,10.95,28.4
23,9,87.17,1.3,10.2,9.64,27.1
24,9,87.41,0.87,12.3,10.76,27.8
25,9,83.14,3.82,12.7,10.95,27.7
26,2,82.31,1.9,1.8,2.59,22.2
27,9,81.63,1.56,13.2,11.19,26.9
28,2,82.1,0.78,1.5,2.32,21.7
29,2,83.35,0.21,2.3,3.04,22.2
30,2,81.96,0.18,2,2.77,21.7
31,2,81.46,0.93,1.1,1.96,21.4
32,2,80.43,0,2.7,3.39,21.6
33,2,80.43,1.05,2.1,2.86,21.6
34,2,80.95,1.78,1.1,1.96,21.4
35,1,80.67,9.13,7.3,7.03,26
36,2,79,0.56,2.1,2.86,21.1
37,2,75.55,5.46,1.4,2.23,21.2
38,2,77.11,8.09,2.5,3.21,22.7
39,9,76.31,8.77,1.3,1.97,22.1
40,12,79.7,8.74,36.3,16.54,35.3
41,9,69.38,7.36,11.2,10.2,24.5
42,2,67.52,3.48,1.5,2.32,18.7
43,4,64.64,2.32,1.2,1.7,17.5
44,2,63.12,1,1.4,2.23,16.9
45,2,62.16,0.77,2.2,2.95,17
46,9,64.68,5.42,6,6.79,20.7
47,9,64.34,5.07,7.4,7.85,21.2
48,9,64.12,5.51,11.8,10.51,23
49,1,66.19,10,3.1,3.73,20.8
50,2,65.01,9.82,2.1,2.86,19.9
51,2,60.39,8.96,2.2,2.95,18.6
52,2,58.38,8.32,1.2,2.05,17.5
53,2,58.55,5.33,1,1.86,16.7
54,2,58.99,1.64,2.5,3.21,16.6
55,2,58.16,2.34,1.2,2.05,15.9
56,1,58.04,0.87,15,11.92,21.5
57,2,56.91,1.8,1.1,1.96,15.4
58,2,55.66,2.94,1,1.86,15.4
59,3,53.13,3.8,15.7,12.25,21.2
60,3,55.42,6.27,12.2,10.71,21.2
61,3,55.5,4.77,9.9,9.47,19.9
62,1,55.98,7,28.1,17.93,27.3
63,1,54.91,7.1,10,8.9,20.2
64,1,51.54,7.12,23.6,16.12,24.6
65,1,50.89,5.82,20.2,14.59,22.9
66,2,47.92,9.06,1.8,2.59,15.3
67,2,49.21,6.88,1.1,1.96,14.8
68,1,47.16,4.52,13.7,11.18,19.1
69,1,48.56,2.66,30.4,18.78,25.1
70,9,48.3,0.77,1.5,2.23,13.2
71,1,45.75,0.51,28.8,18.2,23.3
72,2,45.8,2.11,2,2.77,13.2
73,2,45.53,3.95,1.6,2.41,13.4
74,2,44.65,4.3,1.5,2.32,13.2
75,2,46.8,6.06,1.4,2.23,14.1
76,1,44.72,8.5,27.8,17.82,24.7
77,2,44.06,5.73,2.1,2.86,13.7
78,2,43.34,5.15,2.5,3.21,13.6
79,1,39.76,3.99,21,14.96,19.9
80,1,39.61,6.11,14.3,11.53,17.9
81,2,38.79,5.12,1.1,1.96,11.7
82,2,36.73,5.69,1.9,2.68,11.8
83,2,37.08,7.27,3,3.64,12.7
84,1,39.43,8.99,6,6.06,15.1
85,4,36.73,8.2,1.1,1.53,11.9
86,2,35.28,8.12,4,4.48,13
87,2,34.27,9.19,1.4,2.23,11.8
88,2,33.65,9.04,1.2,2.05,11.5
89,2,33.27,7.95,2.8,3.47,11.9
90,2,31.1,8.54,2.7,3.39,11.4
91,1,31.55,9.62,6.1,6.14,13.4
92,2,31.17,6.61,1.5,2.32,10.4
93,1,33.02,5.54,11.9,10.11,15.1
94,2,30.23,4.94,1.3,2.14,9.7
95,2,30.94,4.18,1.5,2.32,9.7
96,1,31.94,3.84,24.5,16.5,19.2
97,2,33.76,2.27,2.7,3.39,10.5
98,12,37.31,1.48,17,12.38,17
99,12,36.81,0.27,21.4,13.71,18
100,12,35.27,0.76,23.1,14.15,18.3
101,2,34.91,0.83,2.6,3.3,10.4
102,12,32.17,1.21,17.9,12.68,16
103,8,26.28,0.38,21.5,16.84,16.3
104,2,26.6,3.25,1.3,2.14,8.3
105,1,25.06,3.37,12.7,10.59,12.9
106,8,26.62,4.17,15.4,14.36,15.1
107,1,28.81,4.43,4.2,4.65,10.5
108,9,29.23,5.38,22.5,14.45,17.9
109,2,29.74,6.06,3.2,3.81,10.7
110,4,24.52,8.64,1.6,2.34,9.3
111,9,23.15,7.07,1.3,1.97,8.4
112,4,22.11,6.35,1.5,2.18,8
113,1,21.48,6.17,9.1,8.29,11.3
114,1,24.48,3.55,5.3,5.52,9.7
115,2,23.53,3.27,1.2,2.05,7.5
116,9,22.74,3.5,1.5,2.23,7.5
