treeno,species,x,y,dbh,ht,cw,,check
125,2,83.41,0.887,1.5,2.3,22,,
126,2,83.45,0.898,4.1,4.6,23.3,,
127,13,84.279,0.801,27.3,18.5,32.7,,
128,2,84.756,1.227,6.5,6.4,24.7,,
129,2,84.84,1.366,4.2,4.6,23.8,,
130,10,86.199,0.977,1.6,2.4,22.8,,
131,12,87.635,0.752,8.2,8.2,26.2,,
132,12,83.749,3.103,6.5,7,25.1,,
133,2,84.324,2.997,4.9,5.2,24.4,,
134,10,83.565,3.492,2,2.8,23,,
135,10,84.778,2.917,2.3,3,23.3,,
136,2,85.873,4.487,4.8,5.1,25.1,,
137,2,83.774,4.873,2.5,3.2,23.6,,
138,10,83.078,5.541,2.8,3.5,23.7,,
139,10,81.666,5.473,2.5,3.2,23.2,,
140,10,80.968,9.128,2.5,3.2,24,,
141,2,80,9.131,7.2,7,25.8,,
142,10,78.784,9.24,3.5,4.1,23.9,,
143,10,82.791,7.529,2.6,3.3,24.1,,
144,12,83.232,7.255,8.3,8.3,26.8,,
145,10,85.136,8.366,4.4,4.8,25.7,,
146,12,85.491,9.123,23.8,14.3,33.2,,
147,12,88.558,8.86,16.7,12.3,31.6,,
148,10,87.82,5.6,2.1,2.9,24.6,,
149,2,89.532,5.61,4.1,4.6,26,,
150,12,89.83,6.105,11.5,10.1,29.4,,
151,12,88.639,3.676,8.1,8.1,27.1,,
152,2,90,2.537,2.8,3.5,24.7,,
153,10,88.496,1.865,1.8,2.6,23.7,,
154,10,89.394,2.285,1.5,2.3,23.9,,
155,12,90.765,1.097,7.8,7.9,26.9,,
156,2,91.382,3.832,2.5,3.2,25.2,,
157,10,90.942,3.915,2.4,3.1,25.1,,
158,10,91.274,4.399,1.8,2.6,25,,
159,10,93.324,3.688,1.4,2.2,25.2,,
160,2,94.733,2.945,4.1,4.6,26.6,,
161,10,94.378,0.766,1.8,2.6,24.9,,
162,12,98.722,0.578,12.5,10.6,30.6,,
163,10,97.588,0.974,1.3,2.1,25.5,,
164,12,99.402,1.185,51,18.1,42.4,,
165,10,98.986,2.365,1.6,2.4,26.3,,
166,2,95.577,3.325,6.4,6.4,27.9,,
167,12,95.913,4.678,8,8.1,29.2,,
168,12,98.601,5.616,33.5,16.1,38.5,,
169,10,98.115,7.117,1.2,2,27.1,,
170,10,97.147,6.98,2.6,3.3,27.5,,
171,10,93.897,7.385,3.9,4.4,27.4,,
172,12,94.137,8.538,6.6,7.1,29.1,,
173,12,94.624,8.629,10.5,9.6,30.8,,
174,13,95.195,8.602,23.1,17.4,36.1,,
175,13,95.73,8.573,28.2,18.8,37.8,,
176,12,97.616,9.551,5.8,6.4,29.8,,
177,12,98.353,9.2,10.2,9.4,31.8,,
178,10,99.043,11.321,2.4,3.1,29,,
179,12,98.043,12.472,13.6,11.1,33.8,,
180,10,96.912,12.536,1.2,2,28.2,,
181,12,99.8,13.231,19.4,13.1,36.4,,
182,10,99.087,14.339,1.9,2.7,29.5,,
183,2,98.045,13.537,5.5,5.7,30.7,,
184,2,98.927,13.5,3.2,3.8,29.9,,
185,2,97.109,14.817,3.7,4.2,30,,
186,2,97.259,14.988,2.3,3,29.4,,
187,2,97.156,15.06,3.6,4.2,30,,
188,12,97.101,15.34,23.9,14.3,37.7,,
189,12,97.838,15.777,17.9,12.7,36,,
190,2,97.373,15.909,4.4,4.8,30.6,,
191,12,96.67,19.323,33.4,16.1,41.4,,
192,10,96.162,18.684,2.4,3.1,30.1,,
193,10,95.795,17.239,3.1,3.7,30,,
194,10,94.83,16.738,2.9,3.6,29.5,,
195,2,92.424,16.954,10.5,9.2,32.3,,
196,10,92.626,14.749,1.4,2.2,27.8,,
197,10,92.01,13.444,2.9,3.6,28,,
198,10,90.211,10.533,1.3,2.1,26,,
199,10,88.374,11.026,1.5,2.3,25.8,,
200,2,88.836,11.496,5.5,5.7,27.9,,
201,12,87.874,11.736,12.2,10.4,30.6,,
202,12,87.075,12.768,10.9,9.8,30.1,,
203,12,85.564,10.661,25.9,14.8,34.2,,
204,12,85.128,12.647,16.1,12.1,31.5,,
205,10,85.963,13.548,2.1,2.9,26.1,,
206,13,86.77,15.948,36.9,20.5,40,,
207,10,89.042,13.052,3,3.6,27.2,,
208,2,89.82,15.374,4.7,5.1,28.7,,
209,10,89.258,15.83,2.2,2.9,27.6,,
210,10,89.207,17.856,2.8,3.5,28.3,,
211,12,88.352,17.613,15.4,11.8,33.3,,
212,10,89.375,19.7,5.3,5.5,30,,
213,10,87.977,20,1.2,2,27.8,,
214,10,82.438,16.168,1.8,2.6,25.7,,
215,12,82.052,16.533,16.1,12.1,31.7,,
216,2,80.286,18.059,3.5,4.1,26.5,,
217,2,80.209,17.986,2.9,3.6,26.2,,
218,2,80.275,17.84,1.3,2.1,25.4,,
219,10,80.883,14.88,2.4,3.1,25.3,,
220,7,81.938,14.418,13.1,13.2,30.7,,
221,2,81.528,13.035,10.9,9.5,28.7,,
222,2,80.467,12.544,6.6,6.5,26.5,,
223,10,80.592,11.067,2.8,3.5,24.5,,
224,10,82.48,12.022,2.7,3.4,25.1,,
225,10,84.137,12.215,1.9,2.7,25.2,,
226,10,83.951,10.961,4,4.5,25.8,,
227,10,81.127,11.715,1.2,2,24,,
228,2,81.191,10.631,2.7,3.4,24.5,,
229,10,70.379,11.125,3.1,3.7,22.1,,
230,13,78.897,10.802,36.1,20.4,36.5,,
231,10,77.856,11.229,3,3.6,23.9,,
232,2,76.738,13.138,10,8.9,27.2,,
233,10,79.258,12.6,2.5,3.2,24.4,,
234,2,78.442,12.814,2.5,3.2,24.2,,
235,2,79.32,12.678,1.5,2.3,24,,
236,10,79.1,13.095,2.1,2.9,24.3,,
237,14,79.617,13.839,3.1,3.7,25.1,,
238,12,79.8,13.95,21.6,13.8,32.3,,
239,10,79.272,19.421,3.6,4.2,26.6,,
240,10,77.525,18.154,1.8,2.6,25,,
241,2,76.961,16.619,14,11.4,29.7,,
242,2,76.83,16.081,2,2.8,24.4,,
243,2,74.367,15.301,3.9,4.4,24.5,,
244,10,75.186,13.023,3.6,4.2,24,,
245,10,76.419,13.733,2.5,3.2,24,,
246,2,73.26,10.862,6.1,6.1,24.1,,
247,2,73.382,10.971,7,6.8,24.5,,
248,2,72.27,12.544,5.4,5.6,24,,
249,2,72.06,12.54,5.5,5.7,23.9,,
250,12,70.6,13.106,32.6,16,33.1,,
251,2,72.097,12.651,1.9,2.7,22.3,,
252,2,72.709,13.49,2.7,3.4,23.1,,
253,2,72.692,13.516,6.6,6.5,24.8,,
254,2,72.66,13.414,1.8,2.6,22.6,,
255,12,71.474,16.333,17.5,12.5,29.5,,
256,2,72.263,17.226,1.8,2.6,23.5,,
257,10,70.847,16.755,2.5,3.2,23.3,,
258,10,69.049,16.245,2.3,3,22.7,,
259,2,68.432,16.375,6,6.1,24.2,,
260,2,68.395,16.174,1.2,2,22,,
261,10,67.238,16.163,5,5.3,23.4,,
262,12,68.502,14.393,35.7,16.5,33.8,,
263,2,67.658,13.966,4.3,4.7,22.7,,
264,2,67.805,14.023,7,6.8,23.9,,
265,2,67.742,13.93,3,3.6,22.1,,
266,12,66.873,13.816,22.4,14,29.3,,
267,12,68.051,12.766,22.4,14,29.3,,
268,10,69.124,12.5,1.2,2,21.2,,
269,10,67.451,12.023,2.1,2.9,21.1,,
270,12,64.595,10.821,31.8,15.9,30.8,,
271,10,61.591,11.646,2.3,3,19.6,,
272,10,64.981,15.684,1.8,2.6,21.3,,
273,10,64.35,19.172,1.8,2.6,22,,
274,10,63.641,18.639,2.2,2.9,21.9,,
275,10,63.545,19.573,1.8,2.6,21.9,,
276,10,62.314,18.016,2.5,3.2,21.5,,
277,10,61.045,18.103,3.1,3.7,21.5,,
278,10,59.577,18.795,2.5,3.2,21,,
279,12,59.703,15.172,30,15.6,30.1,,
280,9,54.499,17.637,4,5,20.3,,
281,9,54.965,17.463,9.5,9.2,22.8,,
282,10,44.611,18.207,4.7,5.1,18.1,,
283,9,8.328,28.502,6.5,7.2,12.6,,
284,10,30.648,20.814,1.8,2.6,14,,
285,9,54.865,17.32,9.1,9,22.6,,
286,9,54.832,13.666,7.5,7.9,21,,
287,9,53.874,13.656,4.4,5.4,19.3,,
288,9,57.743,12.804,7,7.6,21.3,,
289,10,54.006,11.276,4.4,4.8,18.6,,
290,4,55.473,11.049,1,1.4,17.2,,
291,4,55.162,11.301,1.1,1.5,17.3,,
292,4,54.879,11.229,1,1.4,17.1,,
293,4,53.362,12.849,1.1,1.5,17.2,,
294,4,51.686,10.575,1.8,2.6,16.7,,
295,4,51.447,11.562,3.2,4.6,17.7,,
296,10,51.281,14.19,2,2.8,17.6,,
297,10,48.976,11.611,2,2.8,16.3,,
298,10,47.8,16.954,1.5,2.3,17.1,,
299,10,49.527,16.151,3.3,3.9,18.2,,
300,12,45.672,15.799,32.8,16,27.6,,
301,10,45.551,18.521,4.5,4.9,18.4,,
302,10,47.327,18.558,2,2.8,17.7,,
303,10,45.128,18.841,1.8,2.6,17.1,,
304,10,43.958,19.804,2.1,2.9,17.2,,
305,10,42.281,19.858,3.3,3.9,17.3,,
306,10,40.924,19.936,5.6,5.8,18.1,,
307,10,42.925,16.1,4.2,4.6,17,,
308,10,44.319,15.809,4.3,4.7,17.3,,
309,10,44.469,13.345,1.3,2.1,15.3,,
310,10,42.484,13.695,5.8,5.9,17,,
311,10,41.681,13.762,4.8,5.1,16.3,,
312,10,40.522,13.75,3.7,4.2,15.6,,
313,9,40.17,15.12,5.4,6.3,16.7,,
314,9,40.21,15.13,5.4,6.3,16.8,,
315,4,40.516,15.552,8.5,10.1,18.7,,
316,4,40.393,15.462,27.6,18.6,25.5,,
317,4,40.655,15.622,31.4,19.5,26.8,,
318,4,38.731,14.147,3.3,4.8,15.2,,
319,10,37.196,17.669,2.2,2.9,15,,
320,10,39.058,19.433,7.5,7.2,18.3,,
321,4,36.258,19.8,30.3,19.2,26.4,,
322,10,33.667,17.831,2,2.8,14.1,,
323,10,33.596,16.259,3.8,4.3,14.5,,
324,9,32.956,14.615,2.8,3.8,13.5,,
325,10,35.212,14.522,1.3,2.1,13.3,,
326,9,33.07,14.699,1.3,2,12.8,,
327,10,32.556,15.057,1.5,2.3,12.9,,
328,9,29.361,16.496,14.5,11.8,18,,
329,9,28.373,15.806,9.1,9,15.6,,
330,9,29.615,17.251,7,7.6,15.4,,
331,12,28.426,19.477,27.8,15.2,22.7,,
332,12,27.352,17.641,22,13.9,20.2,,
333,12,27.071,17.777,24.5,14.5,21,,
334,9,26.698,17.546,2.3,3.2,12.4,,
335,9,28.079,16.247,10.5,9.8,16.2,,
336,9,28.245,16.296,4.2,5.2,13.5,,
337,2,27.241,12.519,26.7,17.4,21,,
338,9,25.176,10.95,3.8,4.8,11.2,,
339,9,25.025,11.063,7.8,8.1,13,,
340,9,25.158,11.312,15.5,12.2,16,,
341,9,25.473,14.196,9.8,9.4,14.7,,
342,9,25.26,14.461,4.6,5.6,12.5,,
343,2,24.571,14.454,6.5,6.4,13,,
344,9,21.057,10.588,15.7,12.3,14.9,,
345,9,21.428,11.082,9.6,9.3,12.9,,
346,9,20.991,11.398,12.6,10.9,14,,
347,9,21.091,11.157,12.1,10.7,13.8,,
348,9,21.146,10.985,5.8,6.6,11.1,,
349,3,20.64,11.541,1.3,2,8.9,,
350,3,20,11.872,1.2,1.8,8.7,,
351,9,20.798,13.225,2.8,3.8,10.1,,
352,9,22.255,13.51,3.2,4.2,10.8,,
353,9,22.201,13.554,3,4,10.7,,
354,9,23.38,13.468,4.1,5.1,11.5,,
355,9,22.425,13.492,6.6,7.3,12.4,,
356,9,24.813,15.442,2.8,3.8,11.7,,
357,12,24.434,16.251,25.9,14.8,20.3,,
358,12,23.298,16.851,20.9,13.6,18.7,,
359,12,21.94,17.716,12.2,10.4,15.6,,
360,12,20.578,18.559,33.5,16.1,22.2,,
361,2,19.9,17.422,14.2,11.5,15.7,,
362,6,19.564,19.513,21.3,16.8,19.3,,
363,9,13.228,19.336,10.2,9.6,13.1,,
364,9,12.817,15.08,16.5,12.6,14.2,,
365,9,13.552,15.103,13.4,11.3,13.3,,
366,9,14.291,14.803,4.3,5.3,9.7,,
367,9,15.132,15,10.8,10,12.7,,
368,9,14.942,14.087,6.6,7.3,10.7,,
369,12,18.052,11.536,6.2,6.7,10.6,,
370,12,16.767,11.147,17.7,12.6,14.6,,
