treeno,species,x,y,dbh,ht,cw,,check
549,10,81.727,27.989,2,2.8,28.6,,
550,2,81.17,25.806,2.2,2.9,28,,
551,9,81.391,26.126,7.5,7.9,30.7,,
552,10,80.671,27.544,2,2.8,28.2,,
553,10,82.528,28.709,3,3.6,29.5,,
554,10,81.4,28.762,4.4,4.8,29.8,,
555,9,83.179,28.392,4.9,5.9,30.6,,
556,10,84.259,29.282,4.9,5.2,30.9,,
557,10,84.533,28.811,3,3.6,30,,
558,12,86.033,29.135,15.4,11.8,35.6,,
559,10,86.136,29.537,2.4,3.1,30.3,,
560,12,89.56,30.741,14.6,11.5,36.6,,
561,12,88.73,27.848,14.4,11.4,35.6,,
562,12,88.455,27.929,21.5,13.7,37.9,,
563,7,86.432,25.7,18.1,15.6,36.5,,
564,7,86.38,25.518,10.3,11.4,33.4,,
565,2,85.448,24.618,4.6,5,29.9,,
566,10,85.278,25.898,1.2,2,28.6,,
567,2,85.237,22.941,2.6,3.3,28.5,,
568,12,84.615,21.554,7.5,7.7,30.3,,
569,10,89.028,21.185,1.2,2,28.4,,
570,12,89.537,22.157,19.9,13.3,36.2,,
571,12,90.791,24.44,14,11.2,35.1,,
572,2,91.5,26.935,4.5,4.9,32,,
573,12,91.246,27.334,12.6,10.6,35.4,,
574,10,90.574,29.262,1.4,2.2,30.9,,
575,12,90,30,3.5,4.3,32,,
576,10,95.276,20.524,5.4,5.6,31.7,,
577,10,95.891,21.927,2.1,2.9,30.7,,
578,10,97.697,21.577,2.5,3.2,31.2,,
579,10,97.602,20.544,3,3.6,31.2,,
580,2,96.713,23.864,1.6,2.4,31.1,,
581,2,96.77,24.076,1.1,2,31,,
582,12,99.676,21.371,11.5,10.1,35.7,,
583,12,99.141,23.88,17,12.4,38.1,,
584,10,99.448,25.271,3.6,4.2,33.1,,
585,12,98.491,25.634,11.5,10.1,36.4,,
586,2,99.367,27.257,2.2,2.9,32.9,,
587,2,99.562,27.396,1.7,2.5,32.8,,
588,12,92.493,30.842,28.9,15.4,41.9,,
589,12,92.811,31.259,8.5,8.4,35.2,,
590,10,98.707,39.28,5.8,5.9,37.4,,
591,10,95.791,39.152,3.3,3.9,35.5,,
592,12,93.394,39.156,25.8,14.8,43.3,,
593,2,93.329,39.869,12.2,10.3,38.9,,
594,12,90.656,39.157,20.3,13.4,40.9,,
595,10,90.833,37.786,2,2.8,33.3,,
596,2,88.733,38.402,8.3,7.7,35.8,,
597,7,89.699,39.708,16.1,14.7,40.1,,
598,9,85.991,39.305,5.7,6.5,34.4,,
599,10,85.117,39.712,2.2,2.9,32.5,,
600,12,87.699,35.946,15,11.6,37.6,,
601,12,87.457,35.415,13.9,11.2,37,,
602,12,86.029,36.158,15.3,11.8,37.3,,
603,12,85.976,35.929,9.8,9.2,35.2,,
604,3,85.84,35.762,1.3,2,31.2,,
605,10,86.573,36.084,1.2,2,31.5,,
606,10,87.968,35.31,1.2,2,31.6,,
607,12,86.391,34.764,34.5,16.3,43,,
608,10,85.291,35.298,1.1,2,30.9,,
609,10,84.698,35.179,1.1,2,30.7,,
610,10,85.491,35.504,1.5,2.3,31.2,,
611,10,84.882,35.67,2.5,3.2,31.6,,
612,12,84.801,33.448,10.7,9.7,34.7,,
613,10,86.579,33.197,3.2,3.8,31.7,,
614,10,87.701,33.558,3.6,4.2,32.3,,
615,10,88.912,32.377,1.3,2.1,31.2,,
616,12,89.565,31.845,6.5,7,33.7,,
617,10,85.236,30.908,3.2,3.8,30.8,,
618,10,83.584,31.58,3.6,4.2,30.7,,
619,12,84.112,31.533,8.2,8.2,33,,
620,10,83.241,30.554,2,2.8,29.6,,
621,10,81.976,31.779,5.7,5.8,31.3,,
622,6,80.317,33.716,17.8,15.4,36.8,,
623,10,80.838,37.393,3.9,4.4,31.6,,
624,10,81.837,37.418,3.2,3.8,31.6,,
625,10,81.938,38.829,3.4,4,32,,
626,10,81.761,39.336,1.6,2.4,31.3,,
627,10,78.953,39.542,3.3,3.9,31.4,,
628,10,76.453,39.879,2.5,3.2,30.5,,
629,10,76.314,39.526,2.5,3.2,30.4,,
630,10,78.524,36.524,1.6,2.4,29.8,,
631,10,77.556,35.463,1.5,2.3,29.2,,
632,10,77.109,34.157,3.4,4,29.7,,
633,12,78.908,34.335,26,14.8,38.5,,
634,2,78.555,34.26,2.1,2.9,29.4,,
635,9,78.32,31.646,9,8.9,32,,
636,10,77.176,32,3.7,4.2,29.3,,
637,10,74.953,33.274,4.2,4.6,29.3,,
638,2,74.551,33.597,2.3,3,28.4,,
639,10,74.995,34.472,1.2,2,28.2,,
640,10,72.67,32.634,5.3,5.5,29,,
641,10,71.776,33.004,2.2,2.9,27.5,,
642,10,70.799,35.263,4.6,5,28.9,,
643,4,73.439,36.241,21.8,16.9,37.1,,
644,4,72.762,36.604,10.2,11.3,32.7,,
645,4,73.257,36.381,16.4,14.8,35.2,,
646,4,72.948,36.413,23.5,17.5,37.6,,
647,4,73.817,36.297,24.5,17.8,38.1,,
648,12,75.194,39.159,21.5,13.7,37.4,,
649,12,72.552,38.556,19.6,13.2,36,,
650,12,72.149,39.017,15.4,11.8,34.6,,
651,10,72.417,38.427,1.6,2.4,28.7,,
652,10,70.874,37.993,4.6,5,29.6,,
653,10,70.781,39.934,2.3,3,29,,
654,10,69.333,40,3.4,4,29.2,,
655,10,67.457,38.594,10.1,9,31.3,,
656,10,63.709,39.508,4.5,4.9,28.2,,
657,10,61.373,39.221,3.7,4.2,27.1,,
658,10,61.341,39.204,1.6,2.4,26.1,,
659,9,60,37.527,14.2,11.6,30.8,,
660,10,64.832,37.658,5.4,5.6,28.4,,
661,10,65.009,36.338,5.7,5.8,28.2,,
662,10,66.028,37.381,1.2,2,26.7,,
663,10,68.029,37.02,3.6,4.2,28.2,,
664,10,67.913,35.898,3.6,4.2,27.9,,
665,10,67.671,34.104,3.4,4,27.3,,
666,6,67.503,33.994,2.6,3.8,27,,
667,10,67.691,32.073,5.8,5.9,27.9,,
668,6,69.124,31.531,3.1,4.5,27.1,,
669,10,69.543,31.53,3.1,3.7,27,,
670,10,68.973,30.468,2,2.8,26.1,,
671,6,68.973,30.424,5,6.8,27.8,,
672,10,67.412,30.848,1.3,2.1,25.4,,
673,10,65.728,31.393,7,6.8,27.7,,
674,6,65.96,31.572,3.5,5,26.5,,
675,6,66.477,32.197,5.4,7.2,27.8,,
676,10,64.839,31.942,4.6,5,26.6,,
677,10,64.771,33.434,3.5,4.1,26.4,,
678,10,65.494,32.993,4.1,4.6,26.8,,
679,10,57.691,33.644,3.9,4.4,24.9,,
680,12,56.953,36.03,36.5,16.6,36.5,,
681,10,59.229,36.19,3.5,4.1,25.7,,
682,12,55.583,38.758,11.5,10.1,29,,
683,2,54.471,37.617,8,7.5,26.9,,
684,12,53.638,37.644,16.8,12.3,30.1,,
685,10,54.979,35.492,1.5,2.3,23.6,,
686,12,52.92,34.891,20.4,13.4,30.4,,
687,10,53.761,35.182,2.8,3.5,23.8,,
688,10,52.092,35.41,2.2,2.9,23.2,,
689,10,52.019,33.159,2.6,3.3,22.8,,
690,10,51.216,31.21,2.7,3.4,22.1,,
691,10,50.565,32.611,3.5,4.1,22.7,,
692,10,50.764,34.651,5.8,5.9,24.3,,
693,10,51.259,36.749,1.5,2.3,23,,
694,4,51.613,37.94,31,19.4,35,,
695,4,52.052,38.385,4.5,6.2,25.3,,
696,4,51.478,38.093,12.6,12.9,28.8,,
697,4,51.953,38.771,4.2,5.9,25.2,,
698,4,51.729,38.543,2.7,4,24.2,,
699,4,51.462,38.142,17.2,15.2,30.5,,
700,10,50.683,39.021,1.3,2.1,23.3,,
701,10,46.617,38.304,2.3,3,22.6,,
702,10,49.575,37.16,3.4,4,23.5,,
703,10,49.413,35.024,3.6,4.2,23,,
704,10,49.094,33.126,2.9,3.6,22.2,,
705,9,50,31.06,16,12.4,27.4,,
706,10,41.265,32.404,3.3,3.9,20.2,,
707,8,41.201,34.928,19.9,16.3,28.1,,
708,9,41.111,35.373,3.7,4.7,21.2,,
709,9,41.054,35.317,8.8,8.8,23.5,,
710,9,40.381,35.824,12.1,10.7,24.7,,
711,9,40.685,35.923,8.7,8.7,23.5,,
712,9,41.055,35.435,8.2,8.4,23.3,,
713,9,40.978,36.016,5.4,6.3,22.2,,
714,9,40.671,36.581,4.4,5.4,21.8,,
715,10,44.322,39.525,2.8,3.5,22.5,,
716,10,42.522,39.453,4.2,4.6,22.7,,
717,10,41.144,39.505,1.5,2.3,21.1,,
718,10,39.407,39.492,2.1,2.9,21,,
719,10,37.194,39.527,1.5,2.3,20.1,,
720,12,36.535,39.038,22,13.9,27.9,,
721,12,36.547,38.6,17,12.4,26.1,,
722,6,36.356,37.646,44,21.6,34.9,,
723,12,35.125,36.242,7.9,8,21.8,,
724,12,32.986,39.86,8.2,8.2,22.3,,
725,12,33.044,39.395,5.6,6.3,21.1,,
726,12,32.305,37.983,10.7,9.7,22.7,,
727,9,31.571,37.607,4.3,5.3,19.7,,
728,9,31.25,37.493,8.2,8.4,21.3,,
729,9,31.533,37.328,1.4,2.1,18.1,,
730,9,31.402,37.127,3.1,4.1,18.9,,
731,9,31.344,37.143,2.8,3.8,18.8,,
732,12,35.811,34.728,25.2,14.6,27.6,,
733,10,36.555,33.182,1.8,2.6,18.5,,
734,8,37.415,33.652,14.2,13.8,24.8,,
735,9,39.95,34.118,4.5,5.5,21,,
736,9,39.733,35.445,7.1,7.6,22.5,,
737,9,38.956,35.802,3.5,4.5,20.7,,
738,10,39.112,32.448,1.9,2.7,19,,
739,10,38.107,32.173,5.3,5.5,20.3,,
740,10,39.106,30.375,4.1,4.6,19.5,,
741,10,38.341,30.739,1.7,2.5,18.3,,
742,10,36.713,30.769,2.8,3.5,18.4,,
743,10,34.554,33.105,2.2,2.9,18.2,,
744,10,31.598,30.636,1.7,2.5,16.6,,
745,12,29.339,31.298,23.9,14.3,24.7,,
746,12,29.154,31.161,13.8,11.1,21.3,,
747,9,26.306,31.123,6.6,7.3,17.8,,
748,3,25.736,30.77,2,2.8,15.3,,
749,12,25.883,30.635,14,11.2,20.4,,
750,12,24.746,30.471,8.3,8.3,17.9,,
751,9,25.345,31.836,3.1,4.1,16.1,,
752,9,25.266,31.517,3.5,4.5,16.2,,
753,9,26.093,32.36,5.2,6.1,17.4,,
754,9,26.281,32.701,3.5,4.5,16.7,,
755,12,25.793,32.642,12.2,10.4,20.3,,
756,12,27.913,32.506,17,12.4,22.4,,
757,12,26.152,32.992,13.1,10.8,20.8,,
758,12,24.673,32.833,24.5,14.5,24.1,,
759,12,27.586,33.385,8.5,8.4,19.5,,
760,4,26.692,34.404,23.1,17.4,25.4,,
761,4,26.23,34.851,25.2,18,26.1,,
762,9,26.656,34.663,1.4,2.1,16.2,,
763,10,24.669,35.496,1.4,2.2,15.9,,
764,4,26.655,35.629,19.3,16,24.4,,
765,4,26.789,35.593,20.3,16.4,24.8,,
766,12,26.117,35.947,17.3,12.5,23,,
767,10,28.486,39.652,2.8,3.5,18.6,,
768,10,27.742,39.789,2.1,2.9,18.1,,
769,10,25.543,39.488,3,3.6,17.9,,
770,10,25.79,39.615,1.8,2.6,17.4,,
771,10,24.731,40,3.2,3.8,17.9,,
772,10,22.427,37.648,3.1,3.7,16.7,,
773,10,20.451,36.309,2.5,3.2,15.6,,
774,10,20.492,34.318,2,2.8,14.9,,
775,6,21.05,35.136,19.2,16,22.8,,
776,9,22.03,33.031,8.2,8.4,17.9,,
777,9,23.142,34.667,6.2,6.9,17.7,,
778,10,21.792,32.16,1.6,2.4,14.5,,
779,10,21.877,31.384,1.1,2,14.1,,
780,10,20,33.698,1.1,2,14.2,,
781,8,18.513,33.541,19,15.9,21.7,,
782,12,18.361,33.259,10.9,9.8,18.1,,
783,12,18.001,35.659,25.9,14.8,23.6,,
784,10,15.936,31.265,2.8,3.5,13.4,,
785,10,14.115,36.712,2.5,3.2,14.1,,
786,10,19.643,39.508,1.9,2.7,15.9,,
787,8,19.853,39.731,1.2,1.7,15.6,,
788,10,16.689,39.863,1.8,2.6,15.2,,
789,12,9.489,39.906,14.6,11.5,18.9,,
790,12,7.556,39.346,4.5,5.3,14.2,,
791,12,7.57,39.488,19.2,13.1,19.8,,
792,12,7.787,38.607,21.2,13.7,20.3,,
793,12,6.446,39.782,6.7,7.1,15,,
794,12,4.782,39.106,11.1,9.9,16.2,,
795,3,4.99,38.22,1.3,2,11.6,,
796,12,6.369,37.649,18,12.7,18.7,,
797,2,4.997,37.683,1.1,2,11.4,,
798,12,4.907,35.408,6.2,6.7,13.3,,
799,12,7.773,34.637,14.9,11.6,17.2,,
800,12,5.84,33.468,1.8,2.4,10.9,,
801,12,4.395,31.329,9.7,9.1,13.6,,
802,3,2.556,31.421,1.6,2.4,9.5,,
803,9,2.111,31.698,8.3,8.5,12.6,,
804,2,2.468,33.347,7.5,7.2,12.6,,
805,12,2.239,36.34,13.1,10.8,15.6,,
806,9,2.224,42.433,8.8,8.8,15.6,,
807,9,2.308,42.909,4,5,13.6,,
808,9,2.538,42.899,7.4,7.9,15.2,,
809,12,3.182,42.961,18.1,12.7,19.2,,
810,10,6.814,41.83,1.8,2.6,13.3,,
811,10,6.758,43.762,1.9,2.7,13.8,,
812,4,6.048,45.045,1.5,2.2,13.7,,
813,4,4.862,45.988,1.8,2.6,13.8,,
814,9,1.376,48.726,4.2,5.2,14.9,,
815,8,3.448,48.833,19,15.9,21.8,,
816,6,15.325,46.639,37.5,20.6,30,,
817,6,15.643,44.91,38.9,20.9,30.1,,
818,12,17.781,46.921,11.1,9.9,21.4,,
819,12,18.618,46.042,11.7,10.2,21.6,,
820,10,19.155,48.844,2.3,3,18.3,,
821,9,17.502,42.918,6.7,7.3,18.6,,
822,9,17.747,42.479,7,7.6,18.7,,
823,10,18.859,41.587,1.3,2.1,16,,
824,10,17.725,40.892,2,2.8,15.8,,
825,10,21.508,42.645,3.5,4.1,17.9,,
826,10,23.578,41.489,2.3,3,17.6,,
827,10,24.531,42.948,2.3,3,18.2,,
828,10,21.57,44.075,4.3,4.7,18.7,,
829,12,24.48,44.858,37.6,16.7,30.9,,
830,2,20.847,47.291,2.3,3,18.4,,
831,10,23.328,47.524,3,3.6,19.4,,
832,9,28.164,46.984,6.6,7.3,22.3,,
833,9,30.56,48.666,4.3,5.3,22.2,,
834,12,30.616,48.017,19,13,27.7,,
835,12,32.599,47.519,36,16.5,33.2,,
836,10,33.959,45.191,3.5,4.1,21.7,,
837,10,31.254,43.002,3.1,3.7,20.3,,
838,12,33.417,40.536,4.4,5.2,20.9,,
839,10,31.762,40.455,1.8,2.6,19.2,,
840,10,35.081,40.622,2,2.8,20.1,,
841,10,36.436,41.656,2.6,3.3,21,,
842,12,39.15,40.633,20.8,13.6,28.5,,
843,12,39.222,40.527,8.6,8.4,24.2,,
844,10,39.508,41.419,5.2,5.4,22.9,,
845,10,37.699,42.864,3.6,4.2,22.1,,
846,10,37.441,44.07,2.1,2.9,21.6,,
847,10,38.948,44.202,1.3,2.1,21.6,,
848,12,38.997,45.123,11.2,9.9,26.3,,
849,4,36.511,46.182,21.5,16.8,30.3,,
850,4,36.327,46.257,23.3,17.4,30.8,,
851,4,36.32,46.442,19.3,16,29.5,,
852,10,35.058,45.519,2.2,2.9,21.4,,
853,12,34.97,47.058,5.6,6.3,23.5,,
854,10,34.773,47.34,2.5,3.2,22,,
855,12,40.548,48.558,14,11.2,28.6,,
856,10,42.123,49.281,1.5,2.3,23.8,,
857,9,42.608,50,5.4,6.3,26.1,,
858,9,43.709,48.849,6.5,7.2,26.6,,
859,9,43.676,48.89,3.8,4.8,25.3,,
860,10,43.387,47.582,2.7,3.4,24.3,,
861,12,42.576,45.84,25.9,14.8,32.3,,
862,10,40.786,42.517,2.4,3.1,22.2,,
863,10,43.139,41.003,1.6,2.4,22,,
864,10,48.969,46.047,1.9,2.7,24.9,,
865,10,49.491,48.99,4.6,5,27,,
866,10,50.672,49.187,1.6,2.4,26,,
867,9,53.151,46.808,2.7,3.7,26.6,,
868,10,53.933,46.791,2.7,3.4,26.7,,
869,9,54.998,48.12,5.6,6.5,28.8,,
870,9,55.042,48.026,8.5,8.6,30,,
871,9,55.295,48.106,7.5,7.9,29.7,,
872,9,55.256,48.096,5.6,6.5,28.9,,
873,12,56.403,47.294,28,15.2,36.7,,
874,14,52.688,44.745,5,5.3,26.9,,
875,10,52.641,42.784,4.2,4.6,26.1,,
876,12,51.906,43.077,22.8,14.1,33,,
877,10,53.342,40.593,1.5,2.3,24.4,,
878,13,54.985,40.566,19.5,16.1,32.8,,
879,9,55.876,40.226,4.4,5.4,26.5,,
880,10,58.182,40.508,1.5,2.3,25.6,,
881,10,57.814,41.854,2.2,2.9,26.2,,
882,12,59.342,40.439,16,12,32,,
883,12,59.792,41.69,5.2,5.9,28.2,,
884,12,60,43.796,8.6,8.4,30.2,,
885,12,57.863,43.825,17.7,12.6,33,,
886,10,57.464,46.669,1.9,2.7,27.2,,
887,9,57.261,47.909,7.1,7.6,30,,
888,9,57.098,47.914,3.5,4.5,28.3,,
889,9,57.052,48.042,3.2,4.2,28.1,,
890,9,57.328,48.314,5.6,6.5,29.4,,
891,9,57.382,48.384,6.5,7.2,29.9,,
892,9,57.505,48.279,4,5,28.7,,
893,9,57.366,48.297,1.6,2.4,27.4,,
894,9,57.479,48.347,5,5.9,29.2,,
895,9,57.448,48.621,2.1,3,27.8,,
896,3,57.764,48.306,3.1,4.1,28.3,,
897,3,57.807,48.377,2.5,3.4,28,,
898,9,57.996,48.49,5.6,6.5,29.6,,
899,12,60.174,49.26,14.2,11.3,33.7,,
900,12,62.538,48.18,21,13.6,36.3,,
901,12,62.552,48.137,14.2,11.3,34.1,,
902,10,61.847,46.938,1.5,2.3,28.2,,
903,10,60.709,45.192,1.7,2.5,27.5,,
904,10,62.039,42.372,3.8,4.3,28.1,,
905,12,60.243,42.144,25.2,14.6,35.6,,
906,12,60,41.708,7.7,7.8,29.3,,
907,2,60.63,41.003,2.1,2.9,26.6,,
908,2,60.545,40.896,2.1,2.9,26.6,,
909,10,60.967,41.224,1.4,2.2,26.5,,
910,2,60.358,40,1.7,2.5,26.1,,
911,2,64.421,43.111,3.3,3.9,28.7,,
912,12,64.292,44.089,12.5,10.6,32.9,,
913,10,69.547,43.148,2.4,3.1,29.6,,
914,10,69.66,43.185,1.7,2.5,29.3,,
915,12,67.299,48.643,22.3,13.9,38,,
916,12,67.516,48.92,14.8,11.6,35.7,,
917,10,67.552,49.4,1.8,2.6,30.3,,
918,10,73.565,46.64,4.9,5.2,32.6,,
919,10,73.245,44.091,3.7,4.2,31.3,,
920,12,71.935,43.04,18.2,12.8,36.5,,
921,2,71.353,41.811,1.2,2,29.1,,
922,6,71.579,41.732,24.5,17.8,38.9,,
923,12,72.016,41.096,7.5,7.7,32.1,,
924,10,73.276,42.643,3.3,3.9,30.8,,
925,10,75.112,42.947,2.3,3,30.8,,
926,10,75.515,42,1.8,2.6,30.5,,
927,10,76.671,40.583,4.2,4.6,31.5,,
928,10,75.86,43.115,2.9,3.6,31.4,,
929,10,74.96,44.765,1.4,2.2,30.8,,
930,9,75.68,45.106,8.8,8.8,34.6,,
931,10,76.699,44.898,1.5,2.3,31.4,,
932,12,77.482,47.803,20.1,13.4,39.7,,
933,12,79.769,44.67,12.7,10.7,37,,
934,12,76.356,48.185,20.1,13.4,39.5,,
935,12,77.462,48.3,29,15.4,42.5,,
936,12,78.413,49.207,7.5,7.7,35.7,,
937,9,82.022,50,7.4,7.9,36.8,,
938,9,83.682,49.453,8.8,8.8,37.7,,
939,9,83.618,49.156,11.8,10.5,38.8,,
940,2,84.083,48.772,1.2,2,34,,
941,9,84.806,46.007,22.8,14.5,42,,
942,7,85.461,47.306,9.5,10.8,38.3,,
943,7,85.415,47.289,6.8,8.6,37,,
944,9,86.497,47.437,15,12,40.2,,
945,9,86.572,47.668,4.6,5.6,36.1,,
946,12,87.996,42.077,24.5,14.5,42.3,,
947,12,89.47,41.019,5.7,6.3,35.6,,
948,10,88.572,42.61,1.8,2.6,33.9,,
949,9,86.158,43.497,4.8,5.8,35.1,,
950,9,89.463,43.527,6.4,7.1,36.6,,
951,12,90.736,40.736,19.8,13.3,41.1,,
952,12,90.924,40.504,15.3,11.8,39.6,,
953,12,93.77,41.033,16.5,12.2,40.9,,
954,10,92.938,42.97,1.7,2.5,35,,
955,12,93.688,43.566,7.8,7.9,38.2,,
956,12,93.413,43.464,7.5,7.7,38,,
957,12,94.462,44.934,40,17,49.1,,
958,12,92.648,46.058,13.7,11.1,40.9,,
959,12,92.521,45.796,12.4,10.5,40.3,,
960,12,92.321,46.163,8.1,8.1,38.7,,
961,9,91.234,47.144,5.4,6.3,37.5,,
962,9,93.736,47.239,6.1,6.9,38.5,,
963,9,95.237,49.738,6.4,7.1,39.6,,
964,10,96.532,47.391,2.7,3.4,37.5,,
965,12,95.122,45.862,12.1,10.4,40.9,,
966,10,97.647,46.174,1.7,2.5,37,,
967,12,98.774,42.347,29,15.4,46.4,,
968,10,99.527,41.218,4.4,4.8,37.5,,
969,10,98.972,43.412,2.5,3.2,37,,
970,10,98.773,46.446,3.3,3.9,38.1,,
971,10,98.861,50.234,2.1,2.9,38.5,,
972,7,99.009,50.725,16.2,14.7,45.2,,
973,7,94.132,55.372,20.7,16.6,46.7,,
974,9,94.82,57.068,4.8,5.8,40.6,,
975,3,94.373,57.429,2.1,3,39.2,,
976,9,94.964,57.479,3.8,4.8,40.3,,
977,9,94.911,57.768,3.4,4.4,40.1,,
978,9,95.62,57.969,5.5,6.4,41.4,,
979,9,95.741,58.112,11.5,10.4,43.9,,
980,9,94.946,58.453,8,8.3,42.4,,
981,9,94.789,58.53,4.9,5.9,41,,
982,13,94.864,59.365,29.2,19,50.6,,
983,7,91.899,56.006,7.7,9.4,41.3,,
984,12,91.645,59.717,16.8,12.3,45.1,,
985,12,90.796,59.138,10,9.3,42.3,,
986,12,90.942,57.752,11.5,10.1,42.6,,
987,12,90,57.892,26.5,14.9,47.3,,
988,10,87.995,57.469,2.8,3.5,37.9,,
989,7,87.364,56.41,8.8,10.3,40.7,,
990,7,87.462,56.553,22.3,17.1,45.9,,
991,6,86.857,59.728,27.3,18.5,48.1,,
992,10,85.461,59.413,3,3.6,37.9,,
993,12,87.727,58.757,21.8,13.8,45.5,,
994,10,82.952,59.528,1.5,2.3,36.6,,
995,7,85.137,55.68,6.8,8.6,39.1,,
996,9,83.153,55.185,16.3,12.5,41.8,,
997,10,85.131,53.882,1.8,2.6,35.9,,
998,10,86.587,54.044,1.7,2.5,36.2,,
999,10,88.929,54.687,1.6,2.4,36.9,,
1000,10,89.829,53.051,1.5,2.3,36.7,,
1001,12,87.971,51.495,24.2,14.4,44.5,,
1002,9,87.74,52.269,5.3,6.2,37.9,,
1003,9,86.182,52.584,23.3,14.7,44.2,,
1004,9,85.033,51.358,12.5,10.9,39.9,,
1005,10,82.502,53.032,1.5,2.3,34.8,,
1006,10,82.346,51.785,2.5,3.2,35,,
1007,10,81.703,51.452,1.5,2.3,34.2,,
1008,10,80.377,53.571,1.4,2.2,34.4,,
1009,10,78.606,50.726,1.6,2.4,33.3,,
1010,10,78.827,51.906,1.5,2.3,33.6,,
1011,10,75.927,50.905,1.2,2,32.5,,
1012,12,75.421,53.592,30,15.6,43.6,,
1013,12,74.235,54.53,1.8,2.4,33.2,,
1014,12,79.827,57.758,6.8,7.2,37.9,,
1015,12,78.087,57.731,17.6,12.6,41.5,,
1016,10,77.336,57.368,1.8,2.6,34.8,,
1017,10,71.924,57.199,1.1,2,33,,
1018,10,71.618,56.222,1.9,2.7,33.1,,
1019,10,70.556,58.732,5.3,5.5,35,,
1020,10,70.304,56.208,4.3,4.7,33.9,,
1021,12,68.699,53.194,8.7,8.5,34.8,,
1022,10,66.743,53.291,1.8,2.6,31.1,,
1023,9,65.087,53.409,5.3,6.2,32.5,,
1024,9,64.721,53.259,7.4,7.9,33.3,,
1025,9,64.192,52.967,2.6,3.5,30.8,,
1026,9,65.767,53.021,2,2.8,30.9,,
1027,9,61.73,51.651,5,5.9,31.1,,
1028,9,62.576,54.391,5.3,6.2,32.1,,
1029,2,60.947,54.509,2,2.8,30.1,,
1030,2,60.914,54.591,1.5,2.3,29.8,,
1031,9,61.107,56.183,3.6,4.6,31.4,,
1032,9,61.055,56.168,6.8,7.4,32.9,,
1033,3,62.832,56.153,13,11.1,35.8,,
1034,4,63.091,55.986,27.8,18.7,41.4,,
1035,4,63.118,56.304,8.8,10.3,34.6,,
1036,4,63.018,56.295,15.1,14.2,37.2,,
1037,12,64.468,57.861,16.1,12.1,37.6,,
1038,4,63.13,56.486,13.7,13.5,36.7,,
1039,10,62.567,58.522,2.2,2.9,31.6,,
1040,10,61.072,57.875,2.9,3.6,31.4,,
1041,2,59.479,56.896,7,6.8,32.5,,
1042,12,59.54,53.789,18.6,12.9,36.2,,
1043,9,58.961,53.312,2.7,3.7,29.7,,
1044,9,58.897,53.189,7.4,7.9,31.8,,
1045,9,58.932,52.161,4.8,5.8,30.4,,
1046,9,59.147,53.183,3.2,4.2,29.9,,
1047,9,59.002,53.07,3,4,29.8,,
1048,10,58.179,54.489,2.8,3.5,29.7,,
1049,12,57.688,53.938,22.4,14,37,,
1050,2,56.963,53.705,3.1,3.7,29.4,,
1051,10,56.01,53.568,1.3,2.1,28.3,,
1052,10,55.342,51.776,4.4,4.8,29.1,,
1053,10,53.917,50.702,2.9,3.6,27.8,,
1054,10,53.3,51.039,4,4.5,28.2,,
1055,10,51.235,50,3.6,4.2,27.2,,
1056,10,55.355,54.346,2.5,3.2,28.9,,
1057,12,53.388,55.907,7.8,7.9,31.3,,
1058,12,53.949,56.169,19.6,13.2,35.7,,
1059,9,53.436,56.641,5,5.9,30.3,,
1060,12,56.565,58.184,4.5,5.3,31.1,,
1061,3,53.917,58.033,7.1,7.6,31.7,,
1062,3,53.52,58.02,18.9,13.4,36,,
1063,3,53.778,57.971,13.1,11.1,34,,
1064,3,53.702,57.788,8.5,8.6,32.1,,
1065,10,48.149,57.212,2,2.8,27.5,,
1066,10,47.886,51.641,1.6,2.4,25.9,,
1067,9,46.655,58.451,7,7.6,29.9,,
1068,10,45.608,57.882,1.2,2,26.7,,
1069,9,45.173,57.96,6.2,6.9,29.1,,
1070,9,45.19,57.972,2.2,3.1,27.1,,
1071,10,44.179,57.568,1.6,2.4,26.4,,
1072,10,43.043,57.425,1,1.9,25.8,,
1073,12,45.676,52.935,27.6,15.1,35.3,,
1074,12,45.816,52.887,11.8,10.2,30.2,,
1075,12,43.772,52.101,25.4,14.7,34,,
1076,10,40.266,53.129,2.9,3.6,25,,
1077,12,39.134,52.701,13,10.8,28.9,,
1078,10,37.173,54.508,2.9,3.6,24.5,,
1079,10,35.697,55.067,2.1,2.9,23.9,,
1080,12,35.167,54.237,35,16.4,35.2,,
1081,12,34.636,54.875,22.9,14.1,31.6,,
1082,8,31.985,53.839,20.7,16.6,30.8,,
1083,10,34.886,55.547,1.5,2.3,23.6,,
1084,10,36.448,56.188,2.5,3.2,24.6,,
1085,12,36.362,57.487,8.1,8.1,27.5,,
1086,10,34.282,58.23,2.3,3,24.5,,
1087,12,30.176,50.768,13.8,11.1,26.5,,
1088,10,29.598,51.737,3.3,3.9,22.1,,
1089,10,29.645,53.183,3.1,3.7,22.4,,
1090,12,27.668,53.234,13,10.8,26.2,,
1091,10,26.906,54.02,1.1,2,21,,
1092,10,25.936,52.483,1.1,2,20.4,,
1093,12,25.388,51.418,28.4,15.3,30.1,,
1094,9,24.001,52.313,5.1,6,21.9,,
1095,9,23.747,52.387,8.8,8.8,23.4,,
1096,9,23.779,52.527,5.3,6.2,22,,
1097,9,23.781,52.792,4.2,5.2,21.5,,
