treeno,species,x,y,dbh,ht,cw
1,7,9.592,0.99,14.1,13.7,9.6
2,2,9.213,3.281,11.5,9.9,8.5
3,2,8.823,4.455,26.2,17.2,14.2
4,2,2.841,2.868,21,15,10.4
5,12,8.533,8.345,16.7,12.3,11.5
6,12,8.905,8.536,18.3,12.8,12.1
7,2,8.906,9.01,3.5,4.1,6.4
8,12,9.139,8.97,10.6,9.6,9.6
9,2,10.464,8.068,25.4,16.9,15.2
10,6,10.212,6.251,17.4,15.3,12.3
11,6,11.373,3.061,5.5,7.3,6.8
12,2,12.717,3.685,22.4,15.6,13.6
13,2,14.985,2.162,13,10.8,10.2
14,2,16.646,2.749,21.4,15.1,14
15,12,16.599,3.505,36.5,16.6,18.3
16,2,15.684,5.198,14.5,11.6,11.8
17,7,18.735,4.832,6.5,8.3,9.6
18,2,18.896,4.354,4.2,4.6,8
19,7,19.208,5.024,14,13.7,13
20,12,14.778,7.549,25.5,14.7,15.6
21,2,14.779,7.549,4.8,5.1,8.1
22,12,13.771,7.708,8,8.1,9.4
23,12,13.546,8.088,6.8,7.2,8.9
24,2,15.503,8.646,12.7,10.6,11.9
25,2,16.879,9.825,17,13,14.2
26,3,22.295,7.382,8.1,8.3,11.5
27,6,21.38,2.988,8.1,9.7,10.6
28,6,22.63,0.317,19.8,16.2,14.7
29,3,26.002,3.481,4.9,5.9,10.1
30,3,28.551,1.63,3.5,4.5,9.5
31,12,28.601,3.996,17.2,12.4,15.6
32,3,27.433,4.962,4.1,5.1,10.4
33,3,27.433,4.952,4.1,5.1,10.4
34,3,26.946,4.851,6,6.8,11.1
35,3,28.018,4.951,3.8,4.8,10.4
36,3,27.525,6.484,5.8,6.6,11.6
37,3,27.865,6.784,8.5,8.6,12.9
38,6,25.227,8.76,19.1,16,17.3
39,3,29.822,6.55,3.8,4.8,11.2
40,3,29.822,5.681,3.7,4.7,11
41,3,30.217,5.515,6.1,6.9,12.2
42,3,30.679,6.214,3.9,4.9,11.4
43,12,31.967,6.231,15.2,11.7,16.3
44,2,31.848,7.87,9.7,8.7,14.5
45,2,31.886,7.87,4.5,4.9,12.3
46,7,33.29,7.119,7.8,9.5,14.4
47,7,32.825,7.119,5.8,7.6,13.3
48,7,32.924,7.642,4.2,5.9,12.7
49,12,32.085,5.679,15.6,11.9,16.3
50,7,32.457,4.834,5.8,7.6,12.7
51,3,32.84,5.163,4.2,5.2,11.9
52,12,34.622,5.099,19,13,17.9
53,3,30.711,1.304,7.3,7.8,11.8
54,12,34.188,1.387,36.6,16.6,22.2
55,12,37.826,0.977,6.4,6.9,13
56,12,36.667,3.379,13.1,10.8,16
57,2,37.114,4.119,2.5,3.2,11.7
58,12,36.96,6.29,32.3,16,22.9
59,12,36.961,6.29,8.2,8.2,14.9
60,2,35.274,6.208,22.1,15.5,19.8
61,2,39.237,8.577,11.6,9.9,17.3
62,2,39.237,8.696,3.4,4,13.8
63,2,39.338,6.529,13.9,11.3,17.8
64,12,38.883,1.337,7.6,7.8,13.9
65,12,40.871,1.78,10.1,9.3,15.5
66,2,43.094,1.529,4,4.5,13.3
67,8,45.853,0.577,22,17,21.4
68,2,46.191,1.216,3.5,4.1,13.7
69,3,46.979,1.206,43.4,18.1,27.4
70,8,44.694,4.205,12.1,12.6,18.4
71,12,42.831,4.421,6.2,6.7,15
72,7,41.66,4.321,7.7,9.4,15.8
73,2,40.885,5.593,17.2,13.1,19.2
74,8,41.25,7.302,13.7,13.5,18.9
75,8,40.722,9.266,24.5,17.8,23.1
76,2,41.365,9.466,7.9,7.5,16.5
77,2,42.394,9.266,15.6,12.3,19.9
78,2,43.287,8.996,21.8,15.3,22.4
79,8,43.306,5.866,20.2,16.4,21.4
80,8,46.055,5.984,22,17,22.8
81,2,51.227,9.9,14.6,11.7,21.9
82,2,51.966,9.468,2.9,3.6,17
83,2,54.855,9.321,6.2,6.2,19.1
84,3,56.646,9.468,2,2.8,17.7
85,12,59.467,4.662,23.5,14.2,25.5
86,12,57.994,1.685,46.1,17.6,30.9
87,12,60.767,2.133,6.5,7,19.1
