treeno,species,x,y,dbh
1,14,1.964,1.635,19.8
2,14,2.475,1.628,21
3,15,3.726,2.32,17.5
4,14,4.248,2.666,18.5
5,15,5.847,3.219,20.4
6,15,10.294,4.979,22.5
7,14,10.766,4.649,16.3
8,15,10.829,5.144,14.5
9,14,12.281,6.036,17.8
10,15,12.985,6.118,15.5
11,2,10.833,1.287,13.6
12,2,12.674,0.203,13.5
13,2,14.407,0.986,18.5
14,2,15.854,0.853,12.4
15,14,17.176,0.698,8.5
16,14,18.477,1.106,20
17,2,19.66,1.799,16.3
18,14,15.634,3.937,9.9
19,14,15.576,4.228,15.4
20,14,17.21,4.811,17.6
21,7,17.683,5.901,33.8
22,2,19.169,9.192,14.4
23,14,24.924,9.299,16.8
24,14,24.542,7.239,22
25,2,24.684,4.786,16.1
26,14,23.698,4.683,11.5
27,14,21.891,4.171,12.3
28,14,20.475,4.959,5.3
29,2,21.711,0.495,14
30,14,23.209,0.19,8.1
31,15,24.652,1.828,28.5
32,3,27.856,1.376,1.5
33,14,28.107,3.286,22.3
34,2,29.096,4.34,14.1
35,14,27.852,4.174,12.2
36,14,27.065,3.545,25.6
37,14,26.037,5.459,13.2
38,2,27.401,6.53,25
39,3,28.682,6.377,4.9
40,14,29.066,8.044,20.7
41,1,31.386,9.478,26.8
42,14,34.466,9.618,20
43,1,39.074,9.129,18
44,1,36.625,6.411,19.1
45,1,35.403,2.289,20.4
46,1,37.02,0.827,22.1
47,11,39.255,1.273,8.9
48,14,39.165,3.556,23
49,10,40.953,2.889,10.5
50,2,41.614,4.904,10.8
51,2,45.565,2.884,22.2
52,2,46.062,6.68,9.1
53,7,45.161,8.351,9
54,4,45.192,9.387,11.8
55,4,46.075,9.395,11.2
56,14,47.456,9.986,1.2
57,9,52.702,9.002,14.7
58,10,51.399,6.204,12
59,10,52.649,2.558,21.4
60,10,52.808,0.011,8.5
61,10,54.868,3.209,19.5
62,10,55.156,6.268,23.2
63,3,56.843,4.547,7.8
64,3,55.222,7.23,18.9
65,7,59.377,4.669,4
66,7,59.659,6.646,29.1
67,14,58.481,6.838,6.7
68,10,56.526,9.029,24
69,3,56.141,9.462,10.5
70,14,57.356,9.805,9.5
71,10,58.922,9.927,14.1
72,14,60.95,8.502,23.3
73,16,63.668,4.106,1
74,1,62.684,3.983,17.5
75,14,64.291,3.41,2
76,1,61.171,2.769,15.8
77,14,61.533,2.365,10
78,14,62.658,2.204,9.2
79,10,63.857,2.579,13.4
80,1,62.846,0.236,17.5
81,6,60.295,0.188,30
82,8,67.787,1.576,45.1
83,1,68.733,0.701,15.6
84,8,69.887,2.69,18
85,14,69.035,4.274,1.5
86,14,69.959,7.546,1.2
87,14,68.72,8.276,23.4
88,15,72.2,8.165,10.1
89,14,72.829,9.059,13
90,1,74.605,8.675,21
91,1,72.733,7.325,21.7
92,14,72.938,4.437,1.5
93,10,70.502,4.482,1.4
94,14,71.142,3.526,2.5
95,10,73.189,2.963,1
96,10,74.516,2.202,2.3
97,2,76.692,5.716,29.4
98,14,76.517,6.592,9
99,4,77.089,7.718,7.1
100,1,77.125,9.476,23
101,7,78.621,9.534,8.6
102,14,81.113,9.17,1.4
103,2,82.375,8.385,22.3
104,2,83.604,7.008,15.8
105,10,84.454,6.71,13
106,2,82.456,2.18,12.3
107,16,85.349,1.86,1.2
108,10,86.195,2.012,23.2
109,14,86.026,0.656,1.1
110,7,86.827,0.604,3.1
111,10,88.804,6.388,12.5
112,2,89.026,7.716,36.7
113,3,91.556,8.859,10.2
114,1,91.37,7.915,24
115,1,90.916,6.155,14.5
116,15,93.324,4.856,11.1
117,7,94.214,3.65,3.8
118,7,94.001,3.465,7.5
119,7,93.733,3.39,4.8
120,11,91.833,2.716,28
121,1,99.432,0.011,13.3
122,10,97.557,4.881,7
123,14,98.346,5.999,29.6
124,11,99.914,5.53,15.8
125,15,99.97,8.344,15.2
126,14,99.98,8.114,1.5
127,14,99.816,9.41,21.2
128,2,99.153,11.363,8.4
129,14,97.206,12.804,12
130,14,95.55,12.487,15.2
131,15,95.442,13.126,11
132,1,92.959,10.01,19.1
133,7,91.083,10.211,7.1
134,2,92.521,16.807,4.5
135,14,97.272,17.636,4.4
136,14,97.644,18.223,2
137,14,99.21,17.892,24.9
138,2,99.996,17.854,19.2
139,10,99.827,19.82,11
140,7,98.308,19.011,35
141,3,95.327,18.931,26.1
142,10,94.872,19.849,1.2
143,7,89.11,19.464,7.8
144,7,88.937,18,8
145,7,88.802,19.676,4.3
146,3,89.26,18.513,4.5
147,3,89.407,18.334,4.1
148,3,89.411,18.156,5.1
149,3,89.622,18.025,2.5
150,11,89.193,14.517,9.8
151,10,88.791,14.065,2.5
152,15,86.402,16.023,19.5
153,2,86.163,15.467,9
154,7,86.03,14.188,6.5
155,14,84.419,14.992,10.4
156,10,83.686,13.08,3.6
157,15,83.055,13.545,13.4
158,14,82.471,11.858,2.3
159,14,81.471,12.478,3.6
160,14,81.014,12.966,2.5
161,14,80.548,13.488,1.9
162,14,81.114,13.821,1.2
163,3,81.777,14.548,1.6
164,4,80.979,15.203,7.1
165,4,79.997,18.316,10
166,15,78.347,18.025,13.5
167,6,75.553,18.867,36.2
168,7,74.537,17.688,9.2
169,7,76.901,16.835,7
170,9,74.851,15.367,9.7
171,14,79.755,13.21,2.5
172,14,77.753,13.118,3
173,14,77.554,13.668,2.8
174,14,77.179,13.256,2.4
175,14,77.121,13.118,1.2
176,14,78.489,13.276,1.2
177,14,75.39,14.225,1.1
178,6,76.802,12.114,26
179,14,75.706,12.401,1.5
180,14,75.01,12.674,1.4
181,14,73.124,13.334,1
182,4,72.168,12.528,13.6
183,4,71.848,12.495,17.1
184,3,71.439,19.319,4.5
185,7,67.442,19.314,14.8
186,7,67.293,19.497,6.5
187,2,67.073,19.115,14.6
188,3,67.692,16.38,5.4
189,7,69.9,14.901,9.5
190,7,69.473,14.2967,4.7
191,14,69.992,13.593,1.2
192,14,69.99,12.674,1.5
193,14,69.784,12.006,3
194,14,68.234,11.116,1.5
195,10,64.698,11.286,20.7
196,9,63.552,11.13,11.6
197,14,60.449,15.231,1.4
198,10,60.846,16.89,40.6
199,7,62.239,18.854,3.6
200,7,62.031,18.798,5.4
201,7,59.446,18.619,3.5
202,11,58.834,18.03,18
203,14,56.354,19.254,2
204,14,57.054,16.453,1.5
205,14,59.85,15.468,2.1
206,14,59.577,15.206,3.1
207,10,56.143,15.322,18.7
208,14,56.878,13.049,1.5
209,14,57.874,12.505,3.8
210,7,57.487,11.351,28.7
211,10,59.57,10.565,21.1
212,10,55.147,12.222,9.8
213,8,52.502,19.191,18.7
214,2,53.602,12.609,24.5
215,14,51.036,13.392,1.5
216,14,51.297,15.725,1.1
217,8,50.33,17.562,20.5
218,1,50.543,19.195,15.3
219,14,47.845,18.427,2.5
220,6,48.042,17.406,20.5
221,3,48.229,17.189,4.1
222,7,47.709,16.626,6
223,10,47.05,16.548,2.1
224,14,46.6,17.007,2
225,14,46.289,16.644,1.6
226,3,46.294,17.67,2.5
227,14,45.032,16.43,3.4
228,3,43.959,16.925,4.4
229,7,44.641,14.858,6.1
230,14,44.787,14.419,2.5
231,14,44.965,13.935,1
232,6,47.099,14.322,21.4
233,2,47.34,14.989,1.1
234,4,46.002,11.905,6.1
235,14,45.526,13.203,1
236,6,44.891,13.207,19.3
237,6,43.925,12.205,20.7
238,11,44.095,11.169,2.8
239,8,42.5,10.01,22.9
240,7,42.162,11.053,5.5
241,3,41.552,10.4,5.2
242,14,42.007,14.203,1.3
243,14,41.878,14.467,1.1
244,3,42.881,15.244,2.5
245,7,40.525,15.05,7.4
246,14,44.56,18.219,1.5
247,7,44.199,18.437,5.2
248,14,42.249,18.095,2
249,10,39.666,18.394,2.1
250,7,39.027,17.919,9
251,3,39.541,13.841,5.1
252,4,39.375,13.825,22
253,4,35.605,10.961,15.6
254,2,28.468,19.158,8.3
255,2,26.059,19.047,17.2
256,7,25.493,16.966,6.7
257,10,25.843,13.383,14.5
258,14,25.269,11.798,20.3
259,14,26.263,10.375,19.5
260,14,21.078,12.534,25.8
261,15,23.156,17.055,20.6
262,11,21.731,17.215,5
263,14,18.69,18.719,13.4
264,1,19.185,15.595,13.3
265,14,17.555,14.897,16.2
266,2,19.528,13.428,10.5
267,14,18.438,10.995,2.1
268,6,17.06,11.4,33.5
269,1,16.001,12.315,12.4
270,1,14.885,11.358,14.2
271,1,11.328,18.902,20
272,15,13.632,19.416,13.1
273,8,7.095,19.99,33.9
274,10,3.61,18.841,18.6
275,1,6.62,17.667,8.7
276,1,6.375,15.338,11.4
277,1,5.261,16.779,19.5
278,8,9.99,15.757,18.2
279,3,9.581,15.013,6
280,3,9.47,15.456,4.1
281,1,5.849,14.462,17.6
282,1,6.724,13.987,14.4
283,1,3.666,16.476,15.6
284,1,4.075,12.623,11
285,1,2.448,12.032,19.5
286,10,1.175,19.018,13.4
287,3,1.37,18.749,17.5
288,10,3.828,21.613,13.4
289,3,3.083,24.084,13
290,14,4.091,23.848,12.2
291,14,6.031,22.994,3.8
292,1,7.922,21.885,12.5
293,7,5.543,26.356,11.3
294,14,11.591,28.874,1.5
295,1,12.252,26.64,15.8
296,1,11.559,25.06,12
297,14,15.916,25.912,15.1
298,14,18.271,22.865,22.5
299,14,19.477,23.171,7
300,14,18.624,28.892,11.8
301,3,20.29,28.984,29.5
302,14,22.647,29.013,14.7
303,14,22.392,28.564,16.7
304,14,20.203,26.225,23.6
