treeno,species,x,y,dbh
1,1,1.553,2.326,15
2,2,1.843,1.675,4.7
3,1,2.421,1.302,15.7
4,1,3.688,2.584,19.4
5,1,4.435,1.777,13.2
6,1,5.456,3.544,13.7
7,1,2.957,3.985,18.5
8,14,3.145,5.632,7
9,15,1.854,7.182,16.5
10,10,1.806,8.336,12.6
11,15,4.204,8.907,24.2
12,2,6.643,7.097,7.6
13,14,6.849,4.656,10.9
14,15,7.058,4.257,25.5
15,3,7.072,3.371,10.5
16,14,10.88,2.731,19.5
17,1,12.862,1.552,4.6
18,1,13.514,1.61,13.4
19,14,16.476,1.331,9.1
20,14,17.948,0.839,14.4
21,2,17.894,1.468,52.8
22,15,17.595,2.902,11.8
23,14,17.913,3.341,15.4
24,1,13.712,3.365,21.2
25,1,13.712,4.368,5.8
26,10,14.962,5.171,21.3
27,3,12.192,7.579,5.6
28,4,11.122,7.787,21.1
29,15,14.951,7.127,14.5
30,2,18.263,9.997,6.9
31,6,18.466,9.66,28.2
32,1,23.054,8.687,21.3
33,2,23.194,7.179,15.8
34,3,22.922,5.603,2.5
35,1,21.818,4.77,20.3
36,10,22.654,4.935,2.1
37,14,21.632,0.266,10.5
38,14,21.622,0.276,12.3
39,8,21.313,4.57,16.5
40,2,26.054,4.604,7.2
41,15,25.228,4.7,17.1
42,14,27.479,8.908,13.5
43,1,31.743,3.725,20.1
44,1,35.829,8.234,5.1
45,1,39.526,9.498,16.9
46,1,36.213,7.038,13.5
47,1,39.087,7.518,19.5
48,1,34.837,2.701,14.5
49,1,33.576,3.064,8.9
50,1,33.35,3.413,17.9
51,1,33.011,2.694,17.8
52,7,33.555,3.055,4
53,1,31.651,2.834,10.3
54,6,34.136,0.762,23.6
55,1,37.913,5.243,19.6
56,1,40.721,2.04,15.3
57,15,41.95,0.952,16.3
58,11,42.377,5.075,10.6
59,11,42.4,5.065,16.5
60,1,45.452,3.113,34.8
61,1,49.859,0.629,19.3
62,14,47.008,5.001,21.7
63,1,48.54,4.814,21.5
64,1,48.72,6.487,18.1
65,1,48.786,7.962,21.1
66,4,52.792,9.821,21.3
67,4,52.8,9.81,18.2
68,1,53.397,8.396,16.7
69,14,53.574,7.869,10.4
70,1,54.194,9.068,16.2
71,1,53.283,6.243,12.5
72,1,53.216,4.839,17.3
73,3,53.583,1.038,12.3
74,4,54.431,0.257,18.9
75,14,54.108,1.444,19.6
76,10,54.973,1.592,1
77,10,59.346,3.761,14.6
78,1,59.035,4.736,17.9
79,14,59.064,6.458,12
80,1,58.245,7.985,20.5
81,1,58.466,7.998,16.6
82,15,60.194,8.069,16.9
83,7,63.885,7.363,7.5
84,1,65.233,7,11
85,2,65.706,6.862,6.5
86,15,66.171,8.504,9.2
87,7,66.672,9.412,36.9
88,1,67.139,7.527,8
89,1,66.54,5.904,7.7
90,2,67.037,4.831,7.9
91,7,64.562,4.02,8.3
92,7,66.569,3.038,6.1
93,9,64.819,2.267,7.4
94,15,64.192,1.752,14.1
95,7,69.206,3.387,3.1
96,2,68.856,0.206,15.6
97,15,71.159,1.426,8.5
98,7,71.87,0.489,6.7
99,7,72.26,0.451,11.8
100,7,73.052,3.556,4.5
101,15,72.01,3.719,15.8
102,7,71.603,6.633,29
103,10,69.99,7.427,17.2
104,10,73.76,8.992,13.2
105,14,74.384,7.476,25.5
106,15,74.082,7.451,17.5
107,9,76.381,5.604,8.2
108,15,77.836,5.455,9.3
109,6,79.022,0.256,24.2
110,8,81.16,3.402,19.9
111,6,82.881,3.307,26.6
112,9,85.353,3.201,6.4
113,9,86.687,3.184,8.4
114,1,87.655,0.216,24
115,14,87.757,2.086,6.3
116,14,88.29,2.262,15.1
117,1,89.183,3.157,17.2
118,7,86.606,4.447,9.3
119,6,82.17,5.625,21.9
120,5,84.516,5.742,5.8
121,6,86.43,5.418,15.2
122,1,88.364,6.257,21
123,1,87.56,8.313,18.7
124,1,87.698,9.71,8.4
125,8,88.805,8.653,26.3
126,6,89.21,8.742,27.3
127,6,89.192,8.682,21.6
128,1,90.336,8.675,13.3
