treeno,species,x,y,dbh,ht,cw
1,3 ,4.1,1.4,16.6,12.6,2.95
2,3 ,4.1,1.9,8.2,8.41,2.55
3,7 ,3.6,5.7,10.8,11.75,2.58
4,7 ,4.2,5.8,7.7,9.4,0.8
5,2 ,8.4,1.4,2.9,3.56,0.78
6,2 ,10.5,1.4,8,7.53,1.58
7,3 ,13.6,1.8,4.6,5.58,1.88
8,12 ,14.9,6.3,8.3,8.25,1.33
9,2 ,11.2,7.2,3.9,4.4,0
10,3 ,16.8,2.8,7.1,7.63,1.95
11,3 ,16.9,2.8,9,8.92,2.25
12,3 ,17,6.4,6.5,7.18,1.78
13,3 ,20.8,1.5,9.7,9.35,2.35
14,3 ,20.7,1.6,12.7,10.95,2.73
15,12 ,23.7,2.3,27.8,15.17,2.7
16,12 ,27.5,6.5,12.2,10.43,1.3
17,6 ,27.9,9.2,27.1,18.49,3.2
18,12 ,29.9,1.7,20,13.32,1.8
19,2 ,14,0.7,2.4,3.12,0.58
20,12 ,33.3,0.8,16,12.02,0
21,12 ,33.3,8.2,27.1,15.03,2.9
22,2 ,34.1,8.1,2.3,3.04,0.93
23,12 ,38.5,3.4,33,16.06,3.3
24,6 ,54.2,3.6,7.6,9.32,1.2
25,6 ,53.5,4.4,11.9,12.45,1.43
26,6 ,55,6.1,8.6,10.15,2.35
27,2 ,56,5.7,5.8,5.91,1.35
28,2 ,58.2,5.7,8.2,7.67,1.43
29,2 ,56.7,7.2,9.2,8.36,1.3
30,2 ,56.4,7.8,9.8,8.76,1.63
31,2 ,59.6,8.2,13.5,11.07,2.68
32,2 ,59.6,4.6,10.1,8.96,1.98
33,2 ,59.8,3.9,6.5,6.44,0
34,12 ,62,6.9,41.6,17.18,4.18
35,12 ,62.3,7.3,32.4,15.97,4.5
36,12 ,65.9,4,10.9,9.77,1.45
37,2 ,64.3,1.4,2.1,2.86,0.83
38,12 ,68.7,7,22.3,13.95,2.33
39,12 ,69.4,7.8,15.9,11.98,2.78
40,12 ,70,9.1,24.5,14.48,2.53
41,2 ,73.4,8.1,8,7.53,1.53
42,3 ,75,6.9,4.3,5.3,1.08
43,2 ,64,5.7,1.7,2.5,0.9
44,12 ,71.6,5.1,27,15.01,3.85
45,12 ,71.5,2.4,18,12.71,3.88
46,12 ,72.5,0.6,23.4,14.22,3.13
47,3 ,76.3,0.5,4.5,5.49,1.48
48,3 ,76.1,4.2,3.7,4.71,0.55
49,3 ,73.6,4.8,4,5.01,1.35
50,3 ,74.8,5.1,8.1,8.34,2.13
51,7 ,77.5,5,9.9,11.13,1.18
52,7 ,77.7,5.5,12,12.51,1.73
53,2 ,76.7,7.4,2.2,2.95,0.8
54,3 ,81.1,10,5.8,6.62,1.53
55,3 ,83.7,8.5,12.8,11,3.83
56,12 ,86.4,2.2,18.8,12.97,3.98
57,3 ,90.7,8.9,4.4,5.39,1.35
58,3 ,92.1,9.1,5,5.94,1.35
59,3 ,92.6,9.3,4.8,5.76,1.23
60,2 ,92.6,5.2,4.3,4.73,0.78
61,12 ,94.6,4.9,13.1,10.84,1.98
62,12 ,95.3,5.2,14.7,11.52,1.9
63,12 ,95,5.5,18.4,12.84,2.85
64,12 ,95.2,6,18.9,13,2.53
65,12 ,95.6,6.1,18.1,12.74,1.48
66,12 ,96.4,6,12.6,10.62,1.53
67,12 ,96.5,5.9,10,9.28,2.13
68,12 ,96.6,5.3,20,13.32,3.03
69,8 ,99,10.9,9.9,11.13,0.85
70,2 ,93.3,10.4,3.5,4.07,1.15
71,2 ,94.5,10.9,3.3,3.9,0.58
72,8 ,94.2,10.6,8.2,9.82,0
73,8 ,93.3,10.5,13.2,13.22,1.55
74,6 ,93.2,11.5,21.3,16.77,3.13
75,3 ,92.6,12.3,4.8,5.76,1.28
76,3 ,90.3,12,3.6,4.61,0.85
77,3 ,90.3,12.1,3.6,4.61,1.2
78,3 ,90.4,13,8.4,8.54,2.18
79,3 ,93.6,14.1,8.2,8.41,2.13
80,3 ,93.7,14,9.2,9.05,1.38
81,8 ,97.5,13.7,6.7,8.51,0
82,3 ,98.9,14.1,5.7,6.54,1.35
83,8 ,98.4,15.3,7,8.79,1.2
84,2 ,96.3,15.8,6.2,6.22,1.48
85,3 ,93.4,10.9,6.9,7.49,1.58
86,2 ,94.8,16,20.3,14.64,3.05
87,6 ,96.9,17.4,8.5,10.07,0.65
88,2 ,94.6,18,8.9,8.16,1.83
89,2 ,94.9,18.2,3.6,4.15,0.78
90,2 ,94.4,18.2,2.4,3.12,0.55
91,12 ,95.2,18.9,27.1,15.03,4.18
92,2 ,92.8,18.4,8.5,7.88,1.78
93,2 ,93.2,19.5,6.8,6.66,1.35
94,12 ,91.8,19,31.4,15.81,4.35
95,3 ,91.4,18.4,3.1,4.09,0.43
96,3 ,92.3,16.8,3.8,4.81,0.95
97,3 ,91,16.6,3.8,4.81,1.3
98,3 ,90.2,14.8,5.2,6.12,0.93
99,6 ,86,13.3,16.6,14.92,1.65
100,3 ,86.4,14.1,8.6,8.67,1.7
101,6 ,86,14.3,6.6,8.41,1.25
102,6 ,85.8,14.6,7.9,9.57,0.65
103,3 ,85.7,15.3,3.6,4.61,1.5
104,8 ,84.6,15.2,11.4,12.14,0.88
105,3 ,84.6,13.7,3.9,4.91,0.5
106,6 ,84.2,14.6,5.3,7.11,0
107,6 ,83.8,14.8,22,17,3.03
108,6 ,84.2,15.7,6,7.83,0
109,2 ,86.5,17.7,10.8,9.41,0
110,12 ,83.2,17.9,18.6,12.9,1.78
111,3 ,81.5,17.7,5.1,6.03,0.45
112,3 ,80.9,17,5.8,6.62,2.7
113,3 ,82.8,14.6,3.9,4.91,1
114,6 ,82.9,13.3,19.1,15.97,2.28
115,6 ,82.6,13,19.9,16.27,2.63
116,3 ,83.1,12.5,8.1,8.34,1.4
117,3 ,82.7,12.2,3.6,4.61,0.45
118,3 ,82.7,12.1,4.4,5.39,0.75
119,3 ,83.5,11.4,2.5,3.43,1.15
120,3 ,83.8,11.5,4.7,5.67,0.75
121,6 ,85.1,12.3,8.9,10.38,0.68
122,3 ,85.1,12.7,4.6,5.58,0.98
123,3 ,85.1,10.8,4.3,5.3,1.7
124,3 ,85.1,10.6,11.2,10.2,0.7
125,3 ,81.9,10.6,4.8,5.76,0.93
126,3 ,82.5,10.7,4.4,5.39,1.03
127,12 ,80.4,10.4,17.3,12.48,3.28
128,3 ,80.1,10.9,5.4,6.29,1.08
129,3 ,80.1,11,6.5,7.18,1.5
130,3 ,77.6,10.6,6.8,7.41,1.38
131,2 ,72.4,16.2,14.4,11.58,2.3
132,2 ,73.5,17.5,7,6.81,1.63
133,8 ,70.7,18.4,7.2,8.97,0.98
134,12 ,68.8,16,24.6,14.5,3.2
135,2 ,68.6,16.8,11,9.54,2.08
136,2 ,68.6,17.6,6,6.06,1.1
137,7 ,67,17.9,7.4,9.14,1.78
138,12 ,65.8,18.5,43.2,17.35,4.8
139,2 ,67.4,20,3,3.64,0.98
140,12 ,65.8,19.2,19.7,13.24,3.3
141,12 ,64.8,19.3,14,11.23,0
142,2 ,60.4,17.2,6,6.06,1.53
143,2 ,59.4,11.8,6.5,6.44,1.18
