treeno,species,x,y,dbh
206,7,72.016,16.346,8
207,9,73.033,16.868,5
208,9,72.828,17.757,6
209,15,72.939,17.975,13.8
210,8,70.001,18.389,22.4
211,9,75.576,19.585,4
212,11,75.318,17.141,4.2
213,3,80.18,11.219,7.5
214,2,80.358,10.227,34.5
215,14,81.052,10.613,25.1
216,15,84.979,11.739,22
217,14,84.999,11.513,19.4
218,2,86.062,10.665,15.4
219,14,87.294,13.145,14.6
220,7,88.246,12.275,41.6
221,14,88.016,15.038,15.8
222,15,89.027,14.483,27.2
223,14,89.918,17.555,18.6
224,14,86.468,19.971,19.8
225,14,85.75,19.575,4.2
226,3,82.508,19.983,12.3
227,14,86.779,17.475,20.5
228,15,86.415,16.078,29.5
229,2,89.842,10.236,19.5
230,14,90.634,15.931,28.5
231,1,99.267,17.626,23.5
232,8,99.556,15.205,17.5
233,8,99.142,10.582,21
234,7,97.292,12.125,11
235,10,97.671,22.214,27.4
236,10,99.925,23.853,26.8
237,15,99.664,24.736,26.5
238,10,99.389,25.339,12.6
239,2,99.389,26.841,24
240,14,98.497,25.873,9.4
241,10,98.928,24.613,19
242,10,93.672,26.155,19
243,15,94.271,27.12,18.5
244,14,94.27,28.885,24.5
245,9,94.517,29.28,3.5
246,7,90.893,28.425,41.9
247,9,82.219,20.845,7.2
248,15,83.102,20.809,28
249,14,84.026,21.183,27.4
250,7,83.536,25.706,7.6
251,10,84.244,24.278,8.4
252,1,84.243,25.795,13.7
253,6,80.444,27.627,20.2
254,15,81.607,28.58,9.6
255,11,86.116,26.566,27.1
256,14,88.813,24.148,18.1
257,2,79.111,20.237,5.5
258,1,78.864,21.765,10.1
259,10,78.86,22.583,13.9
260,1,79.229,25.637,12.8
261,3,79.23,27.594,9.2
262,3,79.22,27.582,7.8
263,3,78.443,27.986,8.7
264,8,76.551,28.335,25.2
265,1,75.215,26.058,14.6
266,3,76.511,23.622,9.9
267,3,76.51,23.433,6.2
268,3,76.52,23.385,5.3
269,6,75.565,22.264,23.6
270,8,73.058,21.431,24.3
271,8,73.058,23.862,21.6
272,11,72.644,26.758,5.2
273,15,70.529,26.886,22
274,14,70.425,26.884,8.7
275,6,72.722,28.873,20.6
276,14,69.527,29.06,11
277,9,69.529,29.056,4.4
278,15,69.7,20.294,12.1
279,10,64.608,21.193,3.2
280,14,65.167,20.565,29.3
281,7,62.613,21.256,31.6
282,7,61.805,21.929,9.3
283,14,61.375,21.489,2.2
284,9,63.592,27.577,4.2
285,15,64.706,28.213,16.9
286,11,61.001,27.535,8.4
287,14,58.214,25.262,27
288,14,56.882,29.219,2.7
289,15,54.935,23.959,8.6
290,15,57.251,21.479,8.2
291,15,56.732,21.024,8
292,15,55.225,22.134,7
293,9,53.547,24.125,9
294,9,53.669,24.403,9.1
295,10,51.337,21.483,28.9
296,10,50.997,21.659,19.8
297,3,52.691,29.004,9.8
298,15,49.58,29.163,17.3
299,14,49.268,27.122,8.5
300,15,46.739,23.562,12.2
301,15,46.73,23.56,14.2
302,15,45.976,23.289,6.7
303,7,46.979,22.444,8.6
304,14,46.979,21.362,1.9
305,2,44.127,26.324,26.6
306,7,43.079,27.756,31.6
307,7,42.256,27.253,9
308,14,40.398,24.133,26.4
309,9,38.924,23.876,7.2
310,2,36.72,22.903,12.5
311,15,36.255,24.953,20.3
312,8,34.212,24.362,33
313,7,34.22,24.597,5.5
314,4,34.219,29.831,26.2
315,7,32.784,29.364,3.7
316,8,32.78,29.889,35.1
317,9,32.748,29.891,8.8
318,9,30.83,27.476,3
319,3,30.469,25.165,8.8
320,3,30.88,23.442,2.8
321,11,30.998,23.265,6.7
322,9,32.497,20.552,6.1
323,8,32.092,20.541,25.1
324,2,30.408,21.476,13.4
325,14,28.801,21.609,11.1
326,14,28.112,21.601,9.7
327,14,28.113,22.107,14.2
328,14,28.101,22.112,6.9
329,15,27.302,22.256,13.7
330,3,27.319,21.458,2.3
331,15,27.74,20.58,7.4
332,2,26.927,20.427,11.5
333,15,25.943,21.22,9.9
334,3,25.94,20.544,2.3
335,7,25.192,20.759,6
336,10,24.607,22.756,22.5
337,9,24.45,23.808,15.2
338,14,24.46,25.205,8.9
339,3,29.073,26.683,2.7
340,3,29.07,26.67,2.3
341,15,27.579,28.291,16.8
342,9,23.033,24.462,16.4
343,10,23.03,24.032,12.3
344,9,22.202,22.471,5.1
345,7,23.024,21.507,12.8
346,14,23.983,20.769,10.6
347,10,17.428,26.766,24.1
348,14,15.691,27.203,4.1
349,14,14.566,27.734,11.3
350,14,13.433,28.964,5.9
351,14,12.771,27.917,6.9
352,9,12.761,28.824,12.3
353,14,12.78,25.2,16.4
354,14,15.223,25.993,2.1
355,14,15.362,25.916,1.7
356,2,14.79,23.282,3.5
357,7,14.243,22.461,15.8
358,10,14.997,21.371,23.6
359,7,14.435,20.537,29.1
360,7,14.427,20.416,9.9
361,3,10.823,20.287,4.7
362,14,10.652,20.549,2.1
363,14,10.835,20.899,16.3
364,9,5.313,20.333,18.3
365,9,5.3,20.855,6.6
366,9,1.055,21.578,4
367,14,5.892,23.578,1.7
368,14,5.88,24.966,7.7
369,9,6.816,26.546,17.8
370,7,6.799,29.269,11.2
371,2,5.966,26.969,7.7
372,2,5.224,26.979,6.4
373,3,6.003,25.798,6.6
374,14,5.796,23.609,2
375,14,4.423,23.883,1.7
376,14,3.555,24.028,1.9
377,10,3.322,25.335,2.6
378,14,3.628,23.322,11.2
379,9,4.198,27.568,18.1
380,15,3.028,28.93,25.8
381,10,0.406,28.372,12.1
382,14,0.41,27.741,5
383,3,0.49,26.056,25.5
384,2,0.591,25.761,9.5
385,9,0.973,21.771,4.3
386,15,0.969,21.602,22.4
387,7,1.917,20.784,8.1
388,7,1.907,20.649,11.7
389,7,1.915,20.628,23.4
390,7,2.494,20.302,9.3
391,8,0.201,33.031,17.3
392,15,2.512,30.386,10.4
393,1,1.879,31.704,9
394,14,0.48,34.518,2.8
395,14,0.51,36.831,3.2
396,14,1.723,37.499,1.7
397,14,2.953,37.314,1.7
398,14,1.318,35.946,7.4
399,7,1.4,35.942,17.8
400,14,2.101,35.93,1.9
401,14,3.55,35.64,9.3
402,14,3.861,39.98,10.1
403,15,4.482,38.752,18.1
404,15,5.746,38.757,15
405,15,8.012,39.086,12
406,15,8,39.362,14.1
407,15,8.494,39.314,19.3
408,3,8.405,36.359,7.1
409,3,8.489,34.278,9.5
410,3,7.981,32.697,15
411,15,7.62,31.303,18.4
412,15,7.169,31.156,22.9
413,15,6.382,30.734,18.7
414,15,11.437,33.348,16.8
415,9,12.337,30.738,12.6
416,10,13.819,30.919,9.5
417,15,12.242,33.395,14.5
418,14,12.24,33.766,7.2
419,14,11.681,34.503,4.3
420,3,11.347,36.756,1.8
421,14,11.617,35.647,2
422,14,12.756,37.601,2.5
423,14,14.059,37.972,4.1
424,14,14.497,39.998,10
425,14,14.909,39.938,5.8
426,10,15.124,39.997,4.7
427,7,15.067,39.903,24.3
428,4,14.85,36.574,17.1
429,10,16.471,37.479,6.6
430,15,14.91,34.995,26.3
431,11,14.286,33.5,8.9
432,14,16.269,31.979,2.7
433,14,16.946,34.649,16.6
434,14,19.094,33.582,30.7
435,14,18.637,31.635,1.7
436,14,18.625,30.704,2.1
437,14,20.01,32.623,5.1
438,15,21.195,30.323,22.8
439,14,21.639,31.147,8.3
440,14,22.225,35.579,35.1
441,14,21.714,35.335,4.6
442,14,21.515,35.886,3.7
443,3,20.358,36.623,6.3
444,14,20.36,37.248,23
445,14,20.001,38.697,3.1
446,14,23.483,39.997,1.9
447,2,24.945,36.193,13
448,9,24.391,33.776,10.1
449,2,25.724,33.233,9.3
450,1,26.01,34.645,20.5
451,3,26.774,35.248,3.5
452,8,35.837,30.261,23
453,3,26.76,35.25,3.8
454,14,29.646,34.604,2.2
455,15,30.61,36.187,10.4
456,3,32.46,36.794,4.5
457,3,32.459,36.794,8.1
458,3,32.452,36.79,12.5
459,3,32.467,36.45,5.3
460,3,32.466,36.449,5.2
461,3,32.44,36.78,10.5
462,3,32.439,36.782,6.9
463,3,32.457,36.78,3
464,9,34.13,36.591,2.9
465,9,34.005,36.227,2.7
466,15,36.325,36.37,14.8
467,15,36.115,35.769,18.1
468,14,38.846,36.914,3.5
469,14,38.84,35.943,5.5
470,15,37.01,35.094,10.9
471,9,34.54,32.645,8.8
472,14,34.888,32.475,2.1
473,9,38.065,30.812,4.3
474,15,30.705,31.361,17.3
475,14,40.396,32.434,16.2
476,9,43.223,33.861,17.3
477,9,41.862,36.903,10.3
478,14,41.862,37.621,6
479,9,40.319,38.296,11.7
480,7,40.249,38.28,3.3
481,14,40.713,38.949,5.3
482,14,42.543,36.953,2.4
483,2,45.252,38.286,9
484,9,45.306,39.344,24.7
485,9,45.248,39.32,10.8
486,14,45.953,35.936,3.5
487,7,49.997,34.831,28.2
488,14,50.393,32.846,4
489,10,50.813,33.835,1.6
490,14,52.463,32.263,3.2
491,14,52.898,33.141,2.6
492,14,52.25,34.851,6
493,10,54.072,36.62,2.3
494,7,54.489,38.399,15.9
495,7,54.48,38.633,5.5
496,15,55.157,35.943,6.5
497,10,54.548,35.649,3.1
498,9,54.415,35.444,17.7
499,9,54.4,34.918,12.6
500,9,56.888,34.756,13.3
501,11,57.229,35.593,18.8
502,11,57.2,35.589,13.6
503,16,60.477,38.942,70
504,2,62.44,36.209,28
505,10,62.43,32.685,40.4
506,7,65,31.321,5.5
507,2,64.099,33.213,2.8
508,14,64.74,36.808,5.7
509,15,64.729,37.752,10.4
510,1,64.72,37.729,8.9
511,7,65.891,37.268,15.9
512,3,70.451,35.016,33.3
513,10,70.306,33.139,21
514,7,71.677,34.431,17
515,7,72.223,34.781,4.3
516,9,72.768,36.502,4
517,8,74.425,35.475,26.3
518,8,75.142,39.573,20.3
519,3,76.488,39.412,3.5
520,3,78.849,36.762,8.8
521,3,78.84,36.76,4.5
522,3,78.842,36.77,7.8
523,3,78.845,36.702,6.8
524,8,75.269,34.687,33.4
525,1,74.127,30.777,10.3
526,9,77.864,30.674,4.9
527,9,80.537,30.874,8.5
528,10,82.662,33.109,21.5
529,15,82.6,36.645,9.4
530,14,83.891,34.843,11.3
531,11,85.315,32.441,18.2
532,7,84.905,30.378,15.7
533,15,88.504,33.06,25.7
534,14,93.913,33.486,15
535,15,93.9,33.48,43.3
536,10,92.889,37.409,33.5
537,15,94.693,38.786,17.1
538,7,94.573,38.716,5.3
539,7,94.531,37.779,8.7
540,7,97.77,37.701,12.6
541,7,97.777,37.721,5.9
542,10,97.358,33.115,13.4
