treeno,species,x,y,dbh
1437,14,0.1,0.2,12.2
1438,14,0.1,0.11,11.4
642,14,0.543,40.541,4.7
372,1,0.839,22.536,17
1435,7,0.892,92.593,11.6
862,14,0.903,58.314,5.8
1143,15,0.935,77.887,17.4
1433,10,1.014,91.127,11
640,1,1.026,39.375,10.4
1434,7,1.054,92.476,19.5
864,14,1.23,60.868,12
1424,15,1.247,98.743,16.3
1144,7,1.267,81.453,6
644,14,1.273,43.382,3.1
861,2,1.36,59.99,37
641,14,1.402,34.296,20.5
645,14,1.454,43.055,2.3
868,10,1.513,66.865,11.2
371,14,1.525,13.969,20.1
647,14,1.542,45.248,2.6
863,1,1.582,53.624,17.4
373,1,1.73,22.2,24.3
1423,15,1.746,98.793,15.5
370,1,1.897,12.392,15.8
1,15,1.994,1.932,13.3
1422,15,2.056,98.769,15.2
1150,2,2.211,84.169,72
1149,7,2.294,84.167,6.2
643,14,2.408,42.394,4.9
1142,2,2.446,76.376,36.2
860,14,2.449,57.507,16.7
867,14,2.479,65.714,17.6
1436,15,2.637,92.903,18.5
1421,14,2.676,99.508,12.8
646,1,2.686,44.12,17.3
869,15,2.912,67.562,36
1432,10,3.309,91.673,13.7
1148,11,3.431,84.839,5.2
865,10,3.59,61.57,10.1
648,1,3.611,48.202,22
1427,14,3.631,95.255,17.9
1420,2,3.637,99.045,12.2
866,10,3.81,61.827,13.5
638,15,3.827,37.713,25.3
1425,14,4.058,97.474,9
639,10,4.354,36.177,19.1
1141,10,4.431,77.763,15.8
1139,14,4.48,72.819,21
1426,7,4.534,96.518,21
649,14,4.755,46.172,2.6
859,15,4.772,58.579,14.7
381,14,4.918,27.961,15.4
374,14,4.941,20.222,17.1
10,3,4.95,8.44,14.6
637,10,5.018,38.14,15.9
636,15,5.034,38.204,21.5
1140,10,5.09,75.771,10.8
1145,1,5.216,80.662,17
656,1,5.341,42.812,6.5
369,1,5.605,15.082,11.2
650,14,5.664,45.754,4.3
