Number	x	y	dbh	species	height
332	32.7161	36.5709	6.7	24	10.3
334	34.317	36.0159	8.4	24	10.5
338	36.9014	39.1142	7.8	24	10.4
366	60.8904	41.6144	5.4	24	4.8
376	54.0658	47.2968	16.7	24	11.2
379	32.6002	48.5823	13.6	24	10.2
388	32.3034	42.778	10.6	24	8.4
390	30.5327	46.9273	7.1	24	9.6
393	26.0474	42.6717	7.9	24	8.7
394	23.3645	41.073	10.3	24	9.3
403	27.5733	49.4723	11	24	12.3
407	16.469	46.352	11.5	24	10.6
408	16.3256	46.2126	9	24	10.4
409	13.6911	45.6287	6.4	24	7.2
419	16.9503	35.2973	7.5	24	9.6
420	16.9416	35.2532	10.7	24	7.7
429	12.3701	34.8033	8.5	24	10.4
463	8.4537	40.8036	19.9	24	10.5
464	10.6749	43.2582	10.6	24	9.7
465	10.2587	43.0415	10.8	24	10.3
483	2.4667	45.854	12.7	24	13
1	32.2871	1.5495	13.1	25	11.4
3	37.2465	4.2676	7.1	25	4.7
4	34.6631	2.8552	8.8	25	11.3
5	34.4427 	2.6934 	6	25	6.2
10	44.9003	0.695	8.4	25	10.9
30	59.67	9.2706	14	25	11.8
32	58.8539 	9.0851 	11.2	25	11.5
33	59.0020 	9.2501 	5.1	25	10.7
36	59.6008 	15.1996 	16.9	25	11.8
42	48.7604	13.6785	10.2	25	10.7
43	48.4763 	13.9294 	9.8	25	10.7
44	48.5908	13.4488	8.8	25	11.1
67	30.4848	1.6358	5.6	25	5.8
72	20.6899	1.7978	10.5	25	10.9
73	20.4386	2.4762	6.6	25	8.4
74	21.5175	3.0715	10.4	25	11.2
75	20.9872	3.5012	7.5	25	10.6
85	25.3744	13.2043	8.1	25	10.7
94	26.9667	17.9379	15.5	25	10.4
95	26.8836	17.7943	8.6	25	10.7
124	7.1389	6.4959	10.1	25	10.7
125	7.1777	6.1864	5.9	25	10.5
126	7.3541	6.0377	9.3	25	10.8
127	7.5681	6.2512	9.1	25	11.1
163	24.8044 	27.2610 	5.7	25	7.8
164	24.9403 	27.5185 	17.4	25	10.9
169	34.3400 	26.7752 	13.7	25	10.2
170	34.5376 	26.7433 	14	25	11.3
171	34.9270 	24.8468 	13	25	11.1
172	34.8174 	24.6741 	10.1	25	11.3
173	36.6700 	22.9846 	14.2	25	11.3
188	43.9975 	15.1958 	14.5	25	12.1
190	43.9001 	15.5334 	11.6	25	10.8
213	58.5681 	26.4668 	14.5	25	7.2
214	58.3907 	26.5224 	6	25	11.4
215	56.8464 	26.8175 	13.2	25	11.8
217	61.0064 	20.1828 	5.7	25	8.2
218	61.1322 	20.1216 	5	25	9.6
219	61.2249 	20.3970 	20	25	11.9
220	61.5400 	20.2954 	8	25	11.6
221	61.5588 	20.2837 	6.6	25	11.3
222	61.4856 	20.0992 	7.5	25	11.4
223	61.3503 	19.9758 	4.7	25	10.7
224	58.3006 	28.5506 	11.4	25	11.6
225	56.8663 	29.6395 	15.4	25	11.4
230	52.5842	30.6474	4.9	25	6.2
231	52.3388	30.7099	11.2	25	10.6
232	49.653	32.5098	14.3	25	11.6
233	49.433	32.6004	11.2	25	9.2
242	37.9522	29.5462	12.9	25	11.5
243	38.0471	29.6892	11.9	25	11.6
251	41.1947	27.9044	10.7	25	10.1
252	41.2922	28.1361	17.3	25	10.9
259	43.3433	32.9327	7.6	25	10.6
260	43.5756	32.9932	6.8	25	9.7
261	43.6398	33.1544	14.4	25	10.6
262	43.6412	34.7522	7.6	25	10.6
264	50.9526	37.4103	6.4	25	10.4
266	54.9736	35.1866	15.8	25	10.3
267	54.9903	33.6647	10.5	25	10.7
268	54.8716	33.6082	8.3	25	10.7
270	55.1871	31.6108	4.9	25	10.2
271	57.3576	31.993	10.5	25	10.5
272	58.4095	30.9139	7.4	25	10.6
273	59.8581	30.337	11	25	11
274	61.991	29.726	8.7	25	10.9
275	61.088	32.666	11.3	25	11.1
276	61.0311	32.6815	5.5	25	8.9
277	60.8499	32.6908	5.8	25	10.9
