treeno,species,x,y,dbh,ht,cw
1,12,21.4,1.7,41.4,17.16,3.87
2,12,27.5,1.3,12,10.33,0.99
3,12,28.6,1,22.3,13.95,1.98
4,2,27.2,3.6,6.5,6.44,0.73
5,12,27.3,3.6,18.2,12.78,0.92
6,12,25.8,6.6,28.1,15.22,2.39
7,12,30.45,6.3,27.9,15.19,2.03
8,6,32.1,4.8,9.2,10.61,0.92
9,6,33.9,2.1,8.6,10.15,0.88
10,8,33.6,5.1,10.1,11.27,0.77
11,3,34.7,5.5,6.5,7.18,1.88
12,3,35.4,6.8,3.8,4.81,0.78
13,8,35.1,9.1,11.8,12.39,0.69
14,8,37.9,6.3,12.6,12.87,0.96
15,3,37.8,6,8.5,8.6,1.08
16,8,38.5,5.7,13.4,13.33,1.14
17,8,37.3,3.6,13.1,13.16,1.03
18,8,36.4,2.3,12.3,12.7,1.05
19,8,36.5,3.7,12.6,12.87,0.84
20,2,36.4,2.6,15.9,12.41,1.29
21,8,38.2,0.5,20,16.31,1.02
22,7,39.6,0.2,6.5,8.32,1.33
23,7,39.4,0.5,7.9,9.57,1.59
24,8,39.8,3.2,14.2,13.76,1.24
25,12,39.2,3.6,11.6,10.13,1.66
26,8,40.7,5,13.5,13.38,0.93
27,8,40.6,9.8,13,13.1,1.12
28,8,41.2,9.6,12.6,12.87,1.18
29,8,42.7,10,12.1,12.57,1.06
30,3,42.8,8.1,7,7.56,1.65
31,8,43.6,6.6,9.9,11.13,0.85
32,2,42.8,5.5,6.8,6.66,0.92
33,2,42.7,5.4,2.5,3.21,0.54
34,8,41.6,3.9,16,14.65,1.09
35,12,40.8,2.3,8.4,8.32,0.97
36,3,42.1,2.3,3.8,4.81,0.76
37,3,42.4,2.2,5.2,6.12,1.08
38,8,42.2,1.6,11.5,12.2,0.82
39,8,41.7,0.1,11.6,12.27,0.9
40,8,41.8,0.2,12.9,13.05,0.82
41,8,42.8,0.1,12.2,12.64,0
42,8,43.5,2.2,14.9,14.12,1.02
43,8,44.5,3.7,12,12.51,1.05
44,3,43.4,4.8,8.6,8.67,1.67
45,8,44.7,4.5,12.6,12.87,0.8
46,8,46,6.3,10,11.2,0.84
47,12,44.5,7.9,5.9,6.51,0.88
48,8,47,7.1,9.2,10.61,0
49,12,46.2,7.7,6.7,7.13,1.07
50,8,48.9,8.9,9.3,10.69,0
51,12,48.3,7.2,7.8,7.92,1.37
52,12,48.9,7.7,9,8.69,1.32
53,2,49.3,9.6,6.1,6.14,1.08
54,2,49.5,9.7,14.1,11.41,1.67
55,3,49.7,3.8,6.7,7.34,1.82
56,8,47.6,2,12.4,12.75,0.78
57,2,47.7,1,8.1,7.6,1.4
58,2,47.8,0.9,11.4,9.79,1.39
59,8,47,0.1,10,11.2,0.66
60,3,41,8.4,9.9,9.47,1.4
61,12,52.4,0.9,24.6,14.5,0.88
