treeno,species,x,y,dbh,ht,cw
1,6,1.49,6.982,16,14.6,9.8
2,6,1.677,6.475,20.9,16.6,11.4
3,12,2.464,6.598,6.5,7,5.6
4,2,0.1,4.328,10.2,9,5.9
5,12,4.477,6.874,10.1,9.3,7.7
6,12,4.998,6.754,19.1,13.1,11
7,12,0.928,2.348,8.5,8.4,5
8,6,4.314,1.574,22.4,17.1,11.4
9,12,14.997,4.946,16.4,12.2,12.1
10,12,12.118,7.7,17.8,12.6,12.6
11,12,17.737,9.36,10.4,9.5,11.8
12,6,19.68,8.661,30.4,19.3,19.5
13,2,18.04,3.96,11.8,10,11
14,12,17.93,4.51,8.3,8.3,9.7
15,2,22.03,1.216,16.3,12.6,13
16,2,21.47,3.396,8.2,7.7,10.2
17,12,21.637,4.316,10.1,9.3,11.3
18,2,21.206,5.576,10.1,9,11.5
19,13,30.789,2.477,30.5,19.3,20.8
20,9,31.981,1.921,5.2,6.1,11.3
21,2,31.742,3.388,5.8,5.9,11.7
22,2,33.307,3.032,3.7,4.2,11.1
23,2,34.955,5.437,3.8,4.3,12.1
24,9,34.524,5.977,3.5,4.5,12.1
25,12,30.571,7.536,22.7,14,18.7
26,12,31.908,9.535,19.9,13.3,18.7
27,2,37.16,8.652,7.1,6.9,14.9
28,12,38.321,7.9,18.9,13,19.5
29,12,39.157,7.62,6.1,6.7,14.9
30,2,39.655,8.43,3.7,4.2,14
31,9,39.615,9.265,6.6,7.3,15.7
32,2,38.699,6.878,3.4,4,13.2
33,12,38.048,5.182,7.4,7.6,14.6
34,12,38.746,4.316,6.7,7.1,14.2
35,6,39.812,5.152,31.4,19.5,24
36,12,37.872,3.713,22.4,14,19.5
37,2,36.366,2.907,6.8,6.7,13.2
38,12,37.473,0.43,6.2,6.7,12.7
39,2,38.661,1.638,7.4,7.1,13.7
40,2,41.816,0.732,4.7,5.1,13.1
41,13,42.671,6.293,13.8,13.5,19.1
42,13,40.571,8.96,24.5,17.8,23
43,2,43.618,7.572,10.1,9,17.6
44,13,44.313,8.217,19.5,16.1,22
45,9,45.194,8.619,6.6,7.3,16.9
46,9,45.591,8.803,8.7,8.7,18
47,12,48.388,8.966,13.1,10.8,20.3
48,2,47.81,6.86,14.2,11.5,20.1
49,2,46.059,0.675,9.5,8.6,16.2
50,9,47.028,0.698,3.8,4.8,14.1
51,2,48.671,1.913,6.1,6.1,15.7
52,6,49.223,1.753,21.7,16.9,22.4
53,6,52.286,0.873,36.5,20.5,27.5
54,9,51.595,2.182,7.2,7.7,17.2
55,2,51.287,2.695,3.7,4.2,15.5
56,9,53.172,1.252,7.7,8.1,17.5
57,2,54.476,1.398,9.5,8.6,18.5
58,13,55.206,0.613,12.5,12.8,20.3
59,2,55.999,1.35,3.1,3.7,16
60,13,57.71,1.669,7.5,9.2,19
61,13,55.949,1.467,18.8,15.9,23
62,12,56.646,1.963,6.6,7.1,18.1
63,12,58.98,1.742,9.4,8.9,19.8
64,12,59.426,1.848,18.1,12.7,23
65,12,59.591,5.516,7.1,7.4,19.9
66,12,59.822,5.462,8.2,8.2,20.4
67,2,58.304,6.146,6.2,6.2,19.2
68,2,56.388,6.005,9.4,8.5,20.1
69,2,54.908,3.532,11.6,9.9,20
70,1,54.528,6.311,2.8,3.5,16.8
71,2,56.557,8.024,6.5,6.4,19.4
72,12,58.134,8.143,26.6,14.9,27
73,9,56.841,8.847,5.6,6.5,19.4
74,2,63.617,3.437,6.8,6.7,20.1
75,12,63.538,4.215,11.2,9.9,22.2
76,12,65.045,6.051,15.7,11.9,24.7
77,2,67.636,1.188,7.6,7.2,20.9
78,12,68.895,5.606,9.6,9.1,23.3
79,12,71.432,8.007,24.2,14.4,29.5
80,2,74.298,8.075,7.9,7.5,24.4
81,9,73.423,3.884,4.5,5.5,21.8
82,9,73.512,3.856,3.7,4.7,21.4
83,2,72.213,3.952,11.7,10,24.5
84,9,73.405,0.698,5.5,6.4,21.5
85,9,75.582,0.678,6.4,7.1,22.4
86,12,73.254,2.932,31.3,15.8,30.8
87,12,77.222,6.064,25.6,14.7,30.9
88,12,76.973,6.972,18.7,12.9,28.9
89,12,80.743,4.841,26.3,14.9,31.7
90,9,81.997,3.047,7.3,7.8,25
91,13,82.092,0.646,12.6,12.9,27.1
92,12,84.089,0.507,31.3,15.8,32.9
93,12,83.937,2.689,25.7,14.7,31.8
94,2,84.54,3.422,7.8,7.4,25.8
95,12,84.194,4.564,8.2,8.2,26.3
96,2,84.708,6.122,10.7,9.4,27.7
97,13,80.991,7.117,10.5,11.5,27.5
98,9,82.545,7.362,7.3,7.8,26.2
99,13,85.675,9.022,25.8,18.1,34.7
100,2,88.896,8.485,9.7,8.7,28.9
101,13,88.701,7.857,7.3,9.1,28.2
102,2,87.05,7.806,11.3,9.7,29
103,2,86.79,4.468,7.4,7.1,26.4
104,2,89.022,4.352,7.1,6.9,26.8
105,2,88.377,0.844,8.9,8.2,26.6
106,2,89.872,0.995,9.7,8.7,27.3
107,12,91.447,7.391,15.5,11.8,31.5
108,13,95.071,9.437,19.5,16.1,35
109,2,97.396,5.771,6.1,6.1,28.9
110,12,95.034,5.36,12.9,10.8,31
111,6,97.243,5.515,20.6,16.5,35
112,12,97.162,1.524,30.3,15.6,36.2
113,2,98.855,4.136,9.8,8.8,30.4
114,2,98.84,4.713,8.9,8.2,30.2
115,2,99.747,7.776,7.2,7,30.4
116,2,100,10,6.8,6.7,30.9
117,12,99.52,10.988,11.4,10,33
118,12,95.179,10.684,6.9,7.3,30
119,6,95.772,10.466,41.5,21.2,42.2
120,2,99.12,13.27,8.3,7.7,32.1
121,6,96.751,16.885,44.7,21.7,45
122,9,99.553,17.15,6.3,7,32.5
123,2,96.945,18.585,13,10.8,34.8
124,2,99.191,19.941,9.7,8.7,34.4
125,13,94.846,15,27.1,18.5,38.9
