Number	x	y	species	dbh	height	CL
91996	216.442	264.106	1	6.5	6.8 	4.6 
91999	214.576	265.502	1	7.5	6.3 	4.4 
92401	212.17	266.363	1	5	5.6 	4.1 
92406	214.565	268.917	1	6.3	5.4 	4.1 
92411	213.012	272.48	1	3.4	4.5 	3.7 
92414	212.029	276.083	1	7.7	8.6 	5.2 
92417	209.316	278.992	1	6	6.4 	4.4 
92421	206.863	281.535	1	8.2	7.6 	4.9 
92433	209.503	282.676	1	7	6.4 	4.4 
92444	218.739	274.015	1	7.5	6.8 	4.6 
92444.2	218.739	274.015	1	3.7	4.8 	3.8 
92444.3	218.739	274.015	1	5.3	5.4 	4.1 
92444.4	218.739	274.015	1	6.4	5.8 	4.2 
92447	217.87	276.871	1	13.2	9.8 	5.7 
92601	237.735	272.638	1	9.7	10.7 	8.4 
92608	230.3	276.862	1	3.3	4.6 	1.7 
92608.2	230.3	276.862	1	2.5	5.4 	4.1 
92608.3	230.3	276.862	1	1.7	5.0 	3.9 
92608.4	230.3	276.862	1	1.2	4.8 	3.8 
92612	222.81	276.327	1	3.7	7.3 	6.5 
92613	222.715	276.415	1	6.7	11.1 	9.6 
92617	222.149	279.954	1	5.8	7.7 	5.8 
92624	227.452	280.086	1	4.5	6.7 	4.1 
92629	234.118	278.558	1	3.5	4.1 	2.2 
92636	200.294	211.672	1	6	9.4 	5.5 
92636.2	200.294	211.672	1	2.7	5.5 	4.1 
92638	202.686	207.398	1	10.9	10.1 	5.8 
92640	204.176	203.235	1	15.5	7.6 	4.9 
92641	204.263	201.614	1	10.6	6.5 	4.5 
92653	214.11	202.821	1	9.7	8.2 	5.1 
92655	211.991	203.674	1	10.3	8.6 	5.2 
92661	205.018	206.642	1	5.3	12.7 	6.7 
92662	205.031	209.693	1	7.6	9.4 	5.5 
92663	204.908	209.742	1	10.8	9.7 	5.6 
92667	205.004	213.006	1	11.3	12.1 	6.5 
92667.2	205.004	213.006	1	9.9	8.8 	5.3 
92682	207.368	213.934	1	11	12.7 	6.7 
92685	207.008	208.103	1	12.9	10.2 	5.8 
92693	213.543	206.12	1	11.8	8.6 	5.2 
92696	217.165	206.662	1	13.8	9.4 	5.5 
92698	218.48	205.939	1	12.2	9.3 	5.5 
92705	216.667	209.239	1	18	12.1 	6.5 
92710	211.815	208.282	1	7.5	7.2 	4.7 
92717	209.179	210.571	1	17.7	11.2 	6.2 
92719	210.093	212.427	1	8.8	8.1 	5.1 
92729	211.737	216.273	1	9.2	8.6 	5.2 
92729.2	211.737	216.273	1	5.4	9.4 	5.5 
92731	324.189	203.29	1	6.4	7.8 	0.7 
92731	214.336	213.698	1	18.9	9.8 	5.7 
92733	219.033	212.581	1	10.4	4.4 	3.7 
92734	217.7	214.737	1	3.1	2.8 	3.1 
92737	335.73	204.169	1	11.3	12.0 	9.0 
92737	215.379	216.938	1	9.8	7.4 	4.8 
92745	324.468	206.564	1	10	12.0 	8.0 
92745	218.24	217.222	1	14.1	9.2 	5.5 
92755	335.505	210.441	1	6.5	6.2 	5.3 
92755	203.94	225.612	1	10.8	8.8 	5.3 
92761	321.723	209.165	1	16.5	12.0 	9.0 
92762	202.7	233.972	1	2.7	5.4 	4.1 
92762.2	202.7	233.972	1	5.6	4.4 	3.7 
92765	204.502	231.708	1	7.4	8.4 	5.2 
92767	206.756	228.231	1	9.1	7.6 	4.9 
92775	206.682	231.178	1	11.1	8.6 	5.2 
92777	206.755	233.501	1	12.6	9.6 	5.6 
92787	202.379	240.935	1	14.4	11.8 	6.4 
92797	211.241	229.952	1	4.3	4.4 	3.7 
92797.2	211.241	229.952	1	6.4	5.8 	4.2 
92797.3	211.241	229.952	1	11.6	9.6 	5.6 
93001	343.798	202.286	1	73	9.0 	4.6 
93002	343.616	203.562	1	5.5	9.6 	8.0 
93004	344.627	201.803	1	6.6	8.6 	7.0 
93009	354.787	201.33	1	7.8	8.5 	5.0 
93011	356.318	203.165	1	9.5	8.0 	5.3 
93014	360.912	207.743	1	12.3	13.5 	10.0 
93014.2	360.912	207.743	1	11.9	9.8 	5.7 
93020	348.826	207.634	1	7.2	9.3 	4.2 
93023	346.58	207.112	1	5	5.8 	3.6 
93025	344.839	205.343	1	5	6.8 	1.6 
93029	347.822	210.545	1	8.2	9.6 	7.8 
93036	360.019	211.871	1	16.7	10.5 	9.8 
93046	347.214	212.628	1	12	9.0 	6.0 
93048	343.186	213.121	1	10.7	9.5 	8.0 
93050.2	342.473	212.592	1	5.4	6.7 	4.6 
93051	343.084	215.758	1	16.9	13.0 	6.0 
93059	357.354	218.379	1	21.8	12.3 	6.8 
