Number	x	y	species	dbh	height	CL
93177	223.598	234.487	11	6.3	7.2 	2.2 
93190	232.397	236.221	11	8.7	9.0 	2.5 
93190.2	232.397	236.221	11	2.4	6.8 	4.1 
93199	313.164	215.556	11	6.4	6.0 	4.0 
93207	250.899	220.754	11	15.5	12.6 	7.3 
93208	252.826	222.509	11	17.3	10.4 	1.8 
93209	259.518	221.595	11	5	8.7 	5.4 
93210	259.47	223.265	11	11.4	8.7 	4.2 
93212	254.342	223.534	11	12.9	8.9 	6.8 
93213	252.548	223.347	11	20.5	13.0 	3.8 
93214	246.372	223.388	11	5.3	5.2 	4.5 
93223	248.993	225.057	11	20.3	11.0 	2.8 
93223.2	248.993	225.057	11	14.4	10.4 	6.1 
93232	254.41	226.738	11	6	5.8 	2.0 
93255	249.14	232.899	11	22.7	10.8 	7.7 
93255.2	249.14	232.899	11	11.2	9.4 	5.5 
93255.3	249.14	232.899	11	13.9	10.3 	6.0 
93255.4	249.14	232.899	11	13.7	10.2 	6.0 
93262	248.373	235.426	11	16	11.4 	9.0 
93273	247.193	239.648	11	15.8	11.0 	6.0 
93274	248.823	239.534	11	9.5	10.0 	3.8 
93283	261.99	222.646	11	17.7	11.0 	2.0 
93284	262.101	223.338	11	8.9	10.6 	3.0 
93284.2	262.101	223.338	11	3.3	7.0 	4.2 
93286	263.705	221.5	11	5.2	9.2 	7.8 
93287	264.879	223.753	11	4.4	7.1 	2.5 
93288	265.987	223.648	11	11.5	7.8 	2.0 
93289	267.322	222.552	11	15	11.0 	2.5 
93298	276.241	222.025	11	13.2	13.0 	9.6 
93298.2	276.241	222.025	11	11.7	9.6 	5.6 
93307	271.789	224.276	11	4.5	8.3 	4.0 
93307.2	271.789	224.276	11	4.3	7.3 	4.4 
93311	268.796	223.789	11	17.3	12.7 	8.6 
93317	264.984	233.883	11	7.8	11.0 	6.5 
93321	270.102	232.245	11	20	9.8 	4.6 
93321.2	270.102	232.245	11	12.2	9.7 	5.7 
93321.3	270.102	232.245	11	5	7.5 	4.5 
93324	268.764	228.822	11	16.7	6.9 	4.0 
93326	270.717	229.012	11	4.8	5.0 	4.0 
93330	277.553	229.189	11	3.1	4.5 	2.5 
93331	279.438	229.809	11	8	6.8 	2.5 
93344	263.794	236.829	11	34.2	13.0 	3.8 
93344.2	263.794	236.829	11	10	9.1 	5.3 
93361	276.539	234.993	11	20	12.6 	10.6 
93361.2	276.539	234.993	11	15.7	10.8 	6.3 
93367	276.411	235.516	11	22.6	12.6 	2.6 
93368	302.78	224.488	11	19.8	12.5 	8.4 
93369	303.115	225.422	11	16.8	11.7 	9.4 
93369.2	303.115	225.422	11	14.8	10.5 	6.2 
93370	301.611	226.07	11	9	9.0 	2.0 
93372	305.967	224.907	11	11.3	11.0 	3.6 
93374	310.311	223.35	11	17	13.5 	8.4 
93374.2	310.311	223.35	11	6	7.9 	4.7 
93381	318.753	224.093	11	25.7	12.8 	4.2 
93381.2	318.753	224.093	11	24.3	13.4 	7.8 
93386	310.095	226.701	11	18.6	12.6 	3.4 
93387	309.408	225.466	11	21.5	13.0 	7.6 
93387.2	309.408	225.466	11	15.6	10.8 	6.3 
93388	306.465	227.45	11	9.9	10.0 	2.6 
93389	306.19	227.716	11	9.8	11.6 	7.8 
93392	303.207	229.524	11	8.6	10.0 	2.2 
93393	302.746	229.834	11	16.8	12.0 	5.0 
93397	305.836	230.487	11	13.5	12.8 	11.6 
93397.2	305.836	230.487	11	10.5	9.2 	5.4 
93398	305.527	231.817	11	12	13.0 	10.0 
93404	282.773	219.999	11	16.8	11.7 	6.4 
93404.2	282.773	219.999	11	16	10.9 	6.4 
93404.3	282.773	219.999	11	14.5	10.4 	6.1 
93404.4	282.773	219.999	11	14.9	10.6 	6.2 
93405	286.717	223.282	11	15.8	11.0 	7.8 
93407	289.218	221.423	11	17.9	12.6 	4.0 
93407.2	289.218	221.423	11	8.6	8.6 	5.1 
93410	296.281	221.448	11	8.3	7.8 	4.0 
93411	300.432	221.885	11	18.1	12.6 	7.8 
93411.2	300.432	221.885	11	18.1	11.5 	6.7 
93413	298.597	225.148	11	9.7	12.0 	9.6 
93414	299.602	225.447	11	15	12.6 	6.8 
93430	289.066	228.44	11	11	8.7 	3.2 
93431	289.641	228.036	11	10.5	8.3 	6.8 
93434	296.866	228.874	11	18	13.7 	6.6 
93435	299.8	229.092	11	9.2	9.2 	2.0 
93439	294.351	230.384	11	16.9	8.9 	6.0 
93442	287.975	232.248	11	6.5	7.7 	1.4 
93445	284.58	229.604	11	14.6	9.3 	7.0 
93449	283.911	235.858	11	16.1	6.3 	3.0 
93459	293.854	234.925	11	19.1	12.9 	7.0 
93463	297.842	234.754	11	15.6	12.6 	9.8 
93466	298.126	236.524	11	12.1	12.0 	8.0 
93467	298.163	237.96	11	64.1	12.0 	10.0 
93468	296.68	238.056	11	16.3	12.6 	9.1 
93475	282.917	239.692	11	19.5	12.0 	6.0 
93475.2	282.917	239.692	11	15.3	10.7 	6.2 
93475.3	282.917	239.692	11	18.9	11.8 	6.8 
93475.4	282.917	239.692	11	16.1	10.9 	6.4 
93494	373.305	225.647	11	29.9	15.4 	4.8 
93494.2	373.305	225.647	11	15.6	10.8 	6.3 
93494.3	373.305	225.647	11	27.3	14.4 	8.3 
93508	380.494	233.052	11	16.1	12.1 	2.7 
93508.2	380.494	233.052	11	10	9.1 	5.3 
93510	370.213	231.518	11	13.5	12.3 	8.6 
93513	371.62	228.987	11	3.7	3.8 	1.7 
93514	376.52	229.598	11	15.5	12.8 	4.6 
93534	375.663	233.855	11	8.8	5.1 	6.2 
93538	377.327	236.365	11	21.5	13.4 	9.6 
93540	375.262	237.609	11	17.2	14.3 	8.0 
93542	371.692	239.46	11	16.9	12.8 	6.2 
93542.2	371.692	239.46	11	10.5	9.2 	5.4 
93542.3	371.692	239.46	11	10.5	9.2 	5.4 
93547	362.931	239.167	11	20	11.7 	4.6 
93601	300.95	266.844	11	16.8	11.1 	6.5 
93605	307.072	265.014	11	5.7	7.8 	4.6 
93609	310.099	265.252	11	8	8.5 	5.0 
93610	310.909	265.735	11	7.7	8.4 	5.0 
93610.2	310.909	265.735	11	4.5	7.4 	4.4 
93611	311.486	265.693	11	8.4	8.6 	5.1 
93612	311.76	265.534	11	20.9	13.5 	9.4 
93615	316.651	267.852	11	8.1	9.6 	4.5 
93619	319.202	267.048	11	12.4	11.6 	7.7 
93623	316.92	269.787	11	10.6	9.7 	7.3 
93623.2	316.92	269.787	11	6.9	8.1 	4.8 
93623.3	316.92	269.787	11	6.4	8.0 	4.7 
93626	313.593	267.867	11	10.8	12.1 	7.2 
93628	313.748	269.061	11	16.2	12.7 	8.6 
93630	310.938	269.614	11	6.3	8.7 	7.9 
93646	307.154	270.384	11	15.2	13.4 	6.9 
93648	308.974	271.856	11	9.4	11.7 	10.3 
93648.2	308.974	271.856	11	8.8	8.7 	5.1 
93649	310.429	271.372	11	9.5	11.4 	9.6 
93652	315.515	271.533	11	7	9.6 	4.3 
93653	316.645	270.497	11	16.8	12.3 	8.6 
93654	317.085	271.465	11	9.7	9.7 	7.8 
93655	318.858	272.782	11	11.2	12.3 	6.2 
93657	319.171	274.285	11	6.5	8.9 	7.4 
93659	318.684	277.218	11	13.4	11.3 	9.6 
93662	316.638	273.476	11	11.5	13.4 	11.2 
93664	315.352	273.85	11	55.2	11.2 	7.9 
93664.2	315.352	273.85	11	15.9	10.9 	6.3 
93664.3	315.352	273.85	11	9.6	8.9 	5.3 
93664.4	315.352	273.85	11	13	10.0 	5.8 
93664.5	315.352	273.85	11	13	10.0 	5.8 
93664.6	315.352	273.85	11	12.3	9.8 	5.7 
93667	310.144	272.886	11	15.2	12.5 	6.7 
93667.2	310.144	272.886	11	9.8	9.0 	5.3 
93672	314.254	207.194	11	9.5	5.0 	2.2 
93673	307.222	276.52	11	19.7	11.6 	7.7 
93673.2	307.222	276.52	11	14.9	10.6 	6.2 
93675	302.275	275.865	11	11.6	8.7 	4.1 
93676	304.732	276.772	11	5.5	7.7 	4.3 
93678	302.051	276.942	11	8.5	8.2 	7.1 
93684	311.057	276.752	11	18.9	12.8 	8.5 
93685	307.362	211.463	11	21.4	13.6 	8.6 
93686	280.47	262.042	11	12.2	11.4 	7.3 
93688	280.947	263.729	11	10.1	8.9 	8.1 
93689	280.882	264.229	11	16.5	11.3 	8.7 
93689	319.308	211.027	11	21.3	12.0 	9.0 
93692	286.799	263.616	11	18.4	11.4 	9.8 
93692.2	286.799	263.616	11	8.5	8.6 	5.1 
93692.3	286.799	263.616	11	8.7	8.7 	5.1 
93692.4	286.799	263.616	11	11.6	9.6 	5.6 
93704	292.561	267.746	11	16.1	10.7 	7.9 
93705	292.191	267.307	11	14.6	11.1 	9.7 
93709	286.216	266.548	11	12.7	12.2 	8.1 
93709.2	286.216	266.548	11	10.1	9.1 	5.4 
93709.3	286.216	266.548	11	8.7	8.7 	5.1 
93709.4	286.216	266.548	11	11.3	9.5 	5.6 
93712	283.28	268.998	11	18.4	11.6 	9.3 
93712.2	283.28	268.998	11	12.5	9.8 	5.8 
93712.3	283.28	268.998	11	9	8.8 	5.2 
93712.4	283.28	268.998	11	10.4	9.2 	5.4 
93712.5	283.28	268.998	11	14.2	10.4 	6.1 
93712.6	283.28	268.998	11	8.2	8.5 	5.0 
93712.7	283.28	268.998	11	10	9.1 	5.3 
93712.8	283.28	268.998	11	9.9	9.0 	5.3 
93717	290.228	269.801	11	19.8	12.6 	9.4 
93718	292.177	270.602	11	23.2	12.8 	7.9 
93718.2	292.177	270.602	11	10.9	9.3 	5.5 
93718.3	292.177	270.602	11	8.8	8.7 	5.1 
93719	294.299	269.954	11	5.3	7.8 	6.1 
93726	297.297	274.171	11	17.6	11.6 	7.7 
93726.2	297.297	274.171	11	15.9	10.9 	6.3 
93732	292.552	274.42	11	8.5	9.8 	8.7 
93735	288.855	271.887	11	9.2	11.4 	3.8 
93737	283.803	270.865	11	15.6	14.6 	12.4 
93737.2	283.803	270.865	11	10	9.1 	5.3 
93737.3	283.803	270.865	11	9.8	9.0 	5.3 
93737.4	283.803	270.865	11	14.1	10.3 	6.0 
93737.5	283.803	270.865	11	12.2	9.7 	5.7 
93744	284.842	277.984	11	15.3	12.8 	8.7 
93744.2	284.842	277.984	11	9.1	8.8 	5.2 
93744.3	284.842	277.984	11	13.1	10.0 	5.9 
93744.4	284.842	277.984	11	12.3	9.8 	5.7 
93744.5	284.842	277.984	11	10.1	9.1 	5.4 
93744.6	284.842	277.984	11	13.4	10.1 	5.9 
93746	292.027	275.683	11	7.2	8.6 	6.3 
93747	292.671	276.621	11	13.3	8.8 	7.1 
93747.2	292.671	276.621	11	10.8	9.3 	5.5 
93749	295.572	275.443	11	11.8	11.6 	6.5 
93752	295.156	277.528	11	9.2	10.4 	7.7 
93753	297.992	280.414	11	9.4	9.7 	7.6 
93756	289.412	279.826	11	15.1	11.7 	8.1 
93756.2	289.412	279.826	11	10.4	9.2 	5.4 
93760	283.953	280.669	11	12.5	12.4 	6.7 
93760.2	283.953	280.669	11	10.2	9.1 	5.4 
93760.3	283.953	280.669	11	7.3	8.2 	4.9 
93761	279.728	281.243	11	6.2	7.8 	6.7 
93762	261.778	261.773	11	11.6	12.6 	5.9 
93766	269.056	261.645	11	14.2	10.7 	9.8 
93767	270.985	262.581	11	11.5	10.6 	8.1 
93767.2	270.985	262.581	11	2.3	6.7 	4.0 
93770	278.508	264.916	11	14.9	11.1 	7.8 
93770.2	278.508	264.916	11	8.9	8.7 	5.2 
93770.3	278.508	264.916	11	8.3	8.6 	5.1 
93771	274.63	265.507	11	14.8	9.8 	7.5 
93771.2	274.63	265.507	11	11.6	9.6 	5.6 
93771.3	274.63	265.507	11	8.6	8.6 	5.1 
93772	273.279	263.968	11	9.2	11.0 	7.3 
93773	273.334	266.223	11	12	12.4 	8.5 
93774	268.9	265.64	11	18.8	11.4 	9.2 
93775	266.092	264.002	11	13.3	13.7 	8.5 
93775.2	266.092	264.002	11	12.7	9.9 	5.8 
93777	262.863	265.802	11	14.6	12.7 	10.3 
93777.2	262.863	265.802	11	13	10.0 	5.8 
93777.3	262.863	265.802	11	12.5	9.8 	5.8 
93777.4	262.863	265.802	11	11.5	9.5 	5.6 
93782	260.603	275.931	11	15.9	12.2 	8.9 
93782.2	260.603	275.931	11	10.2	9.1 	5.4 
93784	260.074	277.839	11	5.3	12.3 	11.4 
93791	267.743	274.139	11	13.7	12.3 	9.4 
93791.2	267.743	274.139	11	13.4	10.1 	5.9 
93795	271.301	270.761	11	9.1	11.6 	9.2 
93797	270.895	268.341	11	16.5	12.5 	8.7 
93797.2	270.895	268.341	11	14.4	10.4 	6.1 
93797.3	270.895	268.341	11	12.5	9.8 	5.8 
93811	273.738	276.168	11	15.6	12.3 	9.4 
93811.2	273.738	276.168	11	9.3	8.9 	5.2 
93811.3	273.738	276.168	11	11.8	9.6 	5.6 
93816	264.125	278.874	11	7.3	10.4 	9.3 
93818	260.364	278.867	11	10.5	12.6 	4.3 
93818.2	260.364	278.867	11	6.9	8.1 	4.8 
93823	262.719	282.132	11	5	8.3 	6.1 
93827	265.123	281.833	11	5.4	7.8 	3.2 
93829	266.844	281.25	11	7.7	12.7 	7.4 
93841	239.705	265.144	11	13.8	10.2 	8.4 
93841.2	239.705	265.144	11	11.5	9.5 	5.6 
93841.3	239.705	265.144	11	13.3	10.1 	5.9 
93842	240.94	265.851	11	14.1	9.7 	8.2 
93842.2	240.94	265.851	11	13.9	10.3 	6.0 
93842.3	240.94	265.851	11	9.3	8.9 	5.2 
93850	256.388	262.295	11	19.7	11.6 	7.7 
93850.2	256.388	262.295	11	15.3	10.7 	6.2 
93850.3	256.388	262.295	11	14.3	10.4 	6.1 
93850.4	256.388	262.295	11	14.2	10.4 	6.1 
93850.5	256.388	262.295	11	11.9	9.7 	5.7 
93851	258.21	265.058	11	11	10.6 	8.5 
93851.2	258.21	265.058	11	9.9	9.0 	5.3 
93851.3	258.21	265.058	11	9.7	9.0 	5.3 
93854	251.707	265.232	11	10.5	11.2 	9.7 
93855	252.12	266.027	11	10.9	11.4 	9.1 
93856	251.902	265.998	11	9.4	9.4 	8.7 
93857	249.214	266.13	11	19.8	9.8 	6.4 
93857.2	249.214	266.13	11	16.1	10.9 	6.4 
93857.3	249.214	266.13	11	13.7	10.2 	6.0 
93857.4	249.214	266.13	11	10.8	9.3 	5.5 
93857.5	249.214	266.13	11	9.3	8.9 	5.2 
93857.6	249.214	266.13	11	5.2	7.6 	4.5 
93858	249.159	267.157	11	8.9	10.4 	8.3 
93864	240.339	270.349	11	15.7	11.6 	5.7 
93864.2	240.339	270.349	11	14.5	10.4 	6.1 
93864.3	240.339	270.349	11	10.4	9.2 	5.4 
93866	244.335	271.016	11	12.5	9.7 	7.3 
93866.2	244.335	271.016	11	10.6	9.3 	5.4 
93867	244.259	271.104	11	13	9.4 	6.2 
93880	253.93	269.5	11	10.5	11.4 	8.1 
93884	247.765	271.849	11	15.6	12.8 	8.5 
93884.2	247.765	271.849	11	11.3	9.5 	5.6 
93884.3	247.765	271.849	11	12.6	9.9 	5.8 
93884.4	247.765	271.849	11	14	10.3 	6.0 
93884.5	247.765	271.849	11	12.8	9.9 	5.8 
93887	238.396	276.473	11	9.9	12.4 	8.6 
93887.2	238.396	276.473	11	6.4	8.0 	4.7 
93898	254.904	273.375	11	7.3	8.7 	3.8 
93901	255.524	271.183	11	12	12.8 	10.1 
93905	258.928	272.198	11	17.7	11.5 	9.7 
93906	257.11	275.645	11	10	10.2 	8.8 
93908	254.84	276.218	11	11	11.4 	8.8 
93910	254.023	274.891	11	3.8	6.6 	3.1 
93911	254.483	277.027	11	6	10.2 	5.8 
93918	240.916	279.45	11	13.6	11.1 	8.4 
93918.2	240.916	279.45	11	9.7	9.0 	5.3 
93918.3	240.916	279.45	11	8.7	8.7 	5.1 
93918.4	240.916	279.45	11	7.2	8.2 	4.9 
93923	250.593	280.503	11	9.2	11.3 	9.1 
93923.2	250.593	280.503	11	1.3	6.4 	3.9 
93923.3	250.593	280.503	11	9	8.8 	5.2 
93923.4	250.593	280.503	11	6.9	8.1 	4.8 
93923.5	250.593	280.503	11	7.2	8.2 	4.9 
93929	253.302	278.206	11	8.8	10.4 	8.1 
93935	219.497	264.842	11	13.6	9.4 	8.2 
93936	223.453	262.7	11	11	10.3 	9.3 
93937	225.382	263.072	11	11	9.6 	8.9 
93937.2	225.382	263.072	11	9.7	9.0 	5.3 
93942	222.17	264.663	11	10.5	10.6 	8.7 
93943	220.086	265.291	11	6.4	9.3 	7.5 
93945.2	219.517	266.851	11	2.9	6.9 	4.1 
93946	219.665	267.092	11	13.6	11.1 	18.8 
93946.2	219.665	267.092	11	11.4	9.5 	5.6 
93948	222.055	266.825	11	7.9	8.6 	6.7 
93949	223.67	266.204	11	13	11.1 	6.3 
93952	227.354	264.366	11	6.9	12.3 	7.7 
93956	229.01	263.594	11	7.7	11.5 	4.6 
93957	230.194	265.317	11	13.7	11.7 	6.5 
93961	232.327	265.182	11	21.5	15.4 	8.7 
93961.2	232.327	265.182	11	19.8	12.1 	7.0 
93965	230.33	267.473	11	7.6	9.7 	2.2 
93966	230.272	268.297	11	8.4	10.2 	7.4 
93967	230.001	268.467	11	6.6	10.7 	2.5 
93969	227.529	267.662	11	8.9	12.4 	7.6 
93970	227.85	268.924	11	9.5	12.3 	8.4 
93972	226.537	269.933	11	14	13.5 	8.4 
93976	221.849	269.578	11	21.1	13.2 	8.4 
93976.2	221.849	269.578	11	13.7	10.2 	6.0 
93976.3	221.849	269.578	11	8	8.5 	5.0 
93982	227.195	273.706	11	5.3	8.6 	2.2 
93984	228.386	273.514	11	7.2	8.7 	6.9 
93985	229.449	273.197	11	11.6	9.5 	8.1 
93986	229.206	271.412	11	10.5	10.2 	8.3 
93988	229.193	270.099	11	15	13.4 	8.3 
94001	360.781	240.375	11	19.8	9.7 	8.4 
94001.2	360.781	240.375	11	13.1	10.0 	5.9 
94001.3	360.781	240.375	11	17.6	11.4 	6.6 
94001.4	360.781	240.375	11	9.8	9.0 	5.3 
94001.5	360.781	240.375	11	18	11.5 	6.7 
94006	370.446	240.369	11	19.7	9.6 	7.6 
94008	370.84	243.136	11	9.5	11.4 	9.5 
94015	376.937	244.209	11	4.1	3.4 	2.3 
94024	375.581	251.197	11	36.1	11.4 	9.3 
94024.2	375.581	251.197	11	14	10.3 	6.0 
94024.3	375.581	251.197	11	30.6	15.4 	8.8 
94025	372.153	247.952	11	20.3	9.5 	8.2 
94028	365.934	245.734	11	23.9	10.3 	9.4 
94028.2	365.934	245.734	11	14.3	10.4 	6.1 
94028.3	365.934	245.734	11	9.9	9.0 	5.3 
94031	360.699	248.404	11	20.6	9.3 	8.6 
94033	364.104	250.069	11	21.4	11.8 	7.6 
94036	369.453	252.101	11	10.9	8.3 	7.4 
94036.2	369.453	252.101	11	9.2	8.8 	5.2 
94039	370.554	251.487	11	14.9	10.1 	9.4 
94040	371.188	250.84	11	13.6	11.2 	7.4 
94040.2	371.188	250.84	11	8.6	8.6 	5.1 
94040.3	371.188	250.84	11	12.3	9.8 	5.7 
94046	375.18	255.177	11	19.4	10.6 	8.5 
94058	362.396	251.599	11	24	10.4 	6.3 
94060	359.535	253.357	11	27.3	9.6 	7.1 
94060.2	359.535	253.357	11	16.4	11.0 	6.4 
94064	359.207	256.18	11	31.8	10.4 	7.2 
94065	364.097	256.395	11	12.3	9.3 	5.7 
94070	361.745	259.201	11	30	11.6 	10.2 
94070.2	361.745	259.201	11	17.1	11.2 	6.5 
94070.3	361.745	259.201	11	14.2	10.4 	6.1 
94157	380.677	260.765	11	17.4	13.6 	4.2 
94157.2	380.677	260.765	11	15.8	10.8 	6.3 
94158	382.55	260.785	11	8.8	11.5 	7.6 
94159	383.482	260.15	11	13.7	12.0 	1.0 
94159.2	383.482	260.15	11	12.6	9.9 	5.8 
94163	393.577	261.886	11	10.7	10.9 	7.0 
94163.2	393.577	261.886	11	8.6	8.6 	5.1 
94165	396.903	262.74	11	11.5	9.5 	5.6 
94165.2	396.903	262.74	11	9.5	12.0 	4.8 
94166	396.967	261.358	11	9.6	8.9 	5.3 
94166.2	396.967	261.358	11	9.5	12.4 	2.3 
94167	397.308	261.725	11	9.6	8.9 	5.3 
94168	398.652	261.956	11	13	10.5 	4.8 
94174	394.841	266.287	11	15.5	11.2 	5.4 
94174.2	394.841	266.287	11	14	10.3 	6.0 
94174.3	394.841	266.287	11	13.1	10.0 	5.9 
94174.4	394.841	266.287	11	11.5	9.5 	5.6 
94175	392.166	263.795	11	11.5	11.3 	4.0 
94177	389.539	262.887	11	14.7	13.8 	6.3 
94177.2	389.539	262.887	11	11.6	9.6 	5.6 
94178	387.927	262.752	11	13.1	9.8 	7.3 
94178.2	387.927	262.752	11	12.6	9.9 	5.8 
94178.3	387.927	262.752	11	11.9	9.7 	5.7 
94181	383	263.371	11	6.4	10.0 	6.2 
94182	382.667	264.095	11	14.8	11.2 	8.9 
94182.2	382.667	264.095	11	7.1	8.2 	4.8 
94186	380.033	265.191	11	21.6	12.4 	1.8 
94186.2	380.033	265.191	11	16.7	11.1 	6.5 
94186.3	380.033	265.191	11	16.7	11.1 	6.5 
94186.4	380.033	265.191	11	15	10.6 	6.2 
94186.5	380.033	265.191	11	11.7	9.6 	5.6 
94190	385.967	265.693	11	7.3	8.6 	7.0 
94190.2	385.967	265.693	11	5.8	7.8 	4.6 
94192	387.684	267.479	11	14.3	11.2 	9.1 
94193	392.805	267.73	11	17	13.4 	8.8 
94194	394.035	267.857	11	9.5	11.4 	1.3 
94194.2	394.035	267.857	11	7.6	8.3 	4.9 
94195	393.913	267.155	11	12.7	12.3 	6.8 
94197	395.801	268.445	11	9.8	12.0 	2.5 
94199	397.069	268.382	11	6.4	11.6 	10.0 
94200	398.156	269.428	11	22.2	13.4 	3.0 
94205	373.036	274.244	11	10.4	11.9 	6.0 
94206	372.669	274.202	11	18.9	10.4 	9.3 
94207	372.47	274.693	11	3.1	5.3 	2.0 
94207.2	372.47	274.693	11	2.3	6.7 	4.0 
94208	367.599	270.641	11	13.2	12.5 	4.0 
94208.2	367.599	270.641	11	13	10.0 	5.8 
94210	366.139	269.323	11	7.3	11.3 	3.8 
94213	363.83	269.558	11	18.5	12.6 	7.7 
94213.2	363.83	269.558	11	16.5	11.1 	6.4 
94213.3	363.83	269.558	11	16.5	11.1 	6.4 
94213.4	363.83	269.558	11	16	10.9 	6.4 
94213.5	363.83	269.558	11	15.2	10.7 	6.2 
94213.6	363.83	269.558	11	14.2	10.4 	6.1 
94215	358.957	268.897	11	16	10.2 	1.9 
94216	358.342	268.549	11	15	12.3 	5.0 
94218	358.687	272.168	11	6.2	7.8 	3.5 
94219	359.409	273.032	11	7.9	9.3 	5.4 
94224	366.797	273.481	11	35.8	14.5 	6.8 
94225	367.121	274.18	11	11.9	10.6 	8.3 
94227	366.853	275.224	11	16.8	12.8 	2.5 
94230	367.969	274.802	11	14.5	13.0 	6.1 
94232	371.58	276.549	11	12	11.6 	8.1 
94232.2	371.58	276.549	11	11.9	9.7 	5.7 
94235	367.6	279.401	11	23.5	11.6 	2.6 
94238	364.713	276.824	11	4	5.2 	2.1 
94242	360.94	277.529	11	6.5	6.8 	1.3 
94243	360.411	277.73	11	9.8	9.6 	7.2 
94245	358.933	276.474	11	4.5	6.8 	0.9 
94245.2	358.933	276.474	11	2.9	6.9 	4.1 
94246	358.13	275.806	11	7.3	11.1 	2.1 
94248	342.139	262.207	11	12.7	12.6 	1.0 
94250	345.242	263.397	11	23.7	13.0 	7.1 
94250.2	345.242	263.397	11	17.8	11.5 	6.7 
94252	349.504	262.498	11	15.6	13.6 	1.8 
94253	350.882	262.133	11	25.3	14.1 	2.0 
94253.2	350.882	262.133	11	18	11.5 	6.7 
94258	355.115	265.713	11	18.9	11.6 	6.8 
94260	351.812	265.957	11	19.2	12.4 	7.3 
94261	348.988	266.022	11	13.4	12.5 	6.7 
94261.2	348.988	266.022	11	12.1	9.7 	5.7 
94262	343.95	264.509	11	10	12.3 	7.4 
94263	343.463	266.291	11	9.2	11.6 	1.0 
94264	342.53	266.204	11	12.7	12.8 	5.7 
94264.2	342.53	266.204	11	10.5	9.2 	5.4 
94265	342.043	268.334	11	11.3	12.3 	8.4 
94266	342.283	269.177	11	14	13.0 	7.0 
94267	341.796	269.089	11	8.2	10.1 	8.9 
94269	344.679	268.869	11	9.7	11.8 	2.0 
94270	346.985	269.113	11	15.9	10.9 	6.3 
94270.2	346.985	269.113	11	15.5	10.8 	6.3 
94270.3	346.985	269.113	11	11.2	9.4 	5.5 
94272	348.891	268.464	11	6.5	11.3 	6.1 
94273	349.335	267.8	11	16.1	12.4 	6.2 
94274	351.231	269.171	11	20.5	12.2 	7.6 
94275	351.601	269.955	11	17.3	13.8 	6.3 
94276	351.958	268.503	11	15.9	11.7 	7.4 
94279	354.404	270.647	11	18.7	12.4 	10.3 
94282	357.433	273.734	11	6	8.5 	2.2 
94283	354.4	272.613	11	5.7	9.2 	4.6 
94285	351.927	273.382	11	16.2	12.8 	11.0 
94286	352.507	272.808	11	12.6	13.1 	11.7 
94287	352.488	272.262	11	16.8	12.6 	10.1 
94288	352.493	271.924	11	6.5	9.3 	4.0 
94289	351.599	272.408	11	3.6	4.4 	1.0 
94290	351.116	271.295	11	10.4	13.5 	9.0 
94291	348.774	271.059	11	18	12.1 	3.7 
94291.2	348.774	271.059	11	9.2	8.8 	5.2 
94295	343.776	270.004	11	13.4	10.6 	7.9 
94296	342.109	270.897	11	15.2	12.8 	8.9 
94297	341.643	270.959	11	8	8.7 	3.8 
94299	340.704	272.107	11	9.5	8.9 	4.4 
94301	341.122	274.869	11	11.9	11.6 	6.2 
94301.2	341.122	274.869	11	5.3	7.6 	4.5 
94302	343.767	274.988	11	15.8	12.3 	2.4 
94302.2	343.767	274.988	11	8	8.5 	5.0 
94302.3	343.767	274.988	11	8.2	8.5 	5.0 
94306	345.819	274.104	11	17	13.6 	2.1 
94306.2	345.819	274.104	11	14.5	10.4 	6.1 
94311	353.882	274.566	11	17.7	14.3 	11.7 
94312	355.581	276.578	11	16.4	10.4 	6.7 
94313	356.781	275.976	11	21.3	9.6 	4.1 
94313.2	356.781	275.976	11	16.2	11.0 	6.4 
94317	353.253	278.439	11	19.3	11.0 	3.8 
94318	344.994	277.52	11	7.8	11.9 	6.3 
94318.2	344.994	277.52	11	7.9	8.4 	5.0 
94318.3	344.994	277.52	11	16.9	11.2 	6.5 
94318.4	344.994	277.52	11	10.7	9.3 	5.5 
94318.5	344.994	277.52	11	12.2	9.7 	5.7 
94319	343.166	278.067	11	20.4	13.4 	2.9 
94322	340.552	278.496	11	19.4	12.4 	6.8 
94323	339.176	277.048	11	10.8	11.5 	10.2 
94324	319.968	263.213	11	15.8	9.7 	7.6 
94325	321.117	262.629	11	10.8	10.2 	8.1 
94325.2	321.117	262.629	11	6	7.9 	4.7 
94326	321.651	262.598	11	13.6	11.3 	8.2 
94329	334.347	261.543	11	7.9	10.6 	8.4 
94333	337.056	266.092	11	16.3	12.7 	9.3 
94334	338.536	266.699	11	15.1	12.6 	9.3 
94334.2	338.536	266.699	11	9.9	9.0 	5.3 
94335	335.97	268.993	11	10.5	8.7 	6.9 
94336	335.384	268.977	11	15.4	13.8 	10.4 
94339	327.102	264.848	11	12.5	11.6 	10.3 
94340	325.946	265.638	11	9.3	10.5 	9.1 
94345	336.103	271.237	11	20.2	11.0 	7.6 
94345.2	336.103	271.237	11	14.5	10.4 	6.1 
94345.3	336.103	271.237	11	9.4	8.9 	5.2 
94346	337.374	271.847	11	15.7	10.6 	9.4 
94346.2	337.374	271.847	11	14.5	10.4 	6.1 
94348	335.446	274.581	11	15.6	11.3 	9.7 
