treeno,species,x,y,dbh
0,1,2.541,3.043,18
1,1,3.945,4.389,16.4
2,15,3.178,4.795,11.5
3,7,2.613,8.215,13
4,7,8.46,9.62,4.5
5,15,5.458,4.452,20.2
6,1,8.404,5.65,22.5
7,7,7.688,3.716,8.5
8,7,8.893,0.032,6.5
9,14,5.928,0.932,16.1
10,14,5.387,0.759,13.5
11,2,5.163,2.228,8.4
12,11,12.996,2.961,18
13,14,13.165,8.591,14.1
14,10,16.817,5.755,17
15,10,18.109,1.33,27
16,15,18.955,1.765,17.8
17,15,18.958,1.599,7
18,11,19.462,0.79,3.2
19,10,22.239,0.663,29.5
20,15,21.404,4.281,20.5
21,15,21.621,4.366,19.4
22,10,20.967,6.073,21.6
23,10,21.772,7.199,12.8
24,6,23.234,7.685,18.8
25,15,28.541,7.404,8.5
26,8,24.751,8.14,12.5
27,10,29.897,7.053,26.1
28,7,27.111,5.127,10.5
29,7,26.838,5.488,4.5
30,7,27.142,3.502,4.6
31,15,28.41,4.293,15.9
32,15,28.298,4.141,16.5
33,1,28.76,0.575,26.1
34,7,28.308,1.265,6
35,7,27.406,1.693,5.1
36,7,25.746,2.877,9.3
37,7,25.948,2.686,4
38,14,25.805,4.644,2
39,14,25.217,5.217,2.5
40,8,25.592,4.647,21.5
41,7,24.36,4.594,7.5
42,14,32.523,9.757,11.5
43,1,38.855,6.487,28
44,1,39.435,2.851,20.1
45,9,32.6,2.915,10.5
46,14,31.95,1.816,25
47,14,30.592,0.626,21
48,7,39.987,8.535,14
49,15,34.471,5.892,14.5
50,7,30.228,1.361,6.2
51,7,40.013,8.228,20.5
52,7,40.692,8.016,8.7
53,7,40.65,8.061,5.5
54,1,48.956,6.64,21.4
55,10,47.807,4.147,22.4
56,14,47.914,3.755,10.6
57,14,47.088,0.633,6.8
58,7,43.479,0.292,7
59,7,43.31,2.139,4
60,15,40.412,0.017,11.8
61,15,43.382,3.212,9.1
62,15,53.76,9.979,25.5
63,3,55.503,8.285,11.5
64,14,56.258,7.956,11.1
65,3,56.907,8.221,24
66,10,57.368,7.42,13.2
67,14,54.739,6.207,18.3
68,7,56.095,5.455,7
69,15,57.836,6.692,23.3
70,10,57.211,7.259,11.9
71,15,59.748,7.449,12.9
72,10,57.802,1.551,23.3
73,11,55.711,1.133,18.5
