Number	x	y	species	dbh	height
1899	65.232	43.272	47	6.2	0
1902	71.507	42.807	47	6.2	0
1913	43.211	34.13	47	6.2	0
1951	2.413	11.91	47	6.2	0
2823	68.647	72.797	28	6.2	0
2843	39.12	62.192	28	6.2	0
2850	38.915	59.915	28	6.2	0
2879	89.639	45.726	28	6.2	0
2881	49.687	44.966	28	6.2	0
2941	51.377	23.006	28	6.2	0
3031	33.592	57.506	73	6.2	0
1674	94.993	49.761	5	6.3	0
1710	15.148	31.381	20	6.3	0
1793	88.206	50.15	34	6.3	0
1857	50.003	73.483	47	6.3	0
1859	57.725	73.105	47	6.3	0
1925	69.224	28.157	47	6.3	0
1957	54.614	9.126	47	6.3	0
2018	67.788	25.149	56	6.3	0
2020	74.717	23.84	56	6.3	0
2024	37.693	20.577	56	6.3	0
2047	99.724	2.5	56	6.3	0
2744	1.955	49.81	61	6.3	0
3047	56.665	20.258	75	6.3	0
1680	71.155	78.726	8	6.4	0
1716	19.947	10.611	20	6.4	0
1756	22.753	68.083	32	6.4	0
1908	77.831	37.484	47	6.4	0
2296	46.438	54.614	60	6.4	0
2926	79.519	27.204	28	6.4	0
2947	38.695	21.863	28	6.4	0
2982	63.703	11.292	28	6.4	0
3017	42.991	54.491	70	6.4	0
1678	86.207	29.973	7	6.5	0
1749	97.81	72.503	30	6.5	0
1773	89.626	63.132	33	6.5	0
1956	92.469	9.697	47	6.5	0
2008	90.566	33.852	56	6.5	0
2050	66.313	1.329	56	6.5	0
2516	90.056	27.66	60	6.5	0
2859	42.797	56.732	28	6.5	0
2912	42.834	29.553	28	6.5	0
2990	9.917	8.668	28	6.5	0
3048	52.732	18.128	75	6.5	0
1721	71.762	2.04	20	6.6	0
1993	68.984	40.318	56	6.6	0
2000	28.065	38.115	56	6.6	0
2812	4.486	3.793	61	6.6	0
2838	42.912	63.751	28	6.6	0
2878	89.524	45.768	28	6.6	0
2898	57.848	32.479	28	6.6	0
2913	56.516	29.161	28	6.6	0
2925	78.99	27.444	28	6.6	0
2997	33.052	3.805	28	6.6	0
3067	75.794	59.183	80	6.6	0
1719	63.247	3.781	20	6.7	0
1736	69.378	46.416	29	6.7	0
2053	85.733	0.28	56	6.7	0
2637	49.685	9.356	60	6.7	0
2804	60.441	6.915	61	6.7	0
2867	44.531	53.185	28	6.7	0
2906	8.437	30.722	28	6.7	0
2910	73.124	29.634	28	6.7	0
2981	42.968	11.3	28	6.7	0
3068	26.043	58.016	80	6.7	0
1711	1.758	28.293	20	6.8	0
1731	30.115	71.182	26	6.8	0
1846	10.58	20.228	44	6.8	0
1865	9.209	70.21	47	6.8	0
1991	63.255	40.962	56	6.8	0
2059	18.825	79.969	60	6.8	0
2671	41.684	4.758	60	6.8	0
2684	36.969	3.121	60	6.8	0
2731	4.761	67.008	61	6.8	0
2876	83.373	48.294	28	6.8	0
2885	80.632	42.466	28	6.8	0
3057	41.872	25.641	79	6.8	0
3063	53.1	73.412	80	6.8	0
1790	84.067	7.137	33	6.9	0
1817	84.388	10.086	38	6.9	0
1897	59.922	44.476	47	6.9	0
2052	85.828	0.395	56	6.9	0
2753	9.585	37.836	61	6.9	0
2767	39.139	22.894	61	6.9	0
2777	38.766	18.836	61	6.9	0
2863	47.544	54.838	28	6.9	0
2864	46.958	53.994	28	6.9	0
2964	53.099	16.312	28	6.9	0
3071	78.585	44.559	80	6.9	0
1673	19.995	1.658	3	7	0
