treeno,species,x,y,dbh
1,14,2.154,2.676,26
2,11,8.506,1.996,19.7
3,14,8.505,1.986,12
4,15,6.473,3.319,12
5,14,8.527,6.907,22.2
6,14,6.807,9.883,28.8
7,14,1.351,9.118,16.5
8,14,11.538,7.969,23.9
9,14,10.259,4.639,24.7
10,15,10.86,3.113,12.5
11,15,10.445,1.02,9.9
12,11,10.464,2.543,15.6
13,15,11.324,6.811,17.7
14,3,13.755,7.844,31.7
15,1,14.894,7.224,12.8
16,1,24.965,9.882,21
17,9,25.787,7.211,8.9
18,9,26.362,7.086,9
19,9,27.054,5.617,8.3
20,9,26.792,5.596,8.7
21,7,19.998,0.73,16.1
22,1,21.79,1.007,19.9
23,3,23.753,1.501,8.4
24,3,24.037,2.011,3
25,14,26.162,1.087,53
26,15,20.412,2.275,35.8
27,7,32.074,3.663,3.7
28,7,32.977,3.302,7.4
29,7,32.442,3.054,27.5
30,14,31.411,0.983,1.1
31,9,31.05,8.227,10.2
32,14,33.159,6.236,34.4
33,10,34.896,7.19,37.3
34,14,32.97,5.855,25
35,14,38.824,6.479,5.8
36,7,39.226,4.872,5.4
37,1,38.23,1.585,26.8
38,1,40.797,1.202,18.7
39,3,44.498,2.543,17.5
40,7,45.071,0.35,7.5
41,1,45.593,1.115,24.8
42,15,49.01,0.241,30
43,7,49.215,1.831,7.1
44,6,42.572,9.295,27.6
45,1,49.956,9.503,33
46,1,50.39,2.46,16
47,1,50.643,4.168,18
48,2,53.648,5.886,18.2
49,1,57.209,6.401,22.8
50,14,57.689,7.396,10.3
51,14,58.56,9.324,9.2
52,9,60.93,8.1,9.7
53,14,61.87,8.66,10.5
54,9,61.98,7.575,5.6
55,7,63.296,9.272,10.1
56,14,63.541,7.077,8
57,14,66.14,8.12,2.4
58,14,67.799,9.253,6.3
59,14,61.308,5.581,18.5
60,14,66.839,4.907,14.4
61,14,64.418,5.737,3.4
62,15,62.448,6.32,19.7
63,15,64.116,4.457,29.8
64,14,66.012,4.019,12.2
65,14,65.19,3.421,18
66,15,63.409,3.208,30.2
67,14,66.071,3.171,9
68,14,64.831,2.007,26.4
69,14,61.98,4.062,4.3
70,14,60.256,3.66,14.8
71,10,61.2,1.284,6.2
72,14,69.471,2.72,10.1
73,14,69.47,2.729,17.3
74,14,71.124,7.427,14.3
75,14,72.508,8.866,20.8
76,14,73.771,7.28,13.4
77,7,72.837,9.868,15.2
78,7,72.21,9.858,24.7
79,7,71.46,9.878,13
80,7,74.073,0.613,6
81,15,75.037,2.0662,22.5
82,14,76.034,1.564,14.3
83,14,74.156,2.796,14.2
84,10,73.01,3.223,14.1
85,15,72.447,2.932,17.1
86,1,80.35,2.663,16.6
87,3,81.838,3.62,3.5
88,7,82.389,1.587,6.8
89,15,83.842,3.633,22.5
90,6,85.991,3.706,25.5
91,6,86.139,6.12,10.6
92,6,86.039,6.129,31.8
93,6,86.029,6.119,17.3
94,6,86.138,6.118,23.2
95,3,87.035,7.521,7
96,3,83,4.665,9.2
97,1,81.443,7.118,22.6
98,3,87.704,7.96,3.2
99,7,88.341,2.698,5.8
100,3,89.5,8.049,4.5
101,8,80.554,6.798,34
102,3,92.755,8.841,3.8
103,3,92.884,8.547,4.3
104,3,92.661,8.546,3.1
105,14,95.656,9.429,5.3
106,1,95.453,5.733,20.7
107,1,95.433,4.786,12.2
