treeno,species,x,y,dbh,ht,cw
1,1,1.335,0.342,22.2,15.5,9.8
2,10,7.294,0.794,2.6,3.3,3.5
3,4,6.72,1.653,5.5,7.3,5.3
4,1,4.849,7.906,20.4,14.7,12
5,6,5.147,8.917,20.6,16.5,12.8
6,6,10.367,7.152,3.5,5,6.5
7,6,17.93,7.338,40.2,21.1,21.6
8,1,18.282,8.147,17.9,13.5,14.4
9,1,16.312,5.224,16.8,12.9,12.8
10,10,14.434,5.616,2.1,2.9,6.3
11,1,14.456,3.905,21.5,15.2,13.8
12,1,15.174,1.438,17,13,11.7
13,10,11.427,0.753,2.5,3.2,4.5
14,10,13.466,0.713,2.4,3.1,4.9
15,10,14.667,0.651,3,3.6,5.5
16,9,21.594,3.366,10.3,9.7,11.2
17,1,22.693,4.135,14.9,11.9,13.4
18,6,24.016,2.394,35.5,20.3,20.5
19,1,23.611,0.622,20.4,14.7,14.8
20,13,25.182,4.991,16.9,15.1,15.5
21,12,27.919,4.691,16.1,12.1,15.2
22,9,29.352,3.558,3.2,4.2,10.1
23,13,27.553,1.211,12.6,12.9,13.6
24,9,24.302,5.729,3.8,4.8,9.7
25,12,22.721,5.799,10,9.3,12
26,6,21.39,9.525,23.9,17.6,18.1
27,1,24.336,9.217,6.1,6.1,11.4
28,6,25.242,9.634,20.4,16.5,17.9
29,12,27.423,9.746,10.7,9.7,14.4
30,6,29.001,8.149,17.6,15.4,17.5
31,12,29.152,7.308,13.7,11.1,15.3
32,12,30.359,8.727,12.6,10.6,15.6
33,13,30.795,6.443,21.7,16.9,19
34,6,32.881,6.586,21.8,16.9,19.6
35,13,34.604,7.069,14.7,14,17.6
36,1,34.086,10,13.4,11,17.1
37,4,37.953,7.72,3.4,4.9,13.5
38,9,38.143,6.47,13.3,11.2,17.3
39,9,38.345,6.355,7.8,8.1,15.2
40,1,37.586,2.465,14.8,11.8,16.7
41,12,39.522,1.774,17.9,12.7,18
42,1,37.692,1.192,13.1,10.8,15.7
43,6,40,0.359,26,18.2,21.1
44,6,42.271,7.207,7,8.8,16.3
45,10,45.23,6.487,3,3.6,14.6
46,10,45.678,6.695,1.8,2.6,14.2
47,6,45.687,6.681,1.9,2.8,14.3
48,6,45.589,5.353,1.5,2.2,13.7
49,1,47.923,3.289,27,17.5,23.9
50,10,47.536,1.38,3,3.6,13.9
51,1,51.427,1.895,14.7,11.8,19.9
52,1,51.834,2.003,10.9,9.5,18.6
53,1,52.471,6.681,43.9,22.9,31.5
54,9,56.107,2.919,4.4,5.4,17.2
55,1,70,4.062,18.5,13.8,26.6
56,6,69.218,5.501,23.4,17.4,28.9
57,2,67.394,8.131,3.3,3.9,20.7
58,6,67.507,8.711,23.9,17.6,29.4
59,1,66.59,9.198,13.4,11,25
60,6,63.039,3.145,1.5,2.2,17.5
61,4,61.32,9.732,3.9,5.5,20.1
62,2,70.835,7.085,2.3,3,20.8
63,1,71.12,0.551,18.7,13.9,26.1
64,6,75.724,5.001,18.6,15.8,28.8
65,6,85.979,5.824,24.3,17.7,33.5
66,1,89.419,9.584,8.8,8.1,29
67,1,89.981,6.665,11.2,9.7,29.4
