Number	x	y	dbh	species	height
143	87.3537	98.0538	9.5	4	0
144	91.0567	99.723	32	4	0
145	97.6108	95.8343	31.4	4	0
146	99.3107	68.9221	27	4	0
147	85.2706	53.0874	9.1	4	0
148	84.8267	35.3409	25.6	4	0
149	97.2692	33.0853	17.8	4	0
150	90.1891	12.3029	10.4	4	0
151	91.9248	6.3579	15.5	4	0
152	96.238	8.7281	14.5	4	0
153	96.891	7.8179	11.9	4	0
154	1.5979	11.2295	46	4	0
155	3.5191	29.5977	14.3	5	0
156	15.6905	59.0126	28.2	5	0
157	16.2867	96.2024	9.7	5	0
158	10.7595	94.479	19.3	5	0
159	8.3001	17.5999	10	5	0
160	24.6331	59.7407	14.5	5	0
161	24.7649	95.0224	32	5	0
162	67.1905	6.6766	20.7	5	0
163	64.8269	12.1749	30	5	0
164	63.5459	23.17	28.7	5	0
165	62.304	20.9975	29	5	0
166	70.0157	52.4494	43	5	0
167	63.5122	53.781	29	5	0
168	71.387	63.9117	24.1	5	0
169	77.1231	70.0357	18.1	5	0
170	76.3228	78.3401	26	5	0
171	71.5003	76.826	16	5	0
172	67.4744	79.0662	22.5	5	0
173	74.7414	3.1976	23	5	0
174	72.2255	2.8417	28.5	5	0
175	73.5029	15.8391	8	5	0
176	70.924	23.5638	24.9	5	0
177	79.7009	58.324	10.4	5	0
178	82.5793	53.3696	8	5	0
179	82.5666	93.8788	29	5	0
180	93.1766	92.9468	14.5	5	0
181	97.7717	84.4486	37.4	5	0
182	98.6119	80.6154	7.3	5	0
183	90.2764	59.0006	12.9	5	0
184	92.4495	61.1707	23.3	5	0
185	78.6666	40.5978	13.6	5	0
186	87.4898	7.771	21.1	5	0
187	88.1407	18.4724	22.6	5	0
188	94.0099	19.2403	33.9	5	0
189	90.6435	5.8573	25.5	5	0
190	0.9091	35.2728	24.7	6	0
191	2.8558	50.251	25.2	6	0
192	7.1245	78.5411	30.8	6	0
193	6.5762	99.3448	35.4	6	0
194	13.0648	0.6537	39	6	0
195	32.4445	12.0047	7.9	6	0
196	31.6743	73.7426	25.4	6	0
197	56.5246	76.5668	12.7	6	0
198	63.6481	35.5437	17.8	6	0
199	66.0394	57.6554	20.8	6	0
200	72.0024	65.031	25.8	6	0
201	59.8289	79.318	15	6	0
202	67.3523	91.5503	18	6	0
203	80.5213	46.6937	22.4	6	0
204	80.4507	57.6285	16.5	6	0
205	82.5558	19.4467	15.3	6	0
206	95.0012	36.9949	27.2	6	0
207	53.4829	4.284	5.4	7	0
208	7.5557	20.6742	26.9	8	0
209	12.4212	63.041	5.4	8	0
210	11.0725	62.1678	5.9	8	0
211	4.4159	72.057	5.7	8	0
212	24.88	10.8184	6.7	8	0
213	27.602	57.8119	28.7	8	0
214	28.7085	60.0141	23.6	8	0
215	34.5516	87.908	37.7	8	0
216	35.2558	90.3014	24.6	8	0
217	33.6656	94.1305	55.6	8	0
218	43.6323	78.0718	53.4	8	0
219	34.7089	69.9922	47.7	8	0
220	37.3278	68.808	40.6	8	0
221	48.1207	65.3584	23.5	8	0
222	48.4353	64.1562	7.4	8	0
223	48.7212	52.5026	13.5	8	0
224	44.3659	56.487	32.9	8	0
225	39.8771	56.4122	16.3	8	0
226	39.2883	55.9474	36.5	8	0
227	36.2847	54.4258	27	8	0
228	45.1394	42.6879	20.5	8	0
229	44.1138	41.4917	37.6	8	0
230	47.834	43.6118	34.8	8	0
231	48.3228	39.933	27.7	8	0
232	51.2092	33.6483	55.2	8	0
233	48.0173	30.697	44.5	8	0
234	39.7956	20.0237	22.7	8	0
235	46.0697	13.6961	7.7	8	0
236	41.0759	2.6782	9.7	8	0
237	33.6002	5.191	5.8	8	0
238	51.0886	15.2689	8.7	8	0
239	51.2806	19.2481	6	8	0
240	55.3599	51.2453	8.8	8	0
241	55.0981	46.706	43.5	8	0
242	58.1672	46.2855	11.3	8	0
243	69.3119	5.9016	6.3	8	0
244	68.6844	6.6905	9.6	8	0
245	62.7456	9.3071	7.7	8	0
246	66.5802	20.9404	7.4	8	0
247	67.3894	20.7612	9.4	8	0
248	64.7387	23.7778	15.7	8	0
249	57.5495	54.7466	19.6	8	0
250	69.5752	7.7349	14.6	8	0
251	75.9698	13.8915	18.2	8	0
252	79.4124	14.4485	5.2	8	0
253	80.6959	16.2298	8.4	8	0
254	79.2901	17.3155	9.5	8	0
255	76.4371	16.9671	5.5	8	0
256	71.3281	12.8759	19.8	8	0
257	74.7222	19.3162	12	8	0
258	78.542	22.5702	6.1	8	0
259	76.7759	0.2355	10.4	8	0
260	83.7579	2.4256	7.1	8	0
261	86.8011	5.6698	5.6	8	0
262	87.4283	6.3672	6.7	8	0
263	93.3531	49.1268	5.6	8	0
264	95.599	45.2642	5.2	8	0
265	94.4649	1.1522	7.4	8	0
266	9.1337	46.2435	30.6	9	0
267	12.4774	56.0291	25.5	9	0
268	6.6099	81.2348	20.2	9	0
269	12.4741	81.432	17.8	9	0
270	14.7634	80.6195	14.8	9	0
271	3.2473	88.0835	8.4	9	0
272	15.4484	69.0424	42.4	9	0
273	13.8806	19.0349	18.7	9	0
274	11.613	21.901	10.9	9	0
275	11.2604	24.2823	18.3	9	0
276	14.1387	22.4015	19.9	9	0
277	19.1771	23.0561	27.3	9	0
278	15.1795	30.8253	26.4	9	0
279	23.9347	27.2746	20.5	9	0
280	29.447	21.3306	19.2	9	0
281	26.2764	10.7	20.4	9	0
282	26.6866	5.6522	17.7	9	0
283	29.7371	14.3749	21.9	9	0
284	34.395	15.1827	21.6	9	0
285	22.9696	45.9682	24.6	9	0
286	19.0461	45.4586	30.3	9	0
287	26.3379	86.539	19.8	9	0
288	30.4895	91.0899	22.2	9	0
289	43.6507	84.1133	39.8	9	0
290	46.2385	82.6827	26.3	9	0
291	40.3111	75.5456	25.4	9	0
292	36.787	78.3583	24.7	9	0
293	45.097	70.18	32.1	9	0
294	37.6785	54.8472	34.5	9	0
295	38.761	10.8802	28.8	9	0
296	40.5674	2.1306	15.2	9	0
297	39.0748	4.1213	14.4	9	0
298	34.6698	4.1799	21.2	9	0
299	64.3869	35.7556	41.3	9	0
300	56.4943	55.9132	19.5	9	0
301	57.6226	59.2433	31.2	9	0
302	58.4843	71.475	23.1	9	0
303	85.0988	99.3647	26.7	9	0
304	88.863	50.1137	20.7	9	0
305	87.1511	39.7221	29.6	9	0
306	8.1864	17.4755	6.6	10	0
307	9.9161	2.8217	15	11	0
308	30.2092	1.1413	21.4	11	0
309	3.6201	81.0801	14.2	12	0
310	3.9356	89.8431	19.3	12	0
311	13.6937	70.1847	16.6	12	0
312	18.271	52.3771	15.3	12	0
313	27.9166	18.0272	14.4	12	0
314	48.3526	28.5336	7.6	12	0
315	49.781	7.1547	18	12	0
316	52.1172	9.3225	10.3	12	0
317	52.7889	18.1407	7.8	12	0
318	65.327	44.5266	41.8	12	0
319	65.876	57.2051	9.5	12	0
320	61.8601	60.3138	14.2	12	0
321	73.9887	58.7832	19	12	0
322	72.4891	55.1889	17.6	12	0
323	76.794	30.7472	45.5	12	0
324	71.3291	43.3984	39.2	12	0
325	78.3405	45.1022	21.2	12	0
326	85.394	87.1353	17.8	12	0
327	99.3526	88.9716	35.9	12	0
328	98.7708	68.0461	14.4	12	0
329	91.0877	69.9638	20.7	12	0
330	97.3895	59.5986	46.9	12	0
331	86.8006	48.8755	38.5	12	0
332	80.6097	9.9443	18.6	12	0
333	87.6654	2.8306	10.5	12	0
334	86.0109	13.8821	22	12	0
335	93.351	47.2388	28.8	12	0
336	97.2798	46.9467	37	12	0
337	95.3021	23.2487	8.4	12	0
338	97.9733	5.2658	13.7	12	0
339	91.65684801	60.26975448	38.5	12	0
340	1.4403	52.6131	31.3	13	0
341	28.212	98.6107	16.6	13	0
342	27.6805	97.5744	28.2	13	0
343	38.6007	88.263	22	13	0
344	35.2582	30.5136	35.6	13	0
345	38.1696	22.4309	7	13	0
346	73.0246	94.3273	11	13	0
347	79.1565	38.1644	15.9	13	0
348	78.9742	38.2618	10.6	13	0
349	79.0518	23.3432	8.2	13	0
350	94.4677	49.3263	6.3	13	0
351	99.6913	37.8175	13.7	13	0
352	92.611	9.8648	19.5	13	0
353	0.9787	11.2702	7.2	14	0
354	10.1376	37.8377	8.5	14	0
355	1.4164	41.816	5.3	14	0
356	3.2547	42.5174	5.3	14	0
357	6.7379	44.7308	12.4	14	0
358	12.3473	51.0989	8.9	14	0
359	11.4053	50.6721	10.5	14	0
360	3.2595	54.8979	7.3	14	0
361	11.0954	55.6669	11.4	14	0
362	11.7273	57.088	6.4	14	0
363	12.8217	57.1085	12	14	0
364	13.5688	55.2812	14	14	0
365	14.8843	63.408	21.5	14	0
366	1.9184	61.5876	8.7	14	0
367	2.8985	61.1337	10.4	14	0
368	4.2093	68.8352	14.3	14	0
369	3.9914	68.8324	13.9	14	0
370	4.1029	68.9319	10	14	0
371	2.5005	74.1114	8.6	14	0
372	0.583	71.6432	5.6	14	0
373	15.541	87.7983	5.2	14	0
374	15.7779	88.1334	5.6	14	0
375	17.5939	92.8283	5.2	14	0
376	11.1339	95.2646	19.4	14	0
377	6.4873	94.6024	5.8	14	0
378	2.1548	88.2862	6.3	14	0
379	3.4037	89.7947	7	14	0
380	21.9814	93.8236	12.5	14	0
381	22.1192	92.8362	15.4	14	0
382	22.3196	90.3236	21.6	14	0
383	13.6114	70.0374	14.7	14	0
384	19.0654	63.0183	7.9	14	0
385	17.5807	55.2264	6.1	14	0
386	16.3747	52.5688	6.4	14	0
387	12.6556	43.5689	11.7	14	0
388	10.0831	22.2614	5.3	14	0
389	15.7988	19.5327	5.9	14	0
390	20.2329	28.2353	9.7	14	0
391	17.7282	30.7588	5.4	14	0
392	18.3297	33.909	7.9	14	0
393	24.4626	31.0574	10.2	14	0
394	26.4566	22.7437	18.8	14	0
395	27.8419	2.8183	6	14	0
396	29.5471	2.8168	7.2	14	0
397	29.2723	6.0937	6.4	14	0
398	29.2055	10.3629	18.4	14	0
399	29.3208	10.4747	17.5	14	0
400	35.7888	18.3218	7.2	14	0
401	28.5915	24.7863	5.3	14	0
402	30.5967	31.9868	10.4	14	0
403	34.5611	41.5549	6.6	14	0
404	32.5384	46.358	12.4	14	0
405	34.0017	47.5176	6.2	14	0
406	34.0642	51.7445	15.2	14	0
407	31.8715	52.9792	17.5	14	0
408	24.6793	43.2658	9.3	14	0
409	21.7541	40.0838	8	14	0
410	20.6028	39.3804	11.3	14	0
411	19.4465	37.7434	11.7	14	0
412	20.766	36.5599	5.9	14	0
413	16.3652	40.4777	8.2	14	0
414	16.0628	42.3134	7.7	14	0
415	20.704	43.0863	5.9	14	0
416	19.4318	45.9217	11.1	14	0
417	17.4455	45.6279	10.3	14	0
418	16.3314	50.2704	5.8	14	0
419	26.9822	53.8501	8.5	14	0
420	30.8992	68.1211	6.9	14	0
421	22.0365	68.8799	17.9	14	0
422	19.3501	72.1324	10.1	14	0
423	20.44	74.4642	8	14	0
424	24.0139	75.2263	10.8	14	0
425	26.9272	77.8817	17.6	14	0
426	30.8746	77.788	13.3	14	0
427	35.1498	96.5761	14.2	14	0
428	28.5138	96.8369	7.3	14	0
429	29.3095	96.4395	10.7	14	0
430	39.1395	87.9769	16.6	14	0
431	33.8601	70.3051	6.4	14	0
432	41.0489	67.6425	10.4	14	0
433	47.1012	70.5335	19.1	14	0
434	48.9643	57.7947	16.5	14	0
435	41.4215	56.9691	7.5	14	0
436	33.364	53.7139	5.4	14	0
437	38.1333	46.3449	6.2	14	0
438	41.7985	44.681	9.6	14	0
439	41.2818	42.0073	5.6	14	0
440	42.413	36.9038	5.9	14	0
441	42.6595	37.6446	20	14	0
442	43.4825	43.2191	5.6	14	0
443	43.3437	45.1464	5.1	14	0
444	45.7836	45.6622	5.2	14	0
445	46.9132	43.8924	5.6	14	0
446	50.5364	39.7983	7	14	0
447	50.3744	36.8944	8.5	14	0
448	49.1753	31.7041	10.7	14	0
449	46.8864	31.0523	14.1	14	0
450	45.6915	28.2028	7	14	0
451	35.5148	29.9198	19.5	14	0
452	40.4597	11.3981	6	14	0
453	38.562	11.4627	7.5	14	0
454	38.4817	10.8354	11.8	14	0
455	37.1914	13.243	6.3	14	0
456	40.6723	6.3981	7.7	14	0
457	42.7466	6.3644	11.8	14	0
458	44.6074	4.3852	5	14	0
459	46.365	5.4656	5	14	0
460	46.1738	6.7248	7.3	14	0
461	48.8548	9.2889	7.5	14	0
462	53.9922	8.0372	6.9	14	0
463	51.3774	6.1488	9.9	14	0
464	50.6861	10.433	5.9	14	0
465	50.817	10.2826	9.2	14	0
466	54.2698	11.0945	6	14	0
467	54.315	17.9263	7.5	14	0
468	50.9533	18.6183	6.4	14	0
469	50.2565	17.1874	5	14	0
470	53.5601	97.9773	7.5	14	0
471	55.5711	94.3846	5	14	0
472	56.2551	88.136	11.3	14	0
473	56.4241	84.2299	6.1	14	0
474	56.3513	84.1212	13.8	14	0
475	53.8989	87.1046	5	14	0
476	52.5513	57.0388	7.5	14	0
477	54.545	35.2668	9.6	14	0
478	54.9928	34.9658	15.7	14	0
479	59.0587	35.7601	10.5	14	0
480	51.9245	22.3305	5	14	0
481	53.5688	20.6257	12.7	14	0
482	56.7785	11.6171	8.3	14	0
483	57.4324	7.7205	27	14	0
484	58.2158	4.755	5.3	14	0
485	58.0423	1.6037	13	14	0
486	62.1417	4.2226	11	14	0
487	66.4405	0.2859	6.6	14	0
488	68.8635	5.193	8.4	14	0
489	60.3875	7.8016	7.1	14	0
490	59.8196	10.0233	8.7	14	0
491	62.4439	10.2652	10.4	14	0
492	62.8818	10.4907	9.7	14	0
493	69.0054	15.0009	5.9	14	0
494	69.2258	10.3186	6.1	14	0
495	68.1036	12.0872	6.5	14	0
496	64.8319	17.9254	7.4	14	0
497	68.208	30.3537	10.5	14	0
498	67.6232	30.2377	15	14	0
499	68.4334	36.0624	15	14	0
500	70.9675	36.3247	11.3	14	0
501	62.8196	42.8603	6.7	14	0
502	69.7699	53.2899	15.8	14	0
503	60.8837	54.8625	9	14	0
504	63.1394	52.8153	5	14	0
505	64.6312	54.3312	5.3	14	0
506	64.3733	51.7133	5	14	0
507	65.4005	51.5152	7.2	14	0
508	66.0699	54.7689	7	14	0
509	66.0304	54.9042	8	14	0
510	65.24453283	55.52259533	7.5	14	0
511	67.2716	56.26	7.1	14	0
512	67.4399	57.0955	5.7	14	0
513	59.6227	57.7907	6.7	14	0
514	59.6502	59.9034	5.5	14	0
515	65.0091	59.5849	16	14	0
516	76.0955	59.5129	7.1	14	0
517	72.1131	65.7077	10.4	14	0
518	69.0322	64.4672	8.5	14	0
519	64.3011	62.4608	10.2	14	0
520	61.5662	62.7947	5.5	14	0
521	62.334	70.1859	8.5	14	0
522	62.4454	74.0544	6.4	14	0
523	62.5474	73.156	10.7	14	0
524	64.3543	73.9264	5.8	14	0
525	65.5868	73.6151	8.4	14	0
526	67.7292	73.9563	8.6	14	0
527	66.7922	71.0041	5.7	14	0
528	78.9358	66.2437	5.6	14	0
529	79.683	68.4386	5	14	0
530	77.6915	77.0878	9.8	14	0
531	67.9732	76.8	8.1	14	0
532	64.3408	75.9221	9	14	0
533	63.4521	80.1256	11	14	0
534	62.6349	85.2544	8.4	14	0
535	73.048	85.7046	14.7	14	0
536	71.2466	87.9066	14.4	14	0
537	72.593	90.2618	11.9	14	0
538	69.8936	96.0133	9.2	14	0
539	60.5184	98.5473	7.2	14	0
540	59.1875	99.2091	6.3	14	0
541	65.303	98.2605	6.9	14	0
542	59.1956	95.4047	5.4	14	0
543	74.9703	4.488	7	14	0
544	72.2212	9.929	7.9	14	0
545	72.3485	15.9595	7.8	14	0
546	74.21	18.7691	6	14	0
547	71.2037	24.996	6	14	0
548	75.8268	24.3391	10	14	0
549	77.5823	28.168	9.8	14	0
550	75.5704	41.7204	10.7	14	0
551	81.4985	45.0837	10.8	14	0
552	78.8495	47.3587	12.7	14	0
553	83.0953	54.1748	5.3	14	0
554	82.0552	68.1458	15.9	14	0
555	86.2578	68.6902	15	14	0
556	86.7836	67.3392	5.2	14	0
557	85.8727	77.0995	5.1	14	0
558	84.0037	75.9233	16.2	14	0
559	75.1766	82.3522	12.1	14	0
560	78.0112	84.3959	17.7	14	0
561	79.81248569	84.53796954	5.6	14	0
562	80.9517	84.7758	5	14	0
563	79.6113	86.3291	7.7	14	0
564	78.8454	90.0225	8.6	14	0
565	77.7942	91.3731	6.5	14	0
566	78.3663	92.225	5	14	0
567	76.1791	92.0564	6	14	0
568	74.5823	90.2188	8.9	14	0
569	79.612	99.0102	13	14	0
570	86.6094	95.7844	7.9	14	0
571	83.8546	96.8097	10.8	14	0
572	85.1537	93.5553	9.3	14	0
573	83.482	90.3073	6.8	14	0
574	85.4893	87.466	10.7	14	0
575	86.1904	85.4013	6.4	14	0
576	87.2186	84.753	10.4	14	0
577	86.1298	84.3408	13.1	14	0
578	82.6794	84.0933	6.8	14	0
579	82.8112	83.9304	12.3	14	0
580	84.5336	82.3755	5.2	14	0
581	90.644	78.5966	11.3	14	0
582	91.8291	77.3937	13.2	14	0
583	93.0651	82.5789	12	14	0
584	93.7462	83.9513	5.6	14	0
585	89.8281	84.1008	8.5	14	0
586	89.2738	85.1537	8.4	14	0
587	86.9414	88.1056	8	14	0
588	92.8525	94.7975	10	14	0
589	92.2504	98.7219	9.8	14	0
590	90.6316	99.0527	6.9	14	0
591	99.5274	99.8403	8.4	14	0
592	97.3356	95.0797	7.2	14	0
593	96.5501	86.4999	7.2	14	0
594	96.9398	84.9048	5.5	14	0
595	96.7166	85.2619	5.2	14	0
596	95.35	84.0018	9	14	0
597	97.2266	83.0751	9	14	0
598	98.3078	79.2536	7.4	14	0
599	95.7948	80.1308	16.5	14	0
600	98.7676	73.9823	6.7	14	0
601	98.1274	72.9919	17.3	14	0
602	94.1549	68.207	6.1	14	0
603	92.8336	72.6424	7.5	14	0
604	91.3773	71.0719	5	14	0
605	89.9322	64.842	5.8	14	0
606	91.7397	61.3109	9.9	14	0
607	91.2209	60.5146	6.3	14	0
608	92.4121	59.5854	10.3	14	0
609	96.1086	60.2957	13.3	14	0
610	88.3737	56.4805	10.9	14	0
611	87.6647	52.8931	5	14	0
612	88.5177	50.2828	13.7	14	0
613	87.5579	44.313	13.3	14	0
614	88.4021	43.9061	16.1	14	0
615	87.3086	43.2009	6.4	14	0
616	84.4643	34.291	10.5	14	0
617	86.9295	34.3989	5	14	0
618	85.8487	27.9169	10.2	14	0
619	82.5447	22.1325	9.1	14	0
620	80.8838	24.626	5.5	14	0
621	82.1695	26.6368	7.1	14	0
622	79.3792	25.004	7.3	14	0
623	81.4624	19.3019	8.2	14	0
624	83.9168	18.1465	8.1	14	0
625	78.5644	3.3069	7.1	14	0
626	77.699	2.4914	8.3	14	0
627	78.2854	5.43	8.8	14	0
628	76.5096	5.1405	9.3	14	0
629	83.5105	6.4011	8.9	14	0
630	90.2329	24.0435	5.1	14	0
631	87.2505	21.8252	6.9	14	0
632	90.2936	37.5752	16.3	14	0
633	89.6446	37.5949	10.9	14	0
634	95.2249	44.514	12.6	14	0
635	99.6543	38.3253	12.4	14	0
