treeno,species,x,y,dbh
1,1,0.649,3.728,12.8
2,1,0.908,8.226,16.5
3,14,4.055,7.773,2.5
4,1,6.151,9.497,24.6
5,3,9.928,4.533,3.5
6,3,9.93,4.53,2.7
7,3,9.908,4.529,3
8,3,9.902,4.519,3.2
9,3,9.918,4.522,2.8
10,3,9.908,4.502,2.9
11,9,8.53,1.266,10
12,6,10.197,5.295,11.5
13,6,10.809,5.791,17
14,6,10.812,5.809,5.6
15,6,10.823,5.829,7.5
16,6,10.833,5.821,17
17,6,10.813,5.729,17.8
18,6,12.777,5.44,10.5
19,6,13.288,5.665,16.4
20,1,13.486,6.394,8
21,6,14.948,8.511,18
22,6,14.983,8.256,16.7
23,6,21.632,4.562,10.6
24,6,22.892,5.633,22.3
25,6,22.882,5.623,19.7
26,6,22.891,5.635,9.8
27,6,22.9,5.642,9.7
28,4,24.095,8.985,14.7
29,4,24.1,8.972,15
30,4,24.072,8.99,10.8
31,4,24.099,8.992,17.9
32,6,21.579,8.601,5.8
33,6,21.582,8.607,9.3
34,6,26.624,4.589,9.7
35,6,26.604,4.601,15.5
36,6,26.632,4.572,11.1
37,6,23.753,3.23,6.2
38,2,28.588,1.183,12.2
39,14,29.063,2.802,10
40,14,29.64,6.6,13.5
41,6,31.268,7.193,8.1
42,6,31.27,7.2,7
43,2,30.398,6.024,3.8
44,2,31.251,3.505,7.1
45,2,30.653,1.457,4
46,10,31.922,0.438,26.3
47,14,33.756,0.001,21.6
48,14,34.31,1.183,5.2
49,16,36.81,0.588,39.2
50,11,34.486,5.518,11.3
51,2,33.374,6.402,6
52,2,33.36,6.4,2.5
53,1,34.923,6.072,11.5
54,15,38.902,7.286,11.2
55,14,37.854,8.626,9.2
56,9,38.761,9.99,6.8
57,7,45.359,9.543,11.2
58,14,45.059,7.823,22.2
59,14,43.906,6.23,23.6
60,14,44.015,5.711,20.4
61,15,44.63,3.302,14.1
62,15,44.307,2.021,6.7
63,14,45.566,4.145,36
64,3,46.682,5.382,9.8
65,9,53.268,6.975,11.8
66,6,56.387,8.552,18.4
67,6,56.382,8.549,16
68,6,59.642,2.626,18.7
69,6,59.64,2.6,18
70,1,61.149,2.098,24.1
71,1,61.662,1.486,18.8
72,14,63.1,1.614,4.3
73,14,65.403,1.717,38.2
74,14,65.413,3.241,3.2
75,15,62.655,1.424,12.2
76,14,66.681,2.488,6.1
77,14,69.724,8.705,27.4
78,1,65.389,8.704,11.9
79,10,72.601,8.547,31.4
80,10,72.186,2.36,17.1
81,1,76.99,0.946,28.8
82,10,78.398,3.908,30.9
83,14,75.187,6.913,23.8
84,14,76.187,7.008,17.3
85,3,79.284,8.15,8.2
86,10,79.904,8.33,25.3
87,10,79.924,8.279,10.2
88,6,83.149,7.931,6.5
89,14,83.885,7.354,2.5
90,7,84.292,5.935,7.4
91,7,84.287,5.93,11.8
92,14,86.861,7.184,3.2
93,14,87.031,7.356,2.8
94,14,84.964,1.552,2.4
95,1,86.475,1.144,36.7
96,14,86.776,0.516,4.3
97,10,96.069,6.46,2.8
98,1,90.518,9.03,36.6
99,14,93.179,9.883,44.7
100,9,93.728,8.331,13.6
101,7,97.11,7.112,29
102,14,98.131,7.04,23
103,10,94.718,1.262,1.9
104,2,98.275,10.001,5.4
105,7,96.647,14.241,14.9
106,9,96.64,14.239,13.5
107,9,96.599,14.24,9.8
108,9,99.021,17.825,4.5
109,9,96.988,18.291,5.1
110,9,95.89,19.806,4.8
111,8,95.163,18.044,8.5
112,9,93.344,19.973,4.4
113,8,94.666,19.795,8.9
114,9,94.519,16.733,12.8
115,2,93.055,13.23,4.5
116,2,91.882,11.771,5
117,14,91.754,12.21,1.7
118,2,90.893,12.677,3.8
119,14,90.457,13.245,5.2
120,6,90.321,14.125,11
121,8,90.684,17.361,8.3
122,15,90.313,18.583,5.2
123,6,88.941,18.913,8.8
124,6,88.94,18.92,13.7
125,6,89.271,17.032,11.8
126,14,89.606,13.295,3.1
127,6,88.732,11.647,9.8
128,6,88.274,11.868,22.6
129,14,88.524,11.089,3.6
130,9,87.723,10.608,9.6
131,9,86.074,11.194,9
132,3,86.559,12.457,5.9
133,3,86.601,12.452,6.4
134,3,86.662,12.467,7.3
135,9,86.242,13.04,8
136,10,87.719,15.051,3.8
137,9,88.395,18.867,9.5
138,9,88.382,18.86,10.3
139,15,86.269,19.886,9.8
140,8,85.964,15.879,9
141,6,85.75,14.663,17
142,6,85.398,14.816,8.1
143,10,83.495,12.586,2.7
144,7,82.175,10.484,4.7
145,6,82.622,11.047,11.4
146,7,81.956,13.519,3
147,7,82.271,15.889,9.8
148,7,81.409,17.008,7.9
149,7,81.162,17.533,6.7
150,6,80.911,19.642,13
151,15,79.786,19.459,6.9
152,7,79.77,19.462,17.1
153,14,79.11,19.799,7.5
154,6,79.738,14.987,33.4
155,14,79.939,12.885,10.8
156,14,77.943,10.192,27.2
157,3,77.834,12.325,16.9
158,2,75.09,15.424,35.7
159,14,76.159,17.67,29.1
