treeno,species,x,y,dbh,ht,cw
1,2,1.7,3.2,9.5,8.6,5.7
2,3,1.9,3.3,8,8.3,5.4
3,3,2.2,3,16.1,12.4,8.4
4,3,2.8,3.3,15.7,12.3,8.5
5,7,5,1.4,14,13.7,8.5
6,7,5.1,1.4,15,14.2,8.9
7,7,5.1,2.3,6.4,8.2,5.5
8,2,9.3,0.4,14.4,11.6,8.9
9,2,7.2,8.6,5.5,5.7,6.7
10,7,7.5,8.1,17.1,15.1,12
11,2,3.7,7.4,5.9,6,5.7
12,12,2.8,7,9.6,9.1,7.1
13,2,2.3,6.3,1.2,2,3
14,12,3.5,8.1,5.4,6.1,5.8
15,12,3.7,8.4,12.7,10.7,8.9
16,12,3.1,8.2,5.6,6.3,5.8
17,12,3.1,8.6,5.9,6.5,6
18,12,1.5,7.7,23.7,14.3,11.8
19,7,0.6,5.4,26.3,18.3,12.6
20,2,0.3,5.7,11.1,9.6,6.7
21,2,0.6,8.4,6.9,6.7,5.7
22,6,12,9.8,20.9,16.6,14.8
23,6,13.3,10,14,13.7,12.7
24,3,14.5,8.1,9,8.9,10.1
25,6,13.6,7,13.6,13.4,11.9
26,6,13,4.5,5.3,7.1,7.5
27,6,13.8,4.7,19,15.9,13.4
28,2,12.5,6.2,1.9,2.7,5.8
29,12,10.6,2.3,41.8,17.2,18
30,2,11.3,0.8,1.3,2.1,3.9
31,3,16.4,1.9,6.5,7.2,8
32,8,17.4,1.2,10.9,11.8,10.3
33,8,18.6,0.3,9.8,11.1,9.9
34,2,19.6,1.7,1.1,2,6.1
35,3,19.2,3.2,7,7.6,9.2
36,3,18.2,4.9,5.1,6,8.6
37,3,16.7,4.2,8,8.3,9.3
38,7,16.1,4,15.6,14.5,12.5
39,7,15.7,3.7,7.5,9.2,9
40,7,16.6,4.5,7.5,9.2,9.5
41,7,16.5,5.3,12.8,13,11.9
42,2,18.9,5.8,2.5,3.2,7.6
43,2,15.8,7.3,4.4,4.8,8.1
44,2,16.2,9,1.7,2.5,7.4
45,6,17.7,8.5,15.5,14.4,14
46,3,18.3,9.8,5.4,6.3,9.9
47,6,18.8,9.4,13.3,13.3,13.7
48,3,20.8,7.4,4.6,5.6,9.6
49,3,21,7.2,8.5,8.6,11.3
50,3,21.1,7.2,4.4,5.4,9.5
51,8,20.7,6.9,11.1,11.9,12.7
52,8,21.9,6.7,14.2,13.8,14.1
53,2,21.5,5.9,4.2,4.6,9.1
54,2,21.6,4.8,2.7,3.4,8.1
55,7,22.2,3.9,7,8.8,10.5
56,7,22.4,3.9,8.6,10.1,11.3
57,7,22.4,4.2,5.8,7.6,10
58,7,22.7,3.5,7.6,9.3,10.8
59,7,22.7,4.1,7.9,9.6,11.1
60,7,22.9,4.3,7.2,9,10.8
61,7,23.1,4.3,6.8,8.6,10.7
62,12,22.6,1.7,17.8,12.6,13.7
63,12,22.9,1.7,19.3,13.1,14.3
64,3,26.2,2.6,9.7,9.4,12
65,8,26.9,3.3,17.1,15.1,15.6
66,2,25.6,4.9,7,6.8,11.1
